archive_index,date,player,game,stat,alt_line,side,classification,candidate_dates,note,legacy_outcome
228,2026-07-15,Kamilla Cardoso,Seattle Storm @ Chicago Sky,REB,8.5,UNDER,STAT_UNAVAILABLE,2026-07-15,matched game but requested stat unavailable,PENDING
233,2026-07-15,Kamilla Cardoso,Seattle Storm @ Chicago Sky,RA,11.5,UNDER,STAT_UNAVAILABLE,2026-07-15,matched game but requested stat unavailable,PENDING
264,2026-07-15,Paige Bueckers,New York Liberty @ Dallas Wings,AST,6.5,UNDER,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,,,PENDING
265,2026-07-15,Kamilla Cardoso,Seattle Storm @ Chicago Sky,PRA,26.5,UNDER,STAT_UNAVAILABLE,2026-07-15,matched game but requested stat unavailable,PENDING
266,2026-07-15,Kamilla Cardoso,Seattle Storm @ Chicago Sky,PR,23.5,UNDER,STAT_UNAVAILABLE,2026-07-15,matched game but requested stat unavailable,PENDING
304,2026-07-16,Paige Bueckers,New York Liberty @ Dallas Wings,AST,6.5,UNDER,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,,,PENDING
583,2026-07-21,Kayla McBride,Minnesota Lynx @ Seattle Storm,AST,2.5,UNDER,REPEATED_MATCHUP_DATE_AMBIGUOUS,2026-07-20|2026-07-22,,PENDING
586,2026-07-21,Natisha Hiedeman,Minnesota Lynx @ Seattle Storm,3PM,2.5,UNDER,REPEATED_MATCHUP_DATE_AMBIGUOUS,2026-07-20|2026-07-22,,PENDING
599,2026-07-21,Natasha Howard,Minnesota Lynx @ Seattle Storm,AST,2.5,OVER,REPEATED_MATCHUP_DATE_AMBIGUOUS,2026-07-20|2026-07-22,,PENDING
600,2026-07-21,Courtney Williams,Minnesota Lynx @ Seattle Storm,3PM,1.5,UNDER,REPEATED_MATCHUP_DATE_AMBIGUOUS,2026-07-20|2026-07-22,,PENDING
605,2026-07-21,Natasha Howard,Minnesota Lynx @ Seattle Storm,PR,23.5,UNDER,REPEATED_MATCHUP_DATE_AMBIGUOUS,2026-07-20|2026-07-22,,PENDING
607,2026-07-21,Kayla McBride,Minnesota Lynx @ Seattle Storm,REB,3.5,UNDER,REPEATED_MATCHUP_DATE_AMBIGUOUS,2026-07-20|2026-07-22,,PENDING
610,2026-07-21,Natasha Howard,Minnesota Lynx @ Seattle Storm,PRA,26.5,UNDER,REPEATED_MATCHUP_DATE_AMBIGUOUS,2026-07-20|2026-07-22,,PENDING
614,2026-07-21,Natisha Hiedeman,Minnesota Lynx @ Seattle Storm,3PM,1.5,UNDER,REPEATED_MATCHUP_DATE_AMBIGUOUS,2026-07-20|2026-07-22,,PENDING
616,2026-07-21,Natisha Hiedeman,Minnesota Lynx @ Seattle Storm,PR,17.5,UNDER,REPEATED_MATCHUP_DATE_AMBIGUOUS,2026-07-20|2026-07-22,,PENDING
620,2026-07-21,Courtney Williams,Minnesota Lynx @ Seattle Storm,REB,4.5,UNDER,REPEATED_MATCHUP_DATE_AMBIGUOUS,2026-07-20|2026-07-22,,PENDING
654,2026-07-22,Megan Gustafson,Dallas Wings @ Portland Fire,REB,4.5,UNDER,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,,,PENDING
681,2026-07-26,NaLyssa Smith,Portland Fire @ Las Vegas Aces,REB,5.5,UNDER,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,,,PENDING
715,2026-07-27,NaLyssa Smith,Portland Fire @ Las Vegas Aces,REB,5.5,UNDER,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,,,PENDING
738,2026-07-28,Isabelle Harrison,Toronto Tempo @ Minnesota Lynx,AST,2.5,UNDER,STAT_UNAVAILABLE,2026-07-28,matched game but requested stat unavailable,WIN
755,2026-07-28,NaLyssa Smith,Portland Fire @ Las Vegas Aces,REB,5.5,UNDER,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,,,PENDING
805,2026-07-29,Azura Stevens,Connecticut Sun @ Chicago Sky,RA,9.5,OVER,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,,,WIN
942,2026-08-02,Megan Gustafson,Los Angeles Sparks @ Portland Fire,REB,4.5,UNDER,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,,,PENDING
