candidate_id,date,player,team,game,stat,side,line,sportsbook,odds,score,reason_key,reason,expected_game_id,actual_to_fill,verified_source_to_fill,notes_to_fill
2026-07-15|kamilla cardoso|seattle storm @ chicago sky|reb|under|8.5||-103.67,2026-07-15,Kamilla Cardoso,,Seattle Storm @ Chicago Sky,REB,UNDER,8.5,,-103.67,64.9,missing_verified_game_log,player-game actual unavailable,2026-07-15|seattle-storm-@-chicago-sky,,,
2026-07-15|azzi fudd|new york liberty @ dallas wings|pa|under|16.5||-116.5,2026-07-15,Azzi Fudd,,New York Liberty @ Dallas Wings,PA,UNDER,16.5,,-116.5,64.5,missing_verified_game_log,player-game actual unavailable,2026-07-15|new-york-liberty-@-dallas-wings,,,
2026-07-15|kamilla cardoso|seattle storm @ chicago sky|ra|under|11.5||-119.5,2026-07-15,Kamilla Cardoso,,Seattle Storm @ Chicago Sky,RA,UNDER,11.5,,-119.5,64.5,missing_verified_game_log,player-game actual unavailable,2026-07-15|seattle-storm-@-chicago-sky,,,
2026-07-15|paige bueckers|new york liberty @ dallas wings|ast|under|6.5||-142.0,2026-07-15,Paige Bueckers,,New York Liberty @ Dallas Wings,AST,UNDER,6.5,,-142.0,56.7,missing_verified_game_log,player-game actual unavailable,2026-07-15|new-york-liberty-@-dallas-wings,,,
2026-07-15|kamilla cardoso|seattle storm @ chicago sky|pra|under|26.5||-121.5,2026-07-15,Kamilla Cardoso,,Seattle Storm @ Chicago Sky,PRA,UNDER,26.5,,-121.5,55.6,missing_verified_game_log,player-game actual unavailable,2026-07-15|seattle-storm-@-chicago-sky,,,
2026-07-15|kamilla cardoso|seattle storm @ chicago sky|pr|under|23.5||-113.5,2026-07-15,Kamilla Cardoso,,Seattle Storm @ Chicago Sky,PR,UNDER,23.5,,-113.5,55.1,missing_verified_game_log,player-game actual unavailable,2026-07-15|seattle-storm-@-chicago-sky,,,
2026-07-16|azzi fudd|new york liberty @ dallas wings|pts|under|14.5||-116.0,2026-07-16,Azzi Fudd,,New York Liberty @ Dallas Wings,PTS,UNDER,14.5,,-116.0,65.5,missing_verified_game_log,player-game actual unavailable,2026-07-16|new-york-liberty-@-dallas-wings,,,
2026-07-16|azzi fudd|new york liberty @ dallas wings|pa|under|16.5||-105.5,2026-07-16,Azzi Fudd,,New York Liberty @ Dallas Wings,PA,UNDER,16.5,,-105.5,64.8,missing_verified_game_log,player-game actual unavailable,2026-07-16|new-york-liberty-@-dallas-wings,,,
2026-07-16|paige bueckers|new york liberty @ dallas wings|ast|under|6.5||-131.33,2026-07-16,Paige Bueckers,,New York Liberty @ Dallas Wings,AST,UNDER,6.5,,-131.33,57.0,missing_verified_game_log,player-game actual unavailable,2026-07-16|new-york-liberty-@-dallas-wings,,,
2026-07-19|janelle salaun|washington mystics @ golden state valkyries|3pm|over|1.5||-184.0,2026-07-19,Janelle Salaun,,Washington Mystics @ Golden State Valkyries,3PM,OVER,1.5,,-184.0,70.1,missing_verified_game_log,player-game actual unavailable,2026-07-19|washington-mystics-@-golden-state-valkyries,,,
2026-07-19|shakira austin|washington mystics @ golden state valkyries|pra|over|25.5||-122.0,2026-07-19,Shakira Austin,,Washington Mystics @ Golden State Valkyries,PRA,OVER,25.5,,-122.0,56.8,missing_verified_game_log,player-game actual unavailable,2026-07-19|washington-mystics-@-golden-state-valkyries,,,
2026-07-19|shakira austin|washington mystics @ golden state valkyries|pr|over|22.5||-130.0,2026-07-19,Shakira Austin,,Washington Mystics @ Golden State Valkyries,PR,OVER,22.5,,-130.0,55.7,missing_verified_game_log,player-game actual unavailable,2026-07-19|washington-mystics-@-golden-state-valkyries,,,
2026-07-19|janelle salaun|washington mystics @ golden state valkyries|3pm|over|1.5||-177.0,2026-07-19,Janelle Salaun,,Washington Mystics @ Golden State Valkyries,3PM,OVER,1.5,,-177.0,70.2,missing_verified_game_log,player-game actual unavailable,2026-07-19|washington-mystics-@-golden-state-valkyries,,,
2026-07-19|shakira austin|washington mystics @ golden state valkyries|pra|over|25.5||-128.0,2026-07-19,Shakira Austin,,Washington Mystics @ Golden State Valkyries,PRA,OVER,25.5,,-128.0,56.6,missing_verified_game_log,player-game actual unavailable,2026-07-19|washington-mystics-@-golden-state-valkyries,,,
2026-07-21|kayla mcbride|minnesota lynx @ seattle storm|ast|under|2.5||-186.0,2026-07-21,Kayla McBride,,Minnesota Lynx @ Seattle Storm,AST,UNDER,2.5,,-186.0,77.3,missing_verified_game_log,player-game actual unavailable,2026-07-21|minnesota-lynx-@-seattle-storm,,,
2026-07-21|natisha hiedeman|minnesota lynx @ seattle storm|3pm|under|2.5||-197.0,2026-07-21,Natisha Hiedeman,,Minnesota Lynx @ Seattle Storm,3PM,UNDER,2.5,,-197.0,71.2,missing_verified_game_log,player-game actual unavailable,2026-07-21|minnesota-lynx-@-seattle-storm,,,
2026-07-21|natasha howard|minnesota lynx @ seattle storm|ast|over|2.5||-168.75,2026-07-21,Natasha Howard,,Minnesota Lynx @ Seattle Storm,AST,OVER,2.5,,-168.75,64.8,missing_verified_game_log,player-game actual unavailable,2026-07-21|minnesota-lynx-@-seattle-storm,,,
2026-07-21|courtney williams|minnesota lynx @ seattle storm|3pm|under|1.5||-201.5,2026-07-21,Courtney Williams,,Minnesota Lynx @ Seattle Storm,3PM,UNDER,1.5,,-201.5,63.3,missing_verified_game_log,player-game actual unavailable,2026-07-21|minnesota-lynx-@-seattle-storm,,,
2026-07-21|natasha howard|minnesota lynx @ seattle storm|pr|under|23.5||-121.5,2026-07-21,Natasha Howard,,Minnesota Lynx @ Seattle Storm,PR,UNDER,23.5,,-121.5,60.8,missing_verified_game_log,player-game actual unavailable,2026-07-21|minnesota-lynx-@-seattle-storm,,,
2026-07-21|kayla mcbride|minnesota lynx @ seattle storm|reb|under|3.5||-179.5,2026-07-21,Kayla McBride,,Minnesota Lynx @ Seattle Storm,REB,UNDER,3.5,,-179.5,60.7,missing_verified_game_log,player-game actual unavailable,2026-07-21|minnesota-lynx-@-seattle-storm,,,
2026-07-21|natasha howard|minnesota lynx @ seattle storm|pra|under|26.5||-118.33,2026-07-21,Natasha Howard,,Minnesota Lynx @ Seattle Storm,PRA,UNDER,26.5,,-118.33,60.3,missing_verified_game_log,player-game actual unavailable,2026-07-21|minnesota-lynx-@-seattle-storm,,,
2026-07-21|natisha hiedeman|minnesota lynx @ seattle storm|3pm|under|1.5||144.0,2026-07-21,Natisha Hiedeman,,Minnesota Lynx @ Seattle Storm,3PM,UNDER,1.5,,144.0,59.2,missing_verified_game_log,player-game actual unavailable,2026-07-21|minnesota-lynx-@-seattle-storm,,,
2026-07-21|natisha hiedeman|minnesota lynx @ seattle storm|pr|under|17.5||-127.5,2026-07-21,Natisha Hiedeman,,Minnesota Lynx @ Seattle Storm,PR,UNDER,17.5,,-127.5,58.2,missing_verified_game_log,player-game actual unavailable,2026-07-21|minnesota-lynx-@-seattle-storm,,,
2026-07-21|courtney williams|minnesota lynx @ seattle storm|reb|under|4.5||-107.0,2026-07-21,Courtney Williams,,Minnesota Lynx @ Seattle Storm,REB,UNDER,4.5,,-107.0,54.1,missing_verified_game_log,player-game actual unavailable,2026-07-21|minnesota-lynx-@-seattle-storm,,,
2026-07-22|megan gustafson|dallas wings @ portland fire|reb|under|4.5||-151.5,2026-07-22,Megan Gustafson,,Dallas Wings @ Portland Fire,REB,UNDER,4.5,,-151.5,59.4,missing_verified_game_log,player-game actual unavailable,2026-07-22|dallas-wings-@-portland-fire,,,
2026-07-26|nalyssa smith|portland fire @ las vegas aces|reb|under|5.5||-125.0,2026-07-26,NaLyssa Smith,,Portland Fire @ Las Vegas Aces,REB,UNDER,5.5,,-125.0,62.9,missing_verified_game_log,player-game actual unavailable,2026-07-26|portland-fire-@-las-vegas-aces,,,
2026-07-27|nalyssa smith|portland fire @ las vegas aces|reb|under|5.5||-127.5,2026-07-27,NaLyssa Smith,,Portland Fire @ Las Vegas Aces,REB,UNDER,5.5,,-127.5,62.8,missing_verified_game_log,player-game actual unavailable,2026-07-27|portland-fire-@-las-vegas-aces,,,
