archive_index,canonical_game_date,canonical_game_id,date,game,method,player,source,status
220,2026-07-16,401857071,2026-07-16,Portland Fire @ Washington Mystics,local_raw_unique_player_game_same_date,Shakira Austin,data/raw/boxscores_2026-07-16.csv,RESOLVED_LOCAL
228,2026-07-15,401857068,2026-07-15,Seattle Storm @ Chicago Sky,local_raw_unique_player_game_same_date,Kamilla Cardoso,data/raw/boxscores_2026-07-15.csv,RESOLVED_LOCAL
233,2026-07-15,401857068,2026-07-15,Seattle Storm @ Chicago Sky,local_raw_unique_player_game_same_date,Kamilla Cardoso,data/raw/boxscores_2026-07-15.csv,RESOLVED_LOCAL
260,2026-07-16,401857071,2026-07-16,Portland Fire @ Washington Mystics,local_raw_unique_player_game_same_date,Shakira Austin,data/raw/boxscores_2026-07-16.csv,RESOLVED_LOCAL
264,,,2026-07-15,New York Liberty @ Dallas Wings,,Paige Bueckers,,UNRESOLVED_LOCAL
265,2026-07-15,401857068,2026-07-15,Seattle Storm @ Chicago Sky,local_raw_unique_player_game_same_date,Kamilla Cardoso,data/raw/boxscores_2026-07-15.csv,RESOLVED_LOCAL
266,2026-07-15,401857068,2026-07-15,Seattle Storm @ Chicago Sky,local_raw_unique_player_game_same_date,Kamilla Cardoso,data/raw/boxscores_2026-07-15.csv,RESOLVED_LOCAL
273,2026-07-16,401857071,2026-07-16,Portland Fire @ Washington Mystics,local_raw_unique_player_game_same_date,Shakira Austin,data/raw/boxscores_2026-07-16.csv,RESOLVED_LOCAL
278,2026-07-16,401857071,2026-07-16,Portland Fire @ Washington Mystics,local_raw_unique_player_game_same_date,Shakira Austin,data/raw/boxscores_2026-07-16.csv,RESOLVED_LOCAL
282,2026-07-16,401857071,2026-07-16,Portland Fire @ Washington Mystics,local_raw_unique_player_game_same_date,Shakira Austin,data/raw/boxscores_2026-07-16.csv,RESOLVED_LOCAL
296,2026-07-16,401857071,2026-07-16,Portland Fire @ Washington Mystics,local_raw_unique_player_game_same_date,Shakira Austin,data/raw/boxscores_2026-07-16.csv,RESOLVED_LOCAL
302,2026-07-16,401857071,2026-07-16,Portland Fire @ Washington Mystics,local_raw_unique_player_game_same_date,Georgia Amoore,data/raw/boxscores_2026-07-16.csv,RESOLVED_LOCAL
304,,,2026-07-16,New York Liberty @ Dallas Wings,,Paige Bueckers,,UNRESOLVED_LOCAL
308,2026-07-16,401857071,2026-07-16,Portland Fire @ Washington Mystics,local_raw_unique_player_game_same_date,Sarah Ashlee Barker,data/raw/boxscores_2026-07-16.csv,RESOLVED_LOCAL
423,2026-07-19,401857079,2026-07-19,Washington Mystics @ Golden State Valkyries,local_raw_unique_player_game_same_date,Janelle Salaun,data/raw/boxscores_2026-07-18.csv,RESOLVED_LOCAL
