archive_index,candidate_game_ids,canonical_game_date,canonical_game_id,classification,player,source,status
228,,,,STAT_UNAVAILABLE,Kamilla Cardoso,,UNRESOLVED
233,,,,STAT_UNAVAILABLE,Kamilla Cardoso,,UNRESOLVED
264,,,,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,Paige Bueckers,,UNRESOLVED
265,,,,STAT_UNAVAILABLE,Kamilla Cardoso,,UNRESOLVED
266,,,,STAT_UNAVAILABLE,Kamilla Cardoso,,UNRESOLVED
304,,,,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,Paige Bueckers,,UNRESOLVED
583,401857085|401857087,,,REPEATED_MATCHUP_DATE_AMBIGUOUS,Kayla McBride,,UNRESOLVED
586,401857085|401857087,,,REPEATED_MATCHUP_DATE_AMBIGUOUS,Natisha Hiedeman,,UNRESOLVED
599,401857085|401857087,,,REPEATED_MATCHUP_DATE_AMBIGUOUS,Natasha Howard,,UNRESOLVED
600,401857085|401857087,,,REPEATED_MATCHUP_DATE_AMBIGUOUS,Courtney Williams,,UNRESOLVED
605,401857085|401857087,,,REPEATED_MATCHUP_DATE_AMBIGUOUS,Natasha Howard,,UNRESOLVED
607,401857085|401857087,,,REPEATED_MATCHUP_DATE_AMBIGUOUS,Kayla McBride,,UNRESOLVED
610,401857085|401857087,,,REPEATED_MATCHUP_DATE_AMBIGUOUS,Natasha Howard,,UNRESOLVED
614,401857085|401857087,,,REPEATED_MATCHUP_DATE_AMBIGUOUS,Natisha Hiedeman,,UNRESOLVED
616,401857085|401857087,,,REPEATED_MATCHUP_DATE_AMBIGUOUS,Natisha Hiedeman,,UNRESOLVED
620,401857085|401857087,,,REPEATED_MATCHUP_DATE_AMBIGUOUS,Courtney Williams,,UNRESOLVED
654,,,,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,Megan Gustafson,,UNRESOLVED
681,,,,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,NaLyssa Smith,,UNRESOLVED
715,,,,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,NaLyssa Smith,,UNRESOLVED
738,,,,STAT_UNAVAILABLE,Isabelle Harrison,,UNRESOLVED
755,,,,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,NaLyssa Smith,,UNRESOLVED
795,,2026-07-30,401857099,REPEATED_MATCHUP_DATE_AMBIGUOUS,Courtney Williams,data/raw/boxscores_2026-07-30.csv,RESOLVED
805,,,,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,Azura Stevens,,UNRESOLVED
810,,2026-07-30,401857099,REPEATED_MATCHUP_DATE_AMBIGUOUS,Courtney Williams,data/raw/boxscores_2026-07-30.csv,RESOLVED
887,,2026-08-02,401857107,WAREHOUSE_RECORD_CARDINALITY_FAILURE,Courtney Williams,data/raw/boxscores_2026-08-02.csv,RESOLVED
891,,2026-08-02,401857110,WAREHOUSE_RECORD_CARDINALITY_FAILURE,Janelle Salaun,data/raw/boxscores_2026-08-02.csv,RESOLVED
893,,2026-08-02,401857107,WAREHOUSE_RECORD_CARDINALITY_FAILURE,Kelsey Mitchell,data/raw/boxscores_2026-08-02.csv,RESOLVED
894,,2026-08-02,401857107,WAREHOUSE_RECORD_CARDINALITY_FAILURE,Courtney Williams,data/raw/boxscores_2026-08-02.csv,RESOLVED
895,,2026-08-02,401857110,WAREHOUSE_RECORD_CARDINALITY_FAILURE,Janelle Salaun,data/raw/boxscores_2026-08-02.csv,RESOLVED
896,,2026-08-02,401857107,WAREHOUSE_RECORD_CARDINALITY_FAILURE,Aliyah Boston,data/raw/boxscores_2026-08-02.csv,RESOLVED
897,,2026-08-02,401857110,WAREHOUSE_RECORD_CARDINALITY_FAILURE,Janelle Salaun,data/raw/boxscores_2026-08-02.csv,RESOLVED
899,,2026-08-02,401857107,WAREHOUSE_RECORD_CARDINALITY_FAILURE,Aliyah Boston,data/raw/boxscores_2026-08-02.csv,RESOLVED
904,,2026-08-02,401857107,WAREHOUSE_RECORD_CARDINALITY_FAILURE,Caitlin Clark,data/raw/boxscores_2026-08-02.csv,RESOLVED
906,,2026-08-02,401857107,WAREHOUSE_RECORD_CARDINALITY_FAILURE,Aliyah Boston,data/raw/boxscores_2026-08-02.csv,RESOLVED
910,,2026-08-02,401857107,WAREHOUSE_RECORD_CARDINALITY_FAILURE,Courtney Williams,data/raw/boxscores_2026-08-02.csv,RESOLVED
912,,2026-08-03,401857111,WAREHOUSE_RECORD_CARDINALITY_FAILURE,Jordin Canada,data/raw/boxscores_2026-08-03.csv,RESOLVED
914,,2026-08-03,401857111,WAREHOUSE_RECORD_CARDINALITY_FAILURE,Rhyne Howard,data/raw/boxscores_2026-08-03.csv,RESOLVED
917,,2026-08-03,401857111,WAREHOUSE_RECORD_CARDINALITY_FAILURE,Rhyne Howard,data/raw/boxscores_2026-08-03.csv,RESOLVED
918,,2026-08-03,401857111,WAREHOUSE_RECORD_CARDINALITY_FAILURE,Rhyne Howard,data/raw/boxscores_2026-08-03.csv,RESOLVED
919,,2026-08-03,401857111,WAREHOUSE_RECORD_CARDINALITY_FAILURE,Rhyne Howard,data/raw/boxscores_2026-08-03.csv,RESOLVED
924,,2026-08-03,401857111,WAREHOUSE_RECORD_CARDINALITY_FAILURE,Allisha Gray,data/raw/boxscores_2026-08-03.csv,RESOLVED
925,,2026-08-03,401857112,STAT_UNAVAILABLE,Flau'jae Johnson,data/raw/boxscores_2026-08-03.csv,RESOLVED
930,,2026-08-03,401857111,WAREHOUSE_RECORD_CARDINALITY_FAILURE,Allisha Gray,data/raw/boxscores_2026-08-03.csv,RESOLVED
932,,2026-08-03,401857111,WAREHOUSE_RECORD_CARDINALITY_FAILURE,Jordin Canada,data/raw/boxscores_2026-08-03.csv,RESOLVED
934,,2026-08-03,401857111,WAREHOUSE_RECORD_CARDINALITY_FAILURE,Jordin Canada,data/raw/boxscores_2026-08-03.csv,RESOLVED
939,,2026-08-03,401857111,WAREHOUSE_RECORD_CARDINALITY_FAILURE,Allisha Gray,data/raw/boxscores_2026-08-03.csv,RESOLVED
942,,,,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,Megan Gustafson,,UNRESOLVED
944,,2026-08-03,401857112,STAT_UNAVAILABLE,Jonquel Jones,data/raw/boxscores_2026-08-03.csv,RESOLVED
963,,2026-08-03,401857112,STAT_UNAVAILABLE,Flau'jae Johnson,data/raw/boxscores_2026-08-03.csv,RESOLVED
967,,2026-08-02,401857110,WAREHOUSE_RECORD_CARDINALITY_FAILURE,Veronica Burton,data/raw/boxscores_2026-08-02.csv,RESOLVED
971,,2026-08-03,401857111,STAT_UNAVAILABLE,Jordin Canada,data/raw/boxscores_2026-08-03.csv,RESOLVED
973,,2026-08-02,401857110,WAREHOUSE_RECORD_CARDINALITY_FAILURE,Veronica Burton,data/raw/boxscores_2026-08-02.csv,RESOLVED
980,,2026-08-03,401857112,STAT_UNAVAILABLE,Jonquel Jones,data/raw/boxscores_2026-08-03.csv,RESOLVED
981,,,,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,Allisha Gray,,UNRESOLVED
982,,,,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,Rae Burrell,,UNRESOLVED
983,,,,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,Allisha Gray,,UNRESOLVED
984,,,,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,Rhyne Howard,,UNRESOLVED
985,,,,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,Jordin Canada,,UNRESOLVED
986,,,,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,Jordin Canada,,UNRESOLVED
989,,,,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,Allisha Gray,,UNRESOLVED
993,,,,NO_COMPLETED_GAME_ON_ARCHIVE_DATE,Jordin Canada,,UNRESOLVED
