archive_index,date,player,game,stat,alt_line,side,audit_classification,warehouse_game_id,warehouse_date,cardinality,classification,requested_stat_values,unique_requested_stat_values,safe_to_collapse,record_ids,sources,candidate_games,same_player_date_candidate_count,legacy_outcome,legacy_actual
220,2026-07-16,Shakira Austin,Portland Fire @ Washington Mystics,PA,17.5,UNDER,EXACT_MATCH,,2026-07-16,0,ZERO_MATCH,,0,False,,,,2,LOSS,23.0
260,2026-07-16,Shakira Austin,Portland Fire @ Washington Mystics,PRA,27.5,UNDER,EXACT_MATCH,,2026-07-16,0,ZERO_MATCH,,0,False,,,,2,LOSS,32.0
273,2026-07-16,Shakira Austin,Portland Fire @ Washington Mystics,AST,3.5,UNDER,EXACT_MATCH,,2026-07-16,0,ZERO_MATCH,,0,False,,,,2,LOSS,4.0
278,2026-07-16,Shakira Austin,Portland Fire @ Washington Mystics,PA,18.5,UNDER,EXACT_MATCH,,2026-07-16,0,ZERO_MATCH,,0,False,,,,2,LOSS,23.0
282,2026-07-16,Shakira Austin,Portland Fire @ Washington Mystics,PRA,28.5,UNDER,EXACT_MATCH,,2026-07-16,0,ZERO_MATCH,,0,False,,,,2,LOSS,32.0
296,2026-07-16,Shakira Austin,Portland Fire @ Washington Mystics,PRA,27.5,UNDER,EXACT_MATCH,,2026-07-16,0,ZERO_MATCH,,0,False,,,,2,LOSS,32.0
302,2026-07-16,Georgia Amoore,Portland Fire @ Washington Mystics,PA,10.5,UNDER,EXACT_MATCH,,2026-07-16,0,ZERO_MATCH,,0,False,,,,2,WIN,5.0
308,2026-07-16,Sarah Ashlee Barker,Portland Fire @ Washington Mystics,3PM,1.5,UNDER,EXACT_MATCH,,2026-07-16,0,ZERO_MATCH,,0,False,,,,2,LOSS,2.0
585,2026-07-22,DeWanna Bonner,Phoenix Mercury @ Los Angeles Sparks,REB,5.5,OVER,EXACT_MATCH,,2026-07-22,0,ZERO_MATCH,,0,False,,,,2,WIN,7.0
589,2026-07-22,Sonia Citron,Las Vegas Aces @ Washington Mystics,3PM,1.5,UNDER,EXACT_MATCH,,2026-07-22,0,ZERO_MATCH,,0,False,,,,2,WIN,1.0
596,2026-07-22,Dearica Hamby,Phoenix Mercury @ Los Angeles Sparks,RA,9.5,UNDER,EXACT_MATCH,,2026-07-22,0,ZERO_MATCH,,0,False,,,,2,LOSS,15.0
602,2026-07-22,NaLyssa Smith,Las Vegas Aces @ Washington Mystics,REB,5.5,UNDER,EXACT_MATCH,,2026-07-22,0,ZERO_MATCH,,0,False,,,,2,WIN,3.0
609,2026-07-22,Ariel Atkins,Phoenix Mercury @ Los Angeles Sparks,PRA,17.5,UNDER,EXACT_MATCH,,2026-07-22,0,ZERO_MATCH,,0,False,,,,2,LOSS,22.0
612,2026-07-22,Ariel Atkins,Phoenix Mercury @ Los Angeles Sparks,PRA,16.5,UNDER,EXACT_MATCH,,2026-07-22,0,ZERO_MATCH,,0,False,,,,2,LOSS,22.0
613,2026-07-22,Ariel Atkins,Phoenix Mercury @ Los Angeles Sparks,PR,14.5,UNDER,EXACT_MATCH,,2026-07-22,0,ZERO_MATCH,,0,False,,,,2,LOSS,19.0
615,2026-07-22,Ariel Atkins,Phoenix Mercury @ Los Angeles Sparks,PR,13.5,UNDER,EXACT_MATCH,,2026-07-22,0,ZERO_MATCH,,0,False,,,,2,LOSS,19.0
617,2026-07-22,Ariel Atkins,Phoenix Mercury @ Los Angeles Sparks,PTS,10.5,UNDER,EXACT_MATCH,,2026-07-22,0,ZERO_MATCH,,0,False,,,,2,LOSS,15.0
622,2026-07-22,Natasha Howard,Minnesota Lynx @ Seattle Storm,RA,9.5,OVER,EXACT_MATCH,,2026-07-22,0,ZERO_MATCH,,0,False,,,,2,LOSS,8.0
623,2026-07-22,Kayla McBride,Minnesota Lynx @ Seattle Storm,AST,2.5,UNDER,EXACT_MATCH,,2026-07-22,0,ZERO_MATCH,,0,False,,,,2,WIN,2.0
626,2026-07-22,DeWanna Bonner,Phoenix Mercury @ Los Angeles Sparks,REB,5.5,OVER,EXACT_MATCH,,2026-07-22,0,ZERO_MATCH,,0,False,,,,2,WIN,7.0
627,2026-07-22,Natasha Howard,Minnesota Lynx @ Seattle Storm,REB,6.5,OVER,EXACT_MATCH,,2026-07-22,0,ZERO_MATCH,,0,False,,,,2,LOSS,5.0
629,2026-07-22,Natisha Hiedeman,Minnesota Lynx @ Seattle Storm,3PM,2.5,UNDER,EXACT_MATCH,,2026-07-22,0,ZERO_MATCH,,0,False,,,,2,WIN,1.0
632,2026-07-22,Sonia Citron,Las Vegas Aces @ Washington Mystics,3PM,1.5,UNDER,EXACT_MATCH,,2026-07-22,0,ZERO_MATCH,,0,False,,,,2,WIN,1.0
644,2026-07-22,Dearica Hamby,Phoenix Mercury @ Los Angeles Sparks,RA,9.5,UNDER,EXACT_MATCH,,2026-07-22,0,ZERO_MATCH,,0,False,,,,2,LOSS,15.0
645,2026-07-22,Dearica Hamby,Phoenix Mercury @ Los Angeles Sparks,3PM,0.5,UNDER,EXACT_MATCH,,2026-07-22,0,ZERO_MATCH,,0,False,,,,2,WIN,0.0
646,2026-07-22,Courtney Williams,Minnesota Lynx @ Seattle Storm,3PM,1.5,UNDER,EXACT_MATCH,,2026-07-22,0,ZERO_MATCH,,0,False,,,,2,WIN,0.0
652,2026-07-22,Kayla McBride,Minnesota Lynx @ Seattle Storm,REB,3.5,UNDER,EXACT_MATCH,,2026-07-22,0,ZERO_MATCH,,0,False,,,,2,WIN,3.0
653,2026-07-22,Ariel Atkins,Phoenix Mercury @ Los Angeles Sparks,PRA,16.5,UNDER,EXACT_MATCH,,2026-07-22,0,ZERO_MATCH,,0,False,,,,2,LOSS,22.0
655,2026-07-22,Natisha Hiedeman,Minnesota Lynx @ Seattle Storm,3PM,1.5,UNDER,EXACT_MATCH,,2026-07-22,0,ZERO_MATCH,,0,False,,,,2,WIN,1.0
