archive_index,date,player,game,stat,canonical_game_id,raw_matches,reconstructed_actual,classification
220,2026-07-16,Shakira Austin,Portland Fire @ Washington Mystics,PA,,0,,NO_CANONICAL_GAME_ID
260,2026-07-16,Shakira Austin,Portland Fire @ Washington Mystics,PRA,,0,,NO_CANONICAL_GAME_ID
273,2026-07-16,Shakira Austin,Portland Fire @ Washington Mystics,AST,,0,,NO_CANONICAL_GAME_ID
278,2026-07-16,Shakira Austin,Portland Fire @ Washington Mystics,PA,,0,,NO_CANONICAL_GAME_ID
282,2026-07-16,Shakira Austin,Portland Fire @ Washington Mystics,PRA,,0,,NO_CANONICAL_GAME_ID
296,2026-07-16,Shakira Austin,Portland Fire @ Washington Mystics,PRA,,0,,NO_CANONICAL_GAME_ID
302,2026-07-16,Georgia Amoore,Portland Fire @ Washington Mystics,PA,,0,,NO_CANONICAL_GAME_ID
308,2026-07-16,Sarah Ashlee Barker,Portland Fire @ Washington Mystics,3PM,,0,,NO_CANONICAL_GAME_ID
585,2026-07-22,DeWanna Bonner,Phoenix Mercury @ Los Angeles Sparks,REB,,0,,NO_CANONICAL_GAME_ID
589,2026-07-22,Sonia Citron,Las Vegas Aces @ Washington Mystics,3PM,,0,,NO_CANONICAL_GAME_ID
596,2026-07-22,Dearica Hamby,Phoenix Mercury @ Los Angeles Sparks,RA,,0,,NO_CANONICAL_GAME_ID
602,2026-07-22,NaLyssa Smith,Las Vegas Aces @ Washington Mystics,REB,,0,,NO_CANONICAL_GAME_ID
609,2026-07-22,Ariel Atkins,Phoenix Mercury @ Los Angeles Sparks,PRA,,0,,NO_CANONICAL_GAME_ID
612,2026-07-22,Ariel Atkins,Phoenix Mercury @ Los Angeles Sparks,PRA,,0,,NO_CANONICAL_GAME_ID
613,2026-07-22,Ariel Atkins,Phoenix Mercury @ Los Angeles Sparks,PR,,0,,NO_CANONICAL_GAME_ID
615,2026-07-22,Ariel Atkins,Phoenix Mercury @ Los Angeles Sparks,PR,,0,,NO_CANONICAL_GAME_ID
617,2026-07-22,Ariel Atkins,Phoenix Mercury @ Los Angeles Sparks,PTS,,0,,NO_CANONICAL_GAME_ID
622,2026-07-22,Natasha Howard,Minnesota Lynx @ Seattle Storm,RA,,0,,NO_CANONICAL_GAME_ID
623,2026-07-22,Kayla McBride,Minnesota Lynx @ Seattle Storm,AST,,0,,NO_CANONICAL_GAME_ID
626,2026-07-22,DeWanna Bonner,Phoenix Mercury @ Los Angeles Sparks,REB,,0,,NO_CANONICAL_GAME_ID
627,2026-07-22,Natasha Howard,Minnesota Lynx @ Seattle Storm,REB,,0,,NO_CANONICAL_GAME_ID
629,2026-07-22,Natisha Hiedeman,Minnesota Lynx @ Seattle Storm,3PM,,0,,NO_CANONICAL_GAME_ID
632,2026-07-22,Sonia Citron,Las Vegas Aces @ Washington Mystics,3PM,,0,,NO_CANONICAL_GAME_ID
644,2026-07-22,Dearica Hamby,Phoenix Mercury @ Los Angeles Sparks,RA,,0,,NO_CANONICAL_GAME_ID
645,2026-07-22,Dearica Hamby,Phoenix Mercury @ Los Angeles Sparks,3PM,,0,,NO_CANONICAL_GAME_ID
646,2026-07-22,Courtney Williams,Minnesota Lynx @ Seattle Storm,3PM,,0,,NO_CANONICAL_GAME_ID
652,2026-07-22,Kayla McBride,Minnesota Lynx @ Seattle Storm,REB,,0,,NO_CANONICAL_GAME_ID
653,2026-07-22,Ariel Atkins,Phoenix Mercury @ Los Angeles Sparks,PRA,,0,,NO_CANONICAL_GAME_ID
655,2026-07-22,Natisha Hiedeman,Minnesota Lynx @ Seattle Storm,3PM,,0,,NO_CANONICAL_GAME_ID
656,2026-07-22,NaLyssa Smith,Las Vegas Aces @ Washington Mystics,REB,,0,,NO_CANONICAL_GAME_ID
659,2026-07-22,Natisha Hiedeman,Minnesota Lynx @ Seattle Storm,PR,,0,,NO_CANONICAL_GAME_ID
661,2026-07-22,Ariel Atkins,Phoenix Mercury @ Los Angeles Sparks,PR,,0,,NO_CANONICAL_GAME_ID
662,2026-07-22,Ariel Atkins,Phoenix Mercury @ Los Angeles Sparks,PTS,,0,,NO_CANONICAL_GAME_ID
665,2026-07-28,Kayla McBride,Toronto Tempo @ Minnesota Lynx,AST,,0,,NO_CANONICAL_GAME_ID
666,2026-07-28,Sabrina Ionescu,New York Liberty @ Los Angeles Sparks,AST,,0,,NO_CANONICAL_GAME_ID
668,2026-07-28,Natisha Hiedeman,Indiana Fever @ Seattle Storm,3PM,,0,,NO_CANONICAL_GAME_ID
671,2026-07-28,Sabrina Ionescu,New York Liberty @ Los Angeles Sparks,RA,,0,,NO_CANONICAL_GAME_ID
674,2026-07-28,Kayla McBride,Toronto Tempo @ Minnesota Lynx,RA,,0,,NO_CANONICAL_GAME_ID
676,2026-07-28,Sabrina Ionescu,New York Liberty @ Los Angeles Sparks,REB,,0,,NO_CANONICAL_GAME_ID
679,2026-07-28,Natisha Hiedeman,Indiana Fever @ Seattle Storm,PTS,,0,,NO_CANONICAL_GAME_ID
682,2026-07-28,Natisha Hiedeman,Indiana Fever @ Seattle Storm,3PM,,0,,NO_CANONICAL_GAME_ID
684,2026-07-28,Natisha Hiedeman,Indiana Fever @ Seattle Storm,PR,,0,,NO_CANONICAL_GAME_ID
685,2026-07-28,Natisha Hiedeman,Indiana Fever @ Seattle Storm,REB,,0,,NO_CANONICAL_GAME_ID
689,2026-07-28,Awa Fam,Indiana Fever @ Seattle Storm,REB,,0,,NO_CANONICAL_GAME_ID
699,2026-07-28,Kayla McBride,Toronto Tempo @ Minnesota Lynx,AST,,0,,NO_CANONICAL_GAME_ID
700,2026-07-28,Sabrina Ionescu,New York Liberty @ Los Angeles Sparks,AST,,0,,NO_CANONICAL_GAME_ID
702,2026-07-28,Natisha Hiedeman,Indiana Fever @ Seattle Storm,3PM,,0,,NO_CANONICAL_GAME_ID
705,2026-07-28,Sabrina Ionescu,New York Liberty @ Los Angeles Sparks,RA,,0,,NO_CANONICAL_GAME_ID
708,2026-07-28,Sabrina Ionescu,New York Liberty @ Los Angeles Sparks,REB,,0,,NO_CANONICAL_GAME_ID
712,2026-07-28,Aliyah Boston,Indiana Fever @ Seattle Storm,RA,,0,,NO_CANONICAL_GAME_ID
713,2026-07-28,Natisha Hiedeman,Indiana Fever @ Seattle Storm,PTS,,0,,NO_CANONICAL_GAME_ID
714,2026-07-28,Olivia Miles,Toronto Tempo @ Minnesota Lynx,3PM,,0,,NO_CANONICAL_GAME_ID
716,2026-07-28,A'ja Wilson,Portland Fire @ Las Vegas Aces,REB,,0,,NO_CANONICAL_GAME_ID
718,2026-07-28,Natisha Hiedeman,Indiana Fever @ Seattle Storm,3PM,,0,,NO_CANONICAL_GAME_ID
719,2026-07-28,Natasha Howard,Toronto Tempo @ Minnesota Lynx,PTS,,0,,NO_CANONICAL_GAME_ID
722,2026-07-28,Natisha Hiedeman,Indiana Fever @ Seattle Storm,PR,,0,,NO_CANONICAL_GAME_ID
723,2026-07-28,A'ja Wilson,Portland Fire @ Las Vegas Aces,RA,,0,,NO_CANONICAL_GAME_ID
724,2026-07-28,Natisha Hiedeman,Indiana Fever @ Seattle Storm,REB,,0,,NO_CANONICAL_GAME_ID
725,2026-07-28,Aliyah Boston,Indiana Fever @ Seattle Storm,3PM,,0,,NO_CANONICAL_GAME_ID
726,2026-07-28,Kelsey Mitchell,Indiana Fever @ Seattle Storm,AST,,0,,NO_CANONICAL_GAME_ID
727,2026-07-28,Awa Fam,Indiana Fever @ Seattle Storm,REB,,0,,NO_CANONICAL_GAME_ID
728,2026-07-28,Aliyah Boston,Indiana Fever @ Seattle Storm,REB,,0,,NO_CANONICAL_GAME_ID
729,2026-07-28,Natasha Howard,Toronto Tempo @ Minnesota Lynx,PTS,,0,,NO_CANONICAL_GAME_ID
730,2026-07-28,Breanna Stewart,New York Liberty @ Los Angeles Sparks,REB,,0,,NO_CANONICAL_GAME_ID
731,2026-07-28,A'ja Wilson,Portland Fire @ Las Vegas Aces,RA,,0,,NO_CANONICAL_GAME_ID
734,2026-07-28,Natasha Howard,Toronto Tempo @ Minnesota Lynx,PA,,0,,NO_CANONICAL_GAME_ID
735,2026-07-28,Natasha Howard,Toronto Tempo @ Minnesota Lynx,PR,,0,,NO_CANONICAL_GAME_ID
736,2026-07-28,Breanna Stewart,New York Liberty @ Los Angeles Sparks,RA,,0,,NO_CANONICAL_GAME_ID
737,2026-07-28,Natasha Howard,Toronto Tempo @ Minnesota Lynx,PRA,,0,,NO_CANONICAL_GAME_ID
739,2026-07-28,Kayla McBride,Toronto Tempo @ Minnesota Lynx,AST,,0,,NO_CANONICAL_GAME_ID
740,2026-07-28,Sabrina Ionescu,New York Liberty @ Los Angeles Sparks,AST,,0,,NO_CANONICAL_GAME_ID
744,2026-07-28,Sabrina Ionescu,New York Liberty @ Los Angeles Sparks,RA,,0,,NO_CANONICAL_GAME_ID
747,2026-07-28,Nneka Ogwumike,New York Liberty @ Los Angeles Sparks,REB,,0,,NO_CANONICAL_GAME_ID
748,2026-07-28,Sabrina Ionescu,New York Liberty @ Los Angeles Sparks,REB,,0,,NO_CANONICAL_GAME_ID
751,2026-07-28,Aliyah Boston,Indiana Fever @ Seattle Storm,RA,,0,,NO_CANONICAL_GAME_ID
753,2026-07-28,Natisha Hiedeman,Indiana Fever @ Seattle Storm,PTS,,0,,NO_CANONICAL_GAME_ID
754,2026-07-28,Olivia Miles,Toronto Tempo @ Minnesota Lynx,3PM,,0,,NO_CANONICAL_GAME_ID
756,2026-07-28,Natisha Hiedeman,Indiana Fever @ Seattle Storm,PR,,0,,NO_CANONICAL_GAME_ID
757,2026-07-28,A'ja Wilson,Portland Fire @ Las Vegas Aces,REB,,0,,NO_CANONICAL_GAME_ID
759,2026-07-28,Natasha Howard,Toronto Tempo @ Minnesota Lynx,PTS,,0,,NO_CANONICAL_GAME_ID
762,2026-07-28,Natisha Hiedeman,Indiana Fever @ Seattle Storm,3PM,,0,,NO_CANONICAL_GAME_ID
763,2026-07-28,A'ja Wilson,Portland Fire @ Las Vegas Aces,RA,,0,,NO_CANONICAL_GAME_ID
765,2026-07-28,Natisha Hiedeman,Indiana Fever @ Seattle Storm,REB,,0,,NO_CANONICAL_GAME_ID
766,2026-07-28,Nneka Ogwumike,New York Liberty @ Los Angeles Sparks,PTS,,0,,NO_CANONICAL_GAME_ID
767,2026-07-28,Aliyah Boston,Indiana Fever @ Seattle Storm,3PM,,0,,NO_CANONICAL_GAME_ID
768,2026-07-28,Aliyah Boston,Indiana Fever @ Seattle Storm,REB,,0,,NO_CANONICAL_GAME_ID
769,2026-07-28,Kelsey Mitchell,Indiana Fever @ Seattle Storm,AST,,0,,NO_CANONICAL_GAME_ID
770,2026-07-28,Awa Fam,Indiana Fever @ Seattle Storm,REB,,0,,NO_CANONICAL_GAME_ID
