domain,artifact,workflow,line,publish_context,snippet
standard_props,data/dashboard/wnba_player_props.json,.github/workflows/deploy_wnba_dashboard.yml,173,False,props=json.loads(Path('data/dashboard/wnba_player_props.json').read_text())
injury_context,data/dashboard/wnba_injury_intelligence.json,.github/workflows/deploy_wnba_dashboard.yml,150,False,if [ -f data/dashboard/wnba_injury_intelligence.json ]; then python patch_dashboard_v5_injury_intelligence.py || true; python patch_dashboard_v5_player_prop_injury_context.py || true; fi
alt_market,data/dashboard/wnba_alt_market_warehouse.json,.github/workflows/deploy_wnba_dashboard.yml,124,False,w=json.loads(Path('data/dashboard/wnba_alt_market_warehouse.json').read_text())
alt_market,data/dashboard/wnba_alt_market_warehouse.json,.github/workflows/wnba-alt-parlay-refresh.yml,44,False,p=Path('data/dashboard/wnba_alt_market_warehouse.json')
current_slate,data/dashboard/wnba_master.json,.github/workflows/wnba-new-day-prediction-sync.yml,98,False,"'master':'data/dashboard/wnba_master.json',"
current_slate,data/dashboard/wnba_master.json,.github/workflows/wnba-new-day-prediction-sync.yml,266,False,data/dashboard/wnba_master.json \
current_slate,data/dashboard/wnba_master.json,.github/workflows/wnba-new-day-prediction-sync.yml,275,False,data/dashboard/wnba_master.json \
standard_props,data/dashboard/wnba_player_props.json,.github/workflows/wnba-new-day-prediction-sync.yml,99,False,"'props':'data/dashboard/wnba_player_props.json',"
standard_props,data/dashboard/wnba_player_props.json,.github/workflows/wnba-new-day-prediction-sync.yml,267,False,data/dashboard/wnba_player_props.json \
standard_props,data/dashboard/wnba_player_props.json,.github/workflows/wnba-new-day-prediction-sync.yml,276,False,data/dashboard/wnba_player_props.json \
injury_context,data/dashboard/wnba_injury_intelligence.json,.github/workflows/wnba-new-day-prediction-sync.yml,103,False,"'injury':'data/dashboard/wnba_injury_intelligence.json',"
injury_context,data/dashboard/wnba_injury_intelligence.json,.github/workflows/wnba-new-day-prediction-sync.yml,155,False,injury=json.loads(Path('data/dashboard/wnba_injury_intelligence.json').read_text())
injury_context,data/dashboard/wnba_injury_intelligence.json,.github/workflows/wnba-new-day-prediction-sync.yml,216,False,injury=json.loads(Path('data/dashboard/wnba_injury_intelligence.json').read_text())
injury_context,data/dashboard/wnba_injury_intelligence.json,.github/workflows/wnba-new-day-prediction-sync.yml,271,False,data/dashboard/wnba_injury_intelligence.json \
injury_context,data/dashboard/wnba_injury_intelligence.json,.github/workflows/wnba-new-day-prediction-sync.yml,280,False,data/dashboard/wnba_injury_intelligence.json \
injury_context,data/warehouse/wnba_injury_intelligence.json,.github/workflows/wnba-new-day-prediction-sync.yml,272,False,data/warehouse/wnba_injury_intelligence.json; then
injury_context,data/warehouse/wnba_injury_intelligence.json,.github/workflows/wnba-new-day-prediction-sync.yml,281,False,data/warehouse/wnba_injury_intelligence.json
game_predictions,data/dashboard/wnba_sprint2_predictions.json,.github/workflows/wnba-new-day-prediction-sync.yml,102,False,"'base_predictions':'data/dashboard/wnba_sprint2_predictions.json',"
game_predictions,data/dashboard/wnba_sprint2_predictions.json,.github/workflows/wnba-new-day-prediction-sync.yml,270,False,data/dashboard/wnba_sprint2_predictions.json \
game_predictions,data/dashboard/wnba_sprint2_predictions.json,.github/workflows/wnba-new-day-prediction-sync.yml,279,False,data/dashboard/wnba_sprint2_predictions.json \
game_predictions,data/dashboard/wnba_sprint2_phase2.json,.github/workflows/wnba-new-day-prediction-sync.yml,156,False,phase2=json.loads(Path('data/dashboard/wnba_sprint2_phase2.json').read_text())
game_predictions,data/dashboard/wnba_sprint2_phase2.json,.github/workflows/wnba-new-day-prediction-sync.yml,194,False,p=json.loads(Path('data/dashboard/wnba_sprint2_phase2.json').read_text())
game_predictions,data/dashboard/wnba_sprint2_phase2.json,.github/workflows/wnba-new-day-prediction-sync.yml,217,False,phase2=json.loads(Path('data/dashboard/wnba_sprint2_phase2.json').read_text())
game_predictions,data/dashboard/wnba_sprint2_phase2.json,.github/workflows/wnba-new-day-prediction-sync.yml,291,True,'data/dashboard/wnba_sprint2_phase2.json' \
game_predictions,data/dashboard/wnba_sprint2_phase2.json,.github/workflows/wnba-new-day-prediction-sync.yml,308,True,git show origin/main:data/dashboard/wnba_sprint2_phase2.json > /tmp/phase2.json
m02_predictions,data/dashboard/wnba_s19_m02_predictions.json,.github/workflows/wnba-new-day-prediction-sync.yml,219,False,m02=json.loads(Path('data/dashboard/wnba_s19_m02_predictions.json').read_text())
m02_predictions,data/dashboard/wnba_s19_m02_predictions.json,.github/workflows/wnba-new-day-prediction-sync.yml,297,True,'data/dashboard/wnba_s19_m02_predictions.json' \
m02_predictions,data/dashboard/wnba_s19_m02_predictions.json,.github/workflows/wnba-new-day-prediction-sync.yml,307,True,git show origin/main:data/dashboard/wnba_s19_m02_predictions.json > /tmp/m02.json
m02_predictions,data/dashboard/wnba_s19_m02_prediction_audit.json,.github/workflows/wnba-new-day-prediction-sync.yml,220,False,audit=json.loads(Path('data/dashboard/wnba_s19_m02_prediction_audit.json').read_text())
m02_predictions,data/dashboard/wnba_s19_m02_prediction_audit.json,.github/workflows/wnba-new-day-prediction-sync.yml,298,True,'data/dashboard/wnba_s19_m02_prediction_audit.json' \
forward_ledger,data/history/wnba_v5_forward_predictions.jsonl,.github/workflows/wnba-v5-adaptive-challenger-v2.yml,11,False,- 'data/history/wnba_v5_forward_predictions.jsonl'
standard_props,data/dashboard/wnba_player_props.json,.github/workflows/wnba-v5-current-data-health.yml,12,False,- 'data/dashboard/wnba_player_props.json'
standard_props,data/dashboard/wnba_player_props.json,.github/workflows/wnba-v5-current-data-health.yml,48,False,props=json.load(open('data/dashboard/wnba_player_props.json'))
injury_context,data/dashboard/wnba_injury_intelligence.json,.github/workflows/wnba-v5-current-data-health.yml,13,False,- 'data/dashboard/wnba_injury_intelligence.json'
results,data/dashboard/wnba_s19_m06_results_lifecycle.json,.github/workflows/wnba-v5-current-data-health.yml,17,False,- 'data/dashboard/wnba_s19_m06_results_lifecycle.json'
forward_ledger,data/history/wnba_v5_forward_predictions.jsonl,.github/workflows/wnba-v5-evidence-integrity.yml,10,False,- 'data/history/wnba_v5_forward_predictions.jsonl'
closing_lines,data/dashboard/wnba_v5_closing_lines.csv,.github/workflows/wnba-v5-evidence-integrity.yml,12,False,- 'data/dashboard/wnba_v5_closing_lines.csv'
closing_lines,data/dashboard/wnba_v5_clv_queue.json,.github/workflows/wnba-v5-evidence-integrity.yml,13,False,- 'data/dashboard/wnba_v5_clv_queue.json'
results,data/history/wnba_model_history.jsonl,.github/workflows/wnba-v5-evidence-integrity.yml,11,False,- 'data/history/wnba_model_history.jsonl'
forward_ledger,data/history/wnba_v5_forward_predictions.jsonl,.github/workflows/wnba-v5-forward-challenger.yml,10,False,- 'data/history/wnba_v5_forward_predictions.jsonl'
forward_ledger,data/history/wnba_v5_forward_predictions.jsonl,.github/workflows/wnba-v5-forward-diagnostics.yml,8,False,- 'data/history/wnba_v5_forward_predictions.jsonl'
injury_context,data/dashboard/wnba_injury_intelligence.json,.github/workflows/wnba-v5-m10-live-decision.yml,15,False,- 'data/dashboard/wnba_injury_intelligence.json'
