archive_index,game_date,game_id,player,stat,side,alt_line,american_odds,reference_close_line,reference_close_odds,close_quality,line_move,price_move,snapshot_count,book_count
756,2026-07-28,401857094,Natisha Hiedeman,PR,UNDER,18.5,-121.0,18.5,-121.0,INFERRED_LATEST,0.0,0.0,1,0
769,2026-07-28,401857094,Kelsey Mitchell,AST,UNDER,2.5,-127.0,2.5,-127.0,INFERRED_LATEST,0.0,0.0,1,0
716,2026-07-28,401857095,A'ja Wilson,REB,UNDER,9.5,-53.0,9.5,-51.25,INFERRED_LATEST,0.0,0.0,1,0
723,2026-07-28,401857095,A'ja Wilson,RA,UNDER,13.5,-134.0,13.5,-128.0,INFERRED_LATEST,0.0,0.0,1,0
731,2026-07-28,401857095,A'ja Wilson,RA,UNDER,12.5,-112.0,13.5,-128.0,INFERRED_LATEST,0.0,0.0,1,0
757,2026-07-28,401857095,A'ja Wilson,REB,UNDER,9.5,-51.25,9.5,-51.25,INFERRED_LATEST,0.0,0.0,1,0
763,2026-07-28,401857095,A'ja Wilson,RA,UNDER,13.5,-128.0,13.5,-128.0,INFERRED_LATEST,0.0,0.0,1,0
773,2026-07-28,401857095,A'ja Wilson,RA,UNDER,12.5,106.0,13.5,-128.0,INFERRED_LATEST,0.0,0.0,1,0
666,2026-07-28,401857096,Sabrina Ionescu,AST,UNDER,5.5,-146.0,5.5,-170.5,INFERRED_LATEST,0.0,0.0,1,0
700,2026-07-28,401857096,Sabrina Ionescu,AST,UNDER,5.5,-143.25,5.5,-170.5,INFERRED_LATEST,0.0,0.0,1,0
740,2026-07-28,401857096,Sabrina Ionescu,AST,UNDER,5.5,-170.33,5.5,-170.5,INFERRED_LATEST,0.0,0.0,1,0
766,2026-07-28,401857096,Nneka Ogwumike,PTS,UNDER,17.5,-55.75,17.5,-58.25,INFERRED_LATEST,0.0,0.0,1,0
772,2026-07-28,401857096,Nneka Ogwumike,PRA,UNDER,30.5,-122.0,29.5,-112.0,INFERRED_LATEST,0.0,0.0,1,0
775,2026-07-28,401857096,Nneka Ogwumike,PA,UNDER,21.5,-125.0,20.5,-110.0,INFERRED_LATEST,0.0,0.0,1,0
776,2026-07-28,401857096,Nneka Ogwumike,AST,UNDER,3.5,-148.5,3.5,-149.0,INFERRED_LATEST,0.0,0.0,1,0
780,2026-07-28,401857096,Sabrina Ionescu,AST,UNDER,4.5,120.0,5.5,-170.5,INFERRED_LATEST,0.0,0.0,1,0
703,2026-07-29,401857097,Rhyne Howard,PA,UNDER,21.5,-128.0,21.5,-124.5,INFERRED_LATEST,0.0,0.0,1,0
