archive_index,game_date,game_id,player,stat,side,target_win,american_odds,KNN_BASELINE,PEER_HIT,SIMILARITY,REST_FATIGUE,CONTEXT_SCORE,PEER_PLUS_REST,ALL_CONTEXT
756,2026-07-28,401857094,Natisha Hiedeman,PR,UNDER,0,-121.0,0.25467,0.25467,0.25467,0.25467,0.25467,0.25467,0.25467
769,2026-07-28,401857094,Kelsey Mitchell,AST,UNDER,1,-127.0,0.473291,0.473291,0.473291,0.473291,0.473291,0.473291,0.473291
716,2026-07-28,401857095,A'ja Wilson,REB,UNDER,0,-53.0,0.445648,0.445648,0.445648,0.445648,0.445648,0.445648,0.445648
723,2026-07-28,401857095,A'ja Wilson,RA,UNDER,0,-134.0,0.34673,0.34673,0.34673,0.34673,0.34673,0.34673,0.34673
731,2026-07-28,401857095,A'ja Wilson,RA,UNDER,0,-112.0,0.241757,0.241757,0.241757,0.241757,0.241757,0.241757,0.241757
757,2026-07-28,401857095,A'ja Wilson,REB,UNDER,0,-51.25,0.14351,0.14351,0.14351,0.14351,0.14351,0.14351,0.14351
763,2026-07-28,401857095,A'ja Wilson,RA,UNDER,0,-128.0,0.169072,0.169072,0.169072,0.169072,0.169072,0.169072,0.169072
773,2026-07-28,401857095,A'ja Wilson,RA,UNDER,0,106.0,0.079962,0.079962,0.079962,0.079962,0.079962,0.079962,0.079962
666,2026-07-28,401857096,Sabrina Ionescu,AST,UNDER,0,-146.0,0.765109,0.765109,0.765109,0.765109,0.765109,0.765109,0.765109
700,2026-07-28,401857096,Sabrina Ionescu,AST,UNDER,0,-143.25,0.482604,0.482604,0.482604,0.482604,0.482604,0.482604,0.482604
740,2026-07-28,401857096,Sabrina Ionescu,AST,UNDER,0,-170.33,0.523956,0.523956,0.523956,0.523956,0.523956,0.523956,0.523956
766,2026-07-28,401857096,Nneka Ogwumike,PTS,UNDER,0,-55.75,0.152061,0.152061,0.152061,0.152061,0.152061,0.152061,0.152061
772,2026-07-28,401857096,Nneka Ogwumike,PRA,UNDER,0,-122.0,0.068116,0.068116,0.068116,0.068116,0.068116,0.068116,0.068116
