archive_index,game_date,game_id,player,stat,side,alt_line,target_win,knn_probability,ensemble_probability,days_since_previous_game,rest_days,back_to_back,games_last_7d,games_last_14d,three_in_four_proxy,fatigue_score,rolling5_actual_mean,rolling5_actual_std,rolling5_trend_slope,historical_hit_rate_l5,prior_games,similar_peer_count,avg_peer_similarity,similar_peer_hit_rate,peer_minus_knn_probability,context_score,context_class
756,2026-07-28,401857094,Natisha Hiedeman,PR,UNDER,18.5,0,0.25467,0.461804,6,5,False,1,4,False,83.0,14.333333333333334,4.4969125210773475,-3.0,0.6666666666666666,3,2,0.382274,1,0.74533,72.798,STRONG
769,2026-07-28,401857094,Kelsey Mitchell,AST,UNDER,2.5,1,0.473291,0.365043,6,5,False,1,4,False,83.0,2.0,1.5811388300841898,-1.0,0.5,4,1,0.333333,1,0.526709,74.381,STRONG
716,2026-07-28,401857095,A'ja Wilson,REB,UNDER,9.5,0,0.445648,0.38689,3,2,False,1,2,False,75.0,7.0,3.7416573867739413,-4.5,0.6666666666666666,3,1,0.333333,1,0.554352,69.985,NEUTRAL
723,2026-07-28,401857095,A'ja Wilson,RA,UNDER,13.5,0,0.34673,0.515389,3,2,False,1,2,False,75.0,9.333333333333334,4.109609335312651,-5.0,0.6666666666666666,3,0,,,,50.543,WEAK
731,2026-07-28,401857095,A'ja Wilson,RA,UNDER,12.5,0,0.241757,0.440238,3,2,False,1,2,False,75.0,9.333333333333334,4.109609335312651,-5.0,0.6666666666666666,3,0,,,,50.543,WEAK
757,2026-07-28,401857095,A'ja Wilson,REB,UNDER,9.5,0,0.14351,0.277327,3,2,False,1,2,False,75.0,7.0,3.7416573867739413,-4.5,0.6666666666666666,3,1,0.333333,1,0.85649,69.985,NEUTRAL
763,2026-07-28,401857095,A'ja Wilson,RA,UNDER,13.5,0,0.169072,0.430895,3,2,False,1,2,False,75.0,9.333333333333334,4.109609335312651,-5.0,0.6666666666666666,3,0,,,,50.543,WEAK
773,2026-07-28,401857095,A'ja Wilson,RA,UNDER,12.5,0,0.079962,0.347547,3,2,False,1,2,False,75.0,9.333333333333334,4.109609335312651,-5.0,0.6666666666666666,3,0,,,,50.543,WEAK
666,2026-07-28,401857096,Sabrina Ionescu,AST,UNDER,5.5,0,0.765109,0.766702,6,5,False,1,3,False,83.0,3.75,1.0897247358851685,-0.5,1.0,4,1,0.333333,0,-0.765109,49.749,WEAK
700,2026-07-28,401857096,Sabrina Ionescu,AST,UNDER,5.5,0,0.482604,0.666319,6,5,False,1,3,False,83.0,3.75,1.0897247358851685,-0.5,1.0,4,1,0.333333,0,-0.482604,49.749,WEAK
740,2026-07-28,401857096,Sabrina Ionescu,AST,UNDER,5.5,0,0.523956,0.636894,6,5,False,1,3,False,83.0,3.75,1.0897247358851685,-0.5,1.0,4,1,0.333333,0,-0.523956,49.749,WEAK
766,2026-07-28,401857096,Nneka Ogwumike,PTS,UNDER,17.5,0,0.152061,0.161427,9,8,False,0,3,False,83.0,19.25,2.277608394786075,-1.1,0.25,4,3,0.389897,1,0.847939,74.99,STRONG
772,2026-07-28,401857096,Nneka Ogwumike,PRA,UNDER,30.5,0,0.068116,0.27253,9,8,False,0,3,False,83.0,34.333333333333336,4.4969125210773475,2.5,0.3333333333333333,3,3,0.366322,1,0.931884,72.479,STRONG
775,2026-07-28,401857096,Nneka Ogwumike,PA,UNDER,21.5,0,0.150321,0.204685,9,8,False,0,3,False,83.0,23.5,2.958039891549808,-1.8,0.25,4,1,0.333333,1,0.849679,73.348,STRONG
776,2026-07-28,401857096,Nneka Ogwumike,AST,UNDER,3.5,0,0.222057,0.290051,9,8,False,0,3,False,83.0,4.0,0.816496580927726,-1.0,0.3333333333333333,3,2,0.346078,0.5,0.277943,62.334,NEUTRAL
780,2026-07-28,401857096,Sabrina Ionescu,AST,UNDER,4.5,0,0.36534,0.363858,6,5,False,1,3,False,83.0,3.75,1.0897247358851685,-0.5,0.75,4,1,0.333333,0,-0.36534,49.749,WEAK
703,2026-07-29,401857097,Rhyne Howard,PA,UNDER,21.5,1,0.476967,0.524545,4,3,False,1,3,False,83.0,14.25,2.165063509461097,-0.7,1.0,4,1,0.333333,0,-0.476967,48.943,WEAK
706,2026-07-29,401857097,Rhyne Howard,PRA,UNDER,25.5,1,0.449761,0.549347,4,3,False,1,3,False,83.0,18.75,3.191786333700926,-1.1,1.0,4,3,0.413248,0.666667,0.216906,66.438,NEUTRAL
707,2026-07-29,401857097,Rhyne Howard,PTS,UNDER,17.5,1,0.854247,0.700302,4,3,False,1,3,False,83.0,9.666666666666666,1.247219128924647,-1.5,1.0,3,4,0.427514,0.5,-0.354247,63.64,NEUTRAL
709,2026-07-29,401857097,Rhyne Howard,PR,UNDER,21.5,1,0.891267,0.722958,4,3,False,1,3,False,83.0,13.666666666666666,2.0548046676563256,-2.5,1.0,3,3,0.459129,0.666667,-0.2246,67.833,NEUTRAL
711,2026-07-29,401857097,Rhyne Howard,PA,UNDER,20.5,1,0.570209,0.591576,4,3,False,1,3,False,83.0,14.25,2.165063509461097,-0.7,1.0,4,1,0.333333,0,-0.570209,48.943,WEAK
742,2026-07-29,401857097,Rhyne Howard,PA,UNDER,21.5,1,0.711168,0.67992,4,3,False,1,3,False,83.0,14.25,2.165063509461097,-0.7,1.0,4,1,0.333333,0,-0.711168,48.943,WEAK
745,2026-07-29,401857097,Rhyne Howard,PRA,UNDER,25.5,1,0.773269,0.713122,4,3,False,1,3,False,83.0,18.75,3.191786333700926,-1.1,1.0,4,3,0.413248,0.666667,-0.106602,66.438,NEUTRAL
746,2026-07-29,401857097,Rhyne Howard,PTS,UNDER,17.5,1,0.98,0.776215,4,3,False,1,3,False,83.0,9.666666666666666,1.247219128924647,-1.5,1.0,3,4,0.427514,0.5,-0.48,63.64,NEUTRAL
787,2026-07-29,401857097,Rhyne Howard,PA,UNDER,21.5,1,0.769156,0.720566,4,3,False,1,3,False,83.0,14.25,2.165063509461097,-0.7,1.0,4,1,0.333333,0,-0.769156,48.943,WEAK
789,2026-07-29,401857097,Rhyne Howard,PRA,UNDER,25.5,1,0.827384,0.754953,4,3,False,1,3,False,83.0,18.75,3.191786333700926,-1.1,1.0,4,3,0.413248,0.666667,-0.160717,66.438,NEUTRAL
790,2026-07-29,401857097,Rhyne Howard,PTS,UNDER,17.5,1,0.98,0.788745,4,3,False,1,3,False,83.0,9.666666666666666,1.247219128924647,-1.5,1.0,3,4,0.427514,0.5,-0.48,63.64,NEUTRAL
791,2026-07-29,401857097,Rhyne Howard,PR,UNDER,21.5,1,0.926562,0.786882,4,3,False,1,3,False,83.0,13.666666666666666,2.0548046676563256,-2.5,1.0,3,3,0.459129,0.666667,-0.259895,67.833,NEUTRAL
813,2026-07-29,401857097,Rhyne Howard,PA,UNDER,21.5,1,0.877259,0.778275,4,3,False,1,3,False,83.0,14.25,2.165063509461097,-0.7,1.0,4,1,0.333333,0,-0.877259,48.943,WEAK
815,2026-07-29,401857097,Rhyne Howard,PRA,UNDER,25.5,1,0.870738,0.777304,4,3,False,1,3,False,83.0,18.75,3.191786333700926,-1.1,1.0,4,3,0.413248,0.666667,-0.204071,66.438,NEUTRAL
816,2026-07-29,401857097,Rhyne Howard,PTS,UNDER,17.5,1,0.98,0.811331,4,3,False,1,3,False,83.0,9.666666666666666,1.247219128924647,-1.5,1.0,3,4,0.427514,0.5,-0.48,63.64,NEUTRAL
817,2026-07-29,401857097,Rhyne Howard,PR,UNDER,21.5,1,0.93421,0.799093,4,3,False,1,3,False,83.0,13.666666666666666,2.0548046676563256,-2.5,1.0,3,3,0.459129,0.666667,-0.267543,67.833,NEUTRAL
836,2026-07-30,401857099,Natasha Howard,PR,UNDER,19.5,1,0.814309,0.774782,2,1,False,2,5,False,68.0,16.333333333333332,3.0912061651652345,0.5,1.0,3,4,0.530015,0.75,-0.064309,66.057,NEUTRAL
831,2026-07-30,401857100,Charlisse Leger-Walker,PR,UNDER,9.5,0,0.98,0.810098,8,7,False,0,3,False,83.0,6.333333333333333,2.3570226039551585,-2.5,1.0,3,4,0.50711,0.75,-0.23,70.649,STRONG
835,2026-07-30,401857100,Charlisse Leger-Walker,PRA,UNDER,13.5,1,0.072371,0.349739,8,7,False,0,3,False,83.0,11.666666666666666,3.39934634239519,-4.0,0.6666666666666666,3,4,0.437235,0.75,0.677629,68.47,NEUTRAL
838,2026-07-30,401857100,Charlisse Leger-Walker,PA,UNDER,10.5,0,0.167064,0.39084,8,7,False,0,3,False,83.0,8.666666666666666,2.6246692913372702,-3.0,0.6666666666666666,3,2,0.402506,0.5,0.332936,62.107,NEUTRAL
874,2026-07-30,401857100,Kamilla Cardoso,REB,UNDER,7.5,1,0.08017,0.369497,11,10,False,0,2,False,83.0,6.0,3.559026084010437,0.5,0.6666666666666666,3,2,0.398443,0.5,0.41983,61.325,NEUTRAL
819,2026-07-30,401857101,Pauline Astier,REB,UNDER,2.5,1,0.729719,0.763722,8,7,False,0,2,False,83.0,1.6666666666666667,0.4714045207910317,-0.5,1.0,3,2,0.445113,0.5,-0.229719,64.574,NEUTRAL
833,2026-07-30,401857101,Pauline Astier,PR,UNDER,10.5,0,0.935489,0.782327,8,7,False,0,2,False,83.0,8.333333333333334,1.699673171197595,2.0,1.0,3,4,0.539896,0.75,-0.185489,71.798,STRONG
852,2026-07-31,401857102,Rhyne Howard,PRA,UNDER,25.5,1,0.680232,0.731645,2,1,False,2,4,False,68.0,18.8,2.85657137141714,-0.5,1.0,5,4,0.434843,0.75,0.069768,65.079,NEUTRAL
853,2026-07-31,401857102,Rhyne Howard,PTS,UNDER,17.5,1,0.818091,0.756895,2,1,False,2,4,False,68.0,9.5,1.118033988749895,-0.8,1.0,4,4,0.426466,0.5,-0.318091,59.591,NEUTRAL
854,2026-07-31,401857102,Rhyne Howard,PTS,UNDER,16.5,1,0.890019,0.757744,2,1,False,2,4,False,68.0,9.5,1.118033988749895,-0.8,1.0,4,4,0.429268,0.5,-0.390019,59.647,NEUTRAL
856,2026-07-31,401857102,Rhyne Howard,PR,UNDER,21.5,1,0.943005,0.798366,2,1,False,2,4,False,68.0,13.75,1.7853571071357126,-0.9,1.0,4,5,0.580433,0.4,-0.543005,59.67,NEUTRAL
857,2026-07-31,401857102,Rhyne Howard,PA,UNDER,20.5,1,0.901822,0.775107,2,1,False,2,4,False,68.0,14.2,1.9390719429665315,-0.4,1.0,5,2,0.358635,0,-0.901822,45.493,WEAK
861,2026-07-31,401857102,Rhyne Howard,PRA,UNDER,24.5,1,0.956702,0.804757,2,1,False,2,4,False,68.0,18.8,2.85657137141714,-0.5,1.0,5,4,0.437327,0.75,-0.206702,65.129,NEUTRAL
865,2026-07-31,401857103,Azzi Fudd,AST,OVER,1.5,0,0.720534,0.744465,2,1,False,1,4,False,68.0,2.0,0.0,0.0,1.0,3,3,0.346688,0.333333,-0.387201,54.292,WEAK
867,2026-07-31,401857103,Jessica Shepard,AST,OVER,4.5,1,0.735832,0.702619,2,1,False,2,4,False,68.0,5.333333333333333,0.4714045207910317,-0.5,1.0,3,3,0.358015,0.333333,-0.402499,54.165,WEAK
818,2026-07-31,401857104,Aliyah Boston,RA,UNDER,11.5,0,0.127711,0.406819,3,2,False,2,3,False,75.0,6.333333333333333,6.182412330330469,-6.0,0.6666666666666666,3,1,0.379796,0,-0.127711,44.084,WEAK
832,2026-07-31,401857104,Aliyah Boston,REB,UNDER,8.5,0,0.828117,0.741785,3,2,False,2,3,False,75.0,3.3333333333333335,2.6246692913372702,-2.5,1.0,3,4,0.398698,0.75,-0.078117,65.88,NEUTRAL
839,2026-07-31,401857104,Aliyah Boston,3PM,UNDER,1.5,1,0.650504,0.563394,3,2,False,2,3,False,75.0,1.0,0.816496580927726,-0.5,0.6666666666666666,3,1,0.333333,1,0.349496,72.179,STRONG
851,2026-07-31,401857104,Kelsey Mitchell,AST,UNDER,3.5,1,0.623036,0.663591,3,2,False,1,4,False,75.0,2.0,1.4142135623730951,-0.5,0.8,5,2,0.396437,0,-0.623036,48.743,WEAK
855,2026-07-31,401857104,Aliyah Boston,RA,UNDER,11.5,0,0.103017,0.394618,3,2,False,2,3,False,75.0,6.333333333333333,6.182412330330469,-6.0,0.6666666666666666,3,1,0.379796,0,-0.103017,44.084,WEAK
866,2026-07-31,401857104,Aliyah Boston,REB,UNDER,8.5,0,0.700609,0.711797,3,2,False,2,3,False,75.0,3.3333333333333335,2.6246692913372702,-2.5,1.0,3,4,0.398698,0.75,0.049391,65.88,NEUTRAL
875,2026-07-31,401857104,Aliyah Boston,3PM,UNDER,1.5,1,0.762114,0.629731,3,2,False,2,3,False,75.0,1.0,0.816496580927726,-0.5,0.6666666666666666,3,1,0.333333,1,0.237886,72.179,STRONG
890,2026-08-01,401857105,Natasha Cloud,REB,UNDER,3.5,1,0.533714,0.53188,2,1,False,1,2,False,68.0,3.3333333333333335,1.8856180831641267,0.0,0.6666666666666666,3,5,0.427587,0.6,0.066286,61.163,NEUTRAL
907,2026-08-01,401857105,Natasha Cloud,PR,UNDER,13.5,1,0.173279,0.416593,2,1,False,1,2,False,68.0,11.666666666666666,2.494438257849294,-2.0,0.6666666666666666,3,5,0.467083,0.6,0.426721,61.496,NEUTRAL
908,2026-08-01,401857105,Kamilla Cardoso,REB,UNDER,7.5,0,0.439814,0.608687,2,1,False,1,2,False,68.0,6.0,3.082207001484488,0.2,0.75,4,4,0.412312,0.5,0.060186,57.835,NEUTRAL
883,2026-08-01,401857106,Pauline Astier,REB,UNDER,2.5,1,0.614264,0.756586,2,1,False,1,3,False,68.0,1.5,0.5,-0.4,1.0,4,4,0.433763,0.5,-0.114264,60.2,NEUTRAL
905,2026-08-01,401857106,Jonquel Jones,AST,OVER,2.5,1,0.558263,0.410678,2,1,False,1,3,False,68.0,3.0,1.4142135623730951,1.5,0.3333333333333333,3,5,0.368001,0.4,-0.158263,55.324,NEUTRAL
893,2026-08-02,401857107,Kelsey Mitchell,AST,UNDER,2.5,0,0.488451,0.56048,2,1,False,2,3,False,68.0,1.8,1.3266499161421599,-0.20000000000000004,0.8,6,5,0.432598,0.4,-0.088451,57.807,NEUTRAL
906,2026-08-02,401857107,Aliyah Boston,PTS,UNDER,16.5,1,0.440514,0.4041,2,1,False,2,4,False,68.0,18.666666666666668,2.8674417556808756,1.5,0.3333333333333333,3,5,0.47483,0.6,0.159486,61.371,NEUTRAL
933,2026-08-02,401857107,Kelsey Mitchell,AST,UNDER,2.5,0,0.319643,0.465314,2,1,False,2,3,False,68.0,1.8,1.3266499161421599,-0.20000000000000004,0.8,6,5,0.432598,0.4,0.080357,57.807,NEUTRAL
947,2026-08-02,401857107,Aliyah Boston,PTS,UNDER,16.5,1,0.720482,0.497362,2,1,False,2,4,False,68.0,18.666666666666668,2.8674417556808756,1.5,0.3333333333333333,3,5,0.47483,0.6,-0.120482,61.371,NEUTRAL
948,2026-08-02,401857107,Aliyah Boston,PTS,UNDER,15.5,1,0.60572,0.468152,2,1,False,2,4,False,68.0,18.666666666666668,2.8674417556808756,1.5,0.3333333333333333,3,5,0.471848,0.6,-0.00572,61.311,NEUTRAL
915,2026-08-02,401857109,Charlisse Leger-Walker,PRA,UNDER,15.5,1,0.840157,0.748614,3,2,False,1,3,False,75.0,12.0,3.0,-1.2,1.0,4,4,0.489511,0.75,-0.090157,67.79,NEUTRAL
916,2026-08-02,401857109,Charlisse Leger-Walker,PA,UNDER,12.5,1,0.81771,0.735706,3,2,False,1,3,False,75.0,9.5,2.692582403567252,-0.2,1.0,4,2,0.435642,0.5,-0.31771,60.693,NEUTRAL
931,2026-08-02,401857109,Charlisse Leger-Walker,PRA,UNDER,14.5,1,0.354465,0.547582,3,2,False,1,3,False,75.0,12.0,3.0,-1.2,0.75,4,4,0.456178,0.75,0.395535,67.124,NEUTRAL
895,2026-08-02,401857110,Janelle Salaun,3PM,UNDER,2.5,0,0.699053,0.755376,4,3,False,1,2,False,83.0,1.6666666666666667,0.4714045207910317,0.0,1.0,3,2,0.413894,1,0.300947,76.449,STRONG
937,2026-08-02,401857110,Janelle Salaun,3PM,UNDER,2.5,0,0.559502,0.706024,4,3,False,1,2,False,83.0,1.6666666666666667,0.4714045207910317,0.0,1.0,3,2,0.413894,1,0.440498,76.449,STRONG
1006,2026-08-02,401857110,Laura Juskaite,REB,OVER,3.5,1,0.642719,0.590093,13,12,False,0,1,False,83.0,3.6666666666666665,0.4714045207910317,-0.5,0.6666666666666666,3,5,0.465822,0.6,-0.042719,67.488,NEUTRAL
914,2026-08-03,401857111,Rhyne Howard,PTS,UNDER,16.5,0,0.893286,0.734313,3,2,False,2,3,False,75.0,9.4,1.019803902718557,-0.5,1.0,5,5,0.415642,0.6,-0.293286,64.423,NEUTRAL
917,2026-08-03,401857111,Rhyne Howard,PR,UNDER,20.5,1,0.894068,0.738832,3,2,False,2,3,False,75.0,13.2,1.9390719429665315,-1.0,1.0,5,5,0.589103,0.6,-0.294068,67.203,NEUTRAL
918,2026-08-03,401857111,Rhyne Howard,PA,UNDER,20.5,0,0.801808,0.72628,3,2,False,2,3,False,75.0,14.2,1.9390719429665315,-0.5,1.0,6,2,0.424578,0.5,-0.301808,61.787,NEUTRAL
919,2026-08-03,401857111,Rhyne Howard,PRA,UNDER,24.5,1,0.789416,0.716499,3,2,False,2,3,False,75.0,18.2,3.059411708155671,-1.0,1.0,6,4,0.453453,0.75,-0.039416,67.774,NEUTRAL
953,2026-08-03,401857111,Rhyne Howard,PTS,UNDER,16.5,0,0.71653,0.668497,3,2,False,2,3,False,75.0,9.4,1.019803902718557,-0.5,1.0,5,5,0.415642,0.6,-0.11653,64.423,NEUTRAL
954,2026-08-03,401857111,Rhyne Howard,PR,UNDER,20.5,1,0.811719,0.70874,3,2,False,2,3,False,75.0,13.2,1.9390719429665315,-1.0,1.0,5,5,0.589103,0.6,-0.211719,67.203,NEUTRAL
957,2026-08-03,401857111,Rhyne Howard,PA,UNDER,20.5,0,0.64908,0.664736,3,2,False,2,3,False,75.0,14.2,1.9390719429665315,-0.5,1.0,6,2,0.424578,0.5,-0.14908,61.787,NEUTRAL
960,2026-08-03,401857111,Rhyne Howard,PRA,UNDER,24.5,1,0.751064,0.69706,3,2,False,2,3,False,75.0,18.2,3.059411708155671,-1.0,1.0,6,4,0.453453,0.75,-0.001064,67.774,NEUTRAL
938,2026-08-03,401857112,Jonquel Jones,AST,OVER,2.5,0,0.635741,0.527524,2,1,False,2,4,False,68.0,3.5,1.5,1.2,0.5,4,5,0.373746,0.2,-0.435741,50.75,WEAK
966,2026-08-03,401857112,Natisha Hiedeman,AST,UNDER,5.5,0,0.513673,0.552617,6,5,False,1,3,False,83.0,4.666666666666667,2.3570226039551585,2.5,0.6666666666666666,3,5,0.383666,0.4,-0.113673,59.431,NEUTRAL
975,2026-08-03,401857112,Jonquel Jones,AST,OVER,2.5,0,0.398896,0.462729,2,1,False,2,4,False,68.0,3.5,1.5,1.2,0.5,4,5,0.373746,0.2,-0.198896,50.75,WEAK
987,2026-08-03,401857112,Awa Fam,REB,OVER,5.5,1,0.554583,0.429997,3,2,False,2,2,False,75.0,5.666666666666667,0.9428090415820634,0.0,0.3333333333333333,3,5,0.415153,0.6,0.045417,63.721,NEUTRAL
978,2026-08-03,401857113,Natasha Cloud,PR,UNDER,13.5,0,0.407934,0.540802,2,1,False,2,2,False,68.0,11.75,2.165063509461097,-0.7,0.75,4,5,0.481953,0.4,-0.007934,57.415,NEUTRAL
