ranking_key,date,player,game,player_team,opponent,stat,side,rotation_adjusted_projection,rotation_risk_band,archetype_status,opponent_overall_archetype,opponent_archetype_signature,opponent_primary_strength_stat,opponent_primary_weakness_stat,opponent_recent_defense_trend,opponent_venue_defense_profile,stat_specific_archetype,position_specific_available
2026-08-29|alyssa thomas|toronto tempo @ phoenix mercury|ast|over,2026-08-29,Alyssa Thomas,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,Toronto Tempo,AST,OVER,,STABLE,READY,NEUTRAL,NEUTRAL|BEST_AST|WEAK_3PM|STABLE,AST,3PM,STABLE,STRONGER_AT_HOME,PLAYMAKING_ELITE_SUPPRESSION,True
2026-08-29|alyssa thomas|toronto tempo @ phoenix mercury|ast|under,2026-08-29,Alyssa Thomas,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,Toronto Tempo,AST,UNDER,,STABLE,READY,NEUTRAL,NEUTRAL|BEST_AST|WEAK_3PM|STABLE,AST,3PM,STABLE,STRONGER_AT_HOME,PLAYMAKING_ELITE_SUPPRESSION,True
2026-08-29|alyssa thomas|toronto tempo @ phoenix mercury|pa|over,2026-08-29,Alyssa Thomas,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,Toronto Tempo,PA,OVER,,STABLE,READY,NEUTRAL,NEUTRAL|BEST_AST|WEAK_3PM|STABLE,AST,3PM,STABLE,STRONGER_AT_HOME,SCORING_PLAYMAKING_STRONG_SUPPRESSION,True
2026-08-29|alyssa thomas|toronto tempo @ phoenix mercury|pa|over,2026-08-29,Alyssa Thomas,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,Toronto Tempo,PA,OVER,,STABLE,READY,NEUTRAL,NEUTRAL|BEST_AST|WEAK_3PM|STABLE,AST,3PM,STABLE,STRONGER_AT_HOME,SCORING_PLAYMAKING_STRONG_SUPPRESSION,True
2026-08-29|alyssa thomas|toronto tempo @ phoenix mercury|pa|under,2026-08-29,Alyssa Thomas,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,Toronto Tempo,PA,UNDER,,STABLE,READY,NEUTRAL,NEUTRAL|BEST_AST|WEAK_3PM|STABLE,AST,3PM,STABLE,STRONGER_AT_HOME,SCORING_PLAYMAKING_STRONG_SUPPRESSION,True
2026-08-29|alyssa thomas|toronto tempo @ phoenix mercury|pa|under,2026-08-29,Alyssa Thomas,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,Toronto Tempo,PA,UNDER,,STABLE,READY,NEUTRAL,NEUTRAL|BEST_AST|WEAK_3PM|STABLE,AST,3PM,STABLE,STRONGER_AT_HOME,SCORING_PLAYMAKING_STRONG_SUPPRESSION,True
2026-08-29|alyssa thomas|toronto tempo @ phoenix mercury|pr|over,2026-08-29,Alyssa Thomas,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,Toronto Tempo,PR,OVER,,STABLE,READY,NEUTRAL,NEUTRAL|BEST_AST|WEAK_3PM|STABLE,AST,3PM,STABLE,STRONGER_AT_HOME,SCORING_REBOUNDING_STRONG_SUPPRESSION,True
2026-08-29|alyssa thomas|toronto tempo @ phoenix mercury|pr|under,2026-08-29,Alyssa Thomas,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,Toronto Tempo,PR,UNDER,,STABLE,READY,NEUTRAL,NEUTRAL|BEST_AST|WEAK_3PM|STABLE,AST,3PM,STABLE,STRONGER_AT_HOME,SCORING_REBOUNDING_STRONG_SUPPRESSION,True
2026-08-29|alyssa thomas|toronto tempo @ phoenix mercury|pra|over,2026-08-29,Alyssa Thomas,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,Toronto Tempo,PRA,OVER,,STABLE,READY,NEUTRAL,NEUTRAL|BEST_AST|WEAK_3PM|STABLE,AST,3PM,STABLE,STRONGER_AT_HOME,ALL_AROUND_VULNERABLE,True
2026-08-29|alyssa thomas|toronto tempo @ phoenix mercury|pra|over,2026-08-29,Alyssa Thomas,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,Toronto Tempo,PRA,OVER,,STABLE,READY,NEUTRAL,NEUTRAL|BEST_AST|WEAK_3PM|STABLE,AST,3PM,STABLE,STRONGER_AT_HOME,ALL_AROUND_VULNERABLE,True
