team,overall_defense_index,overall_archetype,primary_strength_stat,primary_weakness_stat,scoring_archetype,perimeter_archetype,playmaking_archetype,rebounding_archetype,recent_defense_trend,venue_defense_profile,position_profile_rows,position_specific_available,archetype_signature,pace_archetype,rim_protection_archetype,transition_defense_archetype,stat_archetypes
Atlanta Dream,0.9053,STRONG_SUPPRESSION,PR,RA,STRONG_SUPPRESSION,UNAVAILABLE,ELITE_SUPPRESSION,NEUTRAL,STABLE,BALANCED,15,True,STRONG_SUPPRESSION|BEST_PR|WEAK_RA|STABLE,UNAVAILABLE_NO_SOURCE,UNAVAILABLE_NO_SOURCE,UNAVAILABLE_NO_SOURCE,SCORING_STRONG_SUPPRESSION|PLAYMAKING_ELITE_SUPPRESSION|REBOUNDING_NEUTRAL|ALL_AROUND_NEUTRAL|SCORING_PLAYMAKING_NEUTRAL|SCORING_REBOUNDING_ELITE_SUPPRESSION|REBOUNDING_PLAYMAKING_VULNERABLE
Chicago Sky,0.9815,NEUTRAL,AST,REB,NEUTRAL,STRONG_SUPPRESSION,ELITE_SUPPRESSION,SEVERE_VULNERABILITY,STABLE,STRONGER_AWAY,21,True,NEUTRAL|BEST_AST|WEAK_REB|STABLE,UNAVAILABLE_NO_SOURCE,UNAVAILABLE_NO_SOURCE,UNAVAILABLE_NO_SOURCE,SCORING_NEUTRAL|PERIMETER_STRONG_SUPPRESSION|PLAYMAKING_ELITE_SUPPRESSION|REBOUNDING_SEVERE_VULNERABILITY|ALL_AROUND_VULNERABLE|SCORING_PLAYMAKING_NEUTRAL|SCORING_REBOUNDING_STRONG_SUPPRESSION|REBOUNDING_PLAYMAKING_STRONG_SUPPRESSION
Connecticut Sun,0.9066,STRONG_SUPPRESSION,AST,PTS,SEVERE_VULNERABILITY,ELITE_SUPPRESSION,ELITE_SUPPRESSION,STRONG_SUPPRESSION,STABLE,STRONGER_AT_HOME,19,True,STRONG_SUPPRESSION|BEST_AST|WEAK_PTS|STABLE,UNAVAILABLE_NO_SOURCE,UNAVAILABLE_NO_SOURCE,UNAVAILABLE_NO_SOURCE,SCORING_SEVERE_VULNERABILITY|PERIMETER_ELITE_SUPPRESSION|PLAYMAKING_ELITE_SUPPRESSION|REBOUNDING_STRONG_SUPPRESSION|ALL_AROUND_NEUTRAL|SCORING_PLAYMAKING_NEUTRAL|SCORING_REBOUNDING_SEVERE_VULNERABILITY|REBOUNDING_PLAYMAKING_ELITE_SUPPRESSION
Dallas Wings,0.7991,ELITE_SUPPRESSION,PRA,RA,ELITE_SUPPRESSION,ELITE_SUPPRESSION,STRONG_SUPPRESSION,SEVERE_VULNERABILITY,STABLE,STRONGER_AWAY,22,True,ELITE_SUPPRESSION|BEST_PRA|WEAK_RA|STABLE,UNAVAILABLE_NO_SOURCE,UNAVAILABLE_NO_SOURCE,UNAVAILABLE_NO_SOURCE,SCORING_ELITE_SUPPRESSION|PERIMETER_ELITE_SUPPRESSION|PLAYMAKING_STRONG_SUPPRESSION|REBOUNDING_SEVERE_VULNERABILITY|ALL_AROUND_ELITE_SUPPRESSION|SCORING_PLAYMAKING_ELITE_SUPPRESSION|SCORING_REBOUNDING_ELITE_SUPPRESSION|REBOUNDING_PLAYMAKING_SEVERE_VULNERABILITY
Golden State Valkyries,1.1985,SEVERE_VULNERABILITY,REB,PR,SEVERE_VULNERABILITY,VULNERABLE,SEVERE_VULNERABILITY,NEUTRAL,STABLE,BALANCED,14,True,SEVERE_VULNERABILITY|BEST_REB|WEAK_PR|STABLE,UNAVAILABLE_NO_SOURCE,UNAVAILABLE_NO_SOURCE,UNAVAILABLE_NO_SOURCE,SCORING_SEVERE_VULNERABILITY|PERIMETER_VULNERABLE|PLAYMAKING_SEVERE_VULNERABILITY|REBOUNDING_NEUTRAL|ALL_AROUND_SEVERE_VULNERABILITY|SCORING_PLAYMAKING_NEUTRAL|SCORING_REBOUNDING_SEVERE_VULNERABILITY
Indiana Fever,0.9639,NEUTRAL,PA,PTS,SEVERE_VULNERABILITY,STRONG_SUPPRESSION,NEUTRAL,VULNERABLE,STABLE,STRONGER_AT_HOME,19,True,NEUTRAL|BEST_PA|WEAK_PTS|STABLE,UNAVAILABLE_NO_SOURCE,UNAVAILABLE_NO_SOURCE,UNAVAILABLE_NO_SOURCE,SCORING_SEVERE_VULNERABILITY|PERIMETER_STRONG_SUPPRESSION|PLAYMAKING_NEUTRAL|REBOUNDING_VULNERABLE|ALL_AROUND_STRONG_SUPPRESSION|SCORING_PLAYMAKING_ELITE_SUPPRESSION|SCORING_REBOUNDING_SEVERE_VULNERABILITY|REBOUNDING_PLAYMAKING_ELITE_SUPPRESSION
Las Vegas Aces,1.066,VULNERABLE,REB,PA,SEVERE_VULNERABILITY,STRONG_SUPPRESSION,NEUTRAL,ELITE_SUPPRESSION,STABLE,STRONGER_AWAY,17,True,VULNERABLE|BEST_REB|WEAK_PA|STABLE,UNAVAILABLE_NO_SOURCE,UNAVAILABLE_NO_SOURCE,UNAVAILABLE_NO_SOURCE,SCORING_SEVERE_VULNERABILITY|PERIMETER_STRONG_SUPPRESSION|PLAYMAKING_NEUTRAL|REBOUNDING_ELITE_SUPPRESSION|ALL_AROUND_VULNERABLE|SCORING_PLAYMAKING_SEVERE_VULNERABILITY|SCORING_REBOUNDING_SEVERE_VULNERABILITY|REBOUNDING_PLAYMAKING_NEUTRAL
Los Angeles Sparks,1.074,VULNERABLE,PA,AST,STRONG_SUPPRESSION,VULNERABLE,SEVERE_VULNERABILITY,VULNERABLE,STABLE,STRONGER_AT_HOME,20,True,VULNERABLE|BEST_PA|WEAK_AST|STABLE,UNAVAILABLE_NO_SOURCE,UNAVAILABLE_NO_SOURCE,UNAVAILABLE_NO_SOURCE,SCORING_STRONG_SUPPRESSION|PERIMETER_VULNERABLE|PLAYMAKING_SEVERE_VULNERABILITY|REBOUNDING_VULNERABLE|ALL_AROUND_NEUTRAL|SCORING_PLAYMAKING_STRONG_SUPPRESSION|SCORING_REBOUNDING_NEUTRAL|REBOUNDING_PLAYMAKING_NEUTRAL
Minnesota Lynx,1.4204,SEVERE_VULNERABILITY,REB,RA,NEUTRAL,SEVERE_VULNERABILITY,SEVERE_VULNERABILITY,ELITE_SUPPRESSION,STABLE,STRONGER_AWAY,13,True,SEVERE_VULNERABILITY|BEST_REB|WEAK_RA|STABLE,UNAVAILABLE_NO_SOURCE,UNAVAILABLE_NO_SOURCE,UNAVAILABLE_NO_SOURCE,SCORING_NEUTRAL|PERIMETER_SEVERE_VULNERABILITY|PLAYMAKING_SEVERE_VULNERABILITY|REBOUNDING_ELITE_SUPPRESSION|ALL_AROUND_SEVERE_VULNERABILITY|SCORING_PLAYMAKING_SEVERE_VULNERABILITY|SCORING_REBOUNDING_NEUTRAL|REBOUNDING_PLAYMAKING_SEVERE_VULNERABILITY
New York Liberty,1.0575,VULNERABLE,PR,3PM,NEUTRAL,SEVERE_VULNERABILITY,SEVERE_VULNERABILITY,NEUTRAL,STABLE,STRONGER_AT_HOME,20,True,VULNERABLE|BEST_PR|WEAK_3PM|STABLE,UNAVAILABLE_NO_SOURCE,UNAVAILABLE_NO_SOURCE,UNAVAILABLE_NO_SOURCE,SCORING_NEUTRAL|PERIMETER_SEVERE_VULNERABILITY|PLAYMAKING_SEVERE_VULNERABILITY|REBOUNDING_NEUTRAL|ALL_AROUND_NEUTRAL|SCORING_PLAYMAKING_VULNERABLE|SCORING_REBOUNDING_ELITE_SUPPRESSION|REBOUNDING_PLAYMAKING_ELITE_SUPPRESSION
