archive_index,game_date,game_id,player,stat,side,alt_line,american_odds,market_implied_probability,model_score,score_band,prior_games,prior_actual_mean,prior_actual_std,prior_actual_min,prior_actual_max,rolling3_actual_mean,rolling5_actual_mean,rolling10_actual_mean,rolling5_actual_std,rolling10_actual_std,rolling5_trend_slope,rolling10_trend_slope,line_minus_prior_mean,historical_hit_rate_at_current_line,historical_hit_rate_l5_at_current_line,historical_hit_rate_l10_at_current_line,target_actual,target_win,canonical_outcome,certification
30,2026-07-12,401857060,Julie Allemand,PR,UNDER,12.5,-130.0,0.5652173913043478,,UNKNOWN,0,,,,,,,,,,,,,,,,5.0,1,WIN,PRIMARY_CERTIFIED
41,2026-07-12,401857060,Julie Allemand,PRA,UNDER,19.5,-127.67,0.5607677779241885,,UNKNOWN,0,,,,,,,,,,,,,,,,11.0,1,WIN,PRIMARY_CERTIFIED
4,2026-07-12,401857060,Maria Conde,PR,UNDER,16.5,-124.0,0.5535714285714286,,UNKNOWN,0,,,,,,,,,,,,,,,,12.0,1,WIN,PRIMARY_CERTIFIED
22,2026-07-12,401857060,Pauline Astier,PR,UNDER,12.5,-123.5,0.5525727069351231,,UNKNOWN,0,,,,,,,,,,,,,,,,6.0,1,WIN,PRIMARY_CERTIFIED
25,2026-07-12,401857060,Pauline Astier,PTS,UNDER,9.5,-130.0,0.5652173913043478,,UNKNOWN,0,,,,,,,,,,,,,,,,4.0,1,WIN,PRIMARY_CERTIFIED
13,2026-07-12,401857060,Pauline Astier,REB,UNDER,3.5,-180.0,0.6428571428571429,,UNKNOWN,0,,,,,,,,,,,,,,,,2.0,1,WIN,PRIMARY_CERTIFIED
11,2026-07-12,401857060,Sabrina Ionescu,AST,UNDER,5.5,-158.0,0.6124031007751938,,UNKNOWN,0,,,,,,,,,,,,,,,,5.0,1,WIN,PRIMARY_CERTIFIED
27,2026-07-12,401857061,Awa Fam,PR,UNDER,17.5,-124.0,0.5535714285714286,,UNKNOWN,0,,,,,,,,,,,,,,,,5.0,1,WIN,PRIMARY_CERTIFIED
39,2026-07-12,401857061,Awa Fam,REB,UNDER,5.5,-142.25,0.587203302373581,,UNKNOWN,0,,,,,,,,,,,,,,,,5.0,1,WIN,PRIMARY_CERTIFIED
38,2026-07-12,401857061,Dominique Malonga,PA,UNDER,18.5,-107.5,0.5180722891566265,,UNKNOWN,0,,,,,,,,,,,,,,,,5.0,1,WIN,PRIMARY_CERTIFIED
42,2026-07-12,401857061,Dominique Malonga,PR,UNDER,25.5,-117.5,0.5402298850574713,,UNKNOWN,0,,,,,,,,,,,,,,,,12.0,1,WIN,PRIMARY_CERTIFIED
43,2026-07-12,401857061,Dominique Malonga,PRA,UNDER,27.5,-118.67,0.5426898980198472,,UNKNOWN,0,,,,,,,,,,,,,,,,13.0,1,WIN,PRIMARY_CERTIFIED
28,2026-07-12,401857061,Dominique Malonga,PTS,UNDER,16.5,-106.0,0.5145631067961165,,UNKNOWN,0,,,,,,,,,,,,,,,,4.0,1,WIN,PRIMARY_CERTIFIED
35,2026-07-12,401857061,Kiki Iriafen,REB,OVER,8.5,-133.8,0.572284003421728,,UNKNOWN,0,,,,,,,,,,,,,,,,10.0,1,WIN,PRIMARY_CERTIFIED
44,2026-07-12,401857061,Michaela Onyenwere,3PM,UNDER,1.5,-209.75,0.6771589991928975,,UNKNOWN,0,,,,,,,,,,,,,,,,0.0,1,WIN,PRIMARY_CERTIFIED
26,2026-07-12,401857061,Michaela Onyenwere,PR,UNDER,13.5,-131.0,0.5670995670995671,,UNKNOWN,0,,,,,,,,,,,,,,,,0.0,1,WIN,PRIMARY_CERTIFIED
37,2026-07-12,401857061,Michaela Onyenwere,PTS,UNDER,10.5,-130.0,0.5652173913043478,,UNKNOWN,0,,,,,,,,,,,,,,,,0.0,1,WIN,PRIMARY_CERTIFIED
24,2026-07-12,401857061,Michaela Onyenwere,REB,UNDER,3.5,-208.0,0.6753246753246753,,UNKNOWN,0,,,,,,,,,,,,,,,,0.0,1,WIN,PRIMARY_CERTIFIED
19,2026-07-12,401857061,Natisha Hiedeman,AST,UNDER,4.5,-135.0,0.574468085106383,,UNKNOWN,0,,,,,,,,,,,,,,,,3.0,1,WIN,PRIMARY_CERTIFIED
14,2026-07-12,401857061,Natisha Hiedeman,PA,OVER,18.5,-126.0,0.5575221238938053,,UNKNOWN,0,,,,,,,,,,,,,,,,21.0,1,WIN,PRIMARY_CERTIFIED
0,2026-07-12,401857061,Natisha Hiedeman,PR,OVER,16.5,-119.0,0.54337899543379,,UNKNOWN,0,,,,,,,,,,,,,,,,20.0,1,WIN,PRIMARY_CERTIFIED
23,2026-07-12,401857061,Natisha Hiedeman,PRA,OVER,21.5,-111.0,0.5260663507109005,,UNKNOWN,0,,,,,,,,,,,,,,,,23.0,1,WIN,PRIMARY_CERTIFIED
