game_date,game_id,player,player_team,opponent_team,home_team,away_team,home_away,position,stat,target_actual,schedule_source
2026-07-12,401857060,Julie Allemand,Toronto Tempo,New York Liberty,Toronto Tempo,New York Liberty,HOME,G,PR,5.0,warehouse_game_context
2026-07-12,401857060,Julie Allemand,Toronto Tempo,New York Liberty,Toronto Tempo,New York Liberty,HOME,G,PRA,11.0,warehouse_game_context
2026-07-12,401857060,Maria Conde,Toronto Tempo,New York Liberty,Toronto Tempo,New York Liberty,HOME,F,PR,12.0,warehouse_game_context
2026-07-12,401857060,Pauline Astier,New York Liberty,Toronto Tempo,Toronto Tempo,New York Liberty,AWAY,G,PR,6.0,warehouse_game_context
2026-07-12,401857060,Pauline Astier,New York Liberty,Toronto Tempo,Toronto Tempo,New York Liberty,AWAY,G,PTS,4.0,warehouse_game_context
2026-07-12,401857060,Pauline Astier,New York Liberty,Toronto Tempo,Toronto Tempo,New York Liberty,AWAY,G,REB,2.0,warehouse_game_context
2026-07-12,401857060,Sabrina Ionescu,New York Liberty,Toronto Tempo,Toronto Tempo,New York Liberty,AWAY,G,AST,5.0,warehouse_game_context
2026-07-12,401857061,Awa Fam,Seattle Storm,Washington Mystics,Washington Mystics,Seattle Storm,AWAY,C,PR,5.0,warehouse_game_context
2026-07-12,401857061,Awa Fam,Seattle Storm,Washington Mystics,Washington Mystics,Seattle Storm,AWAY,C,REB,5.0,warehouse_game_context
2026-07-12,401857061,Dominique Malonga,Seattle Storm,Washington Mystics,Washington Mystics,Seattle Storm,AWAY,C,PA,5.0,warehouse_game_context
2026-07-12,401857061,Dominique Malonga,Seattle Storm,Washington Mystics,Washington Mystics,Seattle Storm,AWAY,C,PR,12.0,warehouse_game_context
2026-07-12,401857061,Dominique Malonga,Seattle Storm,Washington Mystics,Washington Mystics,Seattle Storm,AWAY,C,PRA,13.0,warehouse_game_context
2026-07-12,401857061,Dominique Malonga,Seattle Storm,Washington Mystics,Washington Mystics,Seattle Storm,AWAY,C,PTS,4.0,warehouse_game_context
2026-07-12,401857061,Kiki Iriafen,Washington Mystics,Seattle Storm,Washington Mystics,Seattle Storm,HOME,F,REB,10.0,warehouse_game_context
2026-07-12,401857061,Michaela Onyenwere,Washington Mystics,Seattle Storm,Washington Mystics,Seattle Storm,HOME,F,3PM,0.0,warehouse_game_context
2026-07-12,401857061,Michaela Onyenwere,Washington Mystics,Seattle Storm,Washington Mystics,Seattle Storm,HOME,F,PR,0.0,warehouse_game_context
2026-07-12,401857061,Michaela Onyenwere,Washington Mystics,Seattle Storm,Washington Mystics,Seattle Storm,HOME,F,PTS,0.0,warehouse_game_context
2026-07-12,401857061,Michaela Onyenwere,Washington Mystics,Seattle Storm,Washington Mystics,Seattle Storm,HOME,F,REB,0.0,warehouse_game_context
