date,player,game,market,side,line,movement,steam,reverse_move
2026-08-13,Allisha Gray,Atlanta Dream @ Connecticut Sun,3PM,OVER,1.5,0.0,False,False
2026-08-13,Allisha Gray,Atlanta Dream @ Connecticut Sun,3PM,UNDER,1.5,0.0,False,False
2026-08-13,Allisha Gray,Atlanta Dream @ Connecticut Sun,AST,OVER,2.5,0.0,False,False
2026-08-13,Allisha Gray,Atlanta Dream @ Connecticut Sun,AST,UNDER,2.5,0.0,False,False
2026-08-13,Allisha Gray,Atlanta Dream @ Connecticut Sun,PA,OVER,21.5,0.0,False,False
2026-08-13,Allisha Gray,Atlanta Dream @ Connecticut Sun,PA,UNDER,21.5,0.0,False,False
2026-08-13,Allisha Gray,Atlanta Dream @ Connecticut Sun,PR,OVER,21.5,0.0,False,False
2026-08-13,Allisha Gray,Atlanta Dream @ Connecticut Sun,PR,UNDER,21.5,0.0,False,False
2026-08-13,Allisha Gray,Atlanta Dream @ Connecticut Sun,PRA,OVER,24.5,0.0,False,False
2026-08-13,Allisha Gray,Atlanta Dream @ Connecticut Sun,PRA,UNDER,24.5,0.0,False,False
2026-08-13,Allisha Gray,Atlanta Dream @ Connecticut Sun,PTS,OVER,17.5,0.0,False,False
2026-08-13,Allisha Gray,Atlanta Dream @ Connecticut Sun,PTS,OVER,18.5,0.0,False,False
2026-08-13,Allisha Gray,Atlanta Dream @ Connecticut Sun,PTS,OVER,19.5,0.0,False,False
2026-08-13,Allisha Gray,Atlanta Dream @ Connecticut Sun,PTS,UNDER,18.5,0.0,False,False
2026-08-13,Allisha Gray,Atlanta Dream @ Connecticut Sun,RA,OVER,5.5,0.0,False,False
2026-08-13,Allisha Gray,Atlanta Dream @ Connecticut Sun,RA,UNDER,5.5,0.0,False,False
2026-08-13,Allisha Gray,Atlanta Dream @ Connecticut Sun,REB,OVER,2.5,0.0,False,False
2026-08-13,Allisha Gray,Atlanta Dream @ Connecticut Sun,REB,OVER,3.5,0.0,False,False
2026-08-13,Allisha Gray,Atlanta Dream @ Connecticut Sun,REB,UNDER,2.5,0.0,False,False
2026-08-13,Allisha Gray,Atlanta Dream @ Connecticut Sun,REB,UNDER,3.5,0.0,False,False
2026-08-13,Angel Reese,Atlanta Dream @ Connecticut Sun,AST,OVER,2.5,0.0,False,False
2026-08-13,Angel Reese,Atlanta Dream @ Connecticut Sun,AST,UNDER,2.5,0.0,False,False
2026-08-13,Angel Reese,Atlanta Dream @ Connecticut Sun,PA,OVER,18.5,0.0,False,False
2026-08-13,Angel Reese,Atlanta Dream @ Connecticut Sun,PA,OVER,19.5,0.0,False,False
2026-08-13,Angel Reese,Atlanta Dream @ Connecticut Sun,PA,UNDER,18.5,0.0,False,False
2026-08-13,Angel Reese,Atlanta Dream @ Connecticut Sun,PA,UNDER,19.5,0.0,False,False
2026-08-13,Angel Reese,Atlanta Dream @ Connecticut Sun,PR,OVER,29.5,0.0,False,False
2026-08-13,Angel Reese,Atlanta Dream @ Connecticut Sun,PR,UNDER,29.5,0.0,False,False
2026-08-13,Angel Reese,Atlanta Dream @ Connecticut Sun,PRA,OVER,31.5,0.0,False,False
2026-08-13,Angel Reese,Atlanta Dream @ Connecticut Sun,PRA,OVER,32.5,0.0,False,False
2026-08-13,Angel Reese,Atlanta Dream @ Connecticut Sun,PRA,UNDER,31.5,0.0,False,False
2026-08-13,Angel Reese,Atlanta Dream @ Connecticut Sun,PTS,OVER,15.5,0.0,False,False
2026-08-13,Angel Reese,Atlanta Dream @ Connecticut Sun,PTS,OVER,16.5,0.0,False,False
2026-08-13,Angel Reese,Atlanta Dream @ Connecticut Sun,PTS,OVER,17.5,0.0,False,False
2026-08-13,Angel Reese,Atlanta Dream @ Connecticut Sun,PTS,UNDER,16.5,0.0,False,False
2026-08-13,Angel Reese,Atlanta Dream @ Connecticut Sun,RA,OVER,14.5,0.0,False,False
2026-08-13,Angel Reese,Atlanta Dream @ Connecticut Sun,RA,OVER,15.5,0.0,False,False
2026-08-13,Angel Reese,Atlanta Dream @ Connecticut Sun,RA,UNDER,14.5,0.0,False,False
2026-08-13,Angel Reese,Atlanta Dream @ Connecticut Sun,RA,UNDER,15.5,0.0,False,False
2026-08-13,Angel Reese,Atlanta Dream @ Connecticut Sun,REB,OVER,12.5,0.0,False,False
2026-08-13,Angel Reese,Atlanta Dream @ Connecticut Sun,REB,OVER,13.5,0.0,False,False
2026-08-13,Angel Reese,Atlanta Dream @ Connecticut Sun,REB,UNDER,12.5,0.0,False,False
2026-08-13,Brionna Jones,Atlanta Dream @ Connecticut Sun,AST,OVER,2.5,0.0,False,False
2026-08-13,Brionna Jones,Atlanta Dream @ Connecticut Sun,AST,UNDER,2.5,0.0,False,False
