ranking_key,date,player,game,player_team,opponent,stat,side,position,matchup_projection,rotation_games_prior,minutes_l5,minutes_l10,minutes_prior_mean,starter_rate_l5,starter_rate_l10,projected_role,injury_status,lineup_confirmation,lineup_status,lineup_confidence,lineup_confidence_band,rotation_multiplier,lineup_adjusted_projection,lineup_delta,adjustment_basis,live_injury_adjustment_applied
2026-08-14|alanna smith|dallas wings @ indiana fever|3pm|over,2026-08-14,Alanna Smith,Dallas Wings @ Indiana Fever,Dallas Wings,Indiana Fever,3PM,OVER,F,,6,12.4,12.667,12.667,0.0,0.0,BENCH,UNAVAILABLE_NO_LIVE_SOURCE,UNAVAILABLE_NO_LIVE_SOURCE,READY,62.83,MEDIUM,0.992632,,,PRIOR_ONLY_ROTATION_MINUTES,False
2026-08-14|alanna smith|dallas wings @ indiana fever|3pm|under,2026-08-14,Alanna Smith,Dallas Wings @ Indiana Fever,Dallas Wings,Indiana Fever,3PM,UNDER,F,,6,12.4,12.667,12.667,0.0,0.0,BENCH,UNAVAILABLE_NO_LIVE_SOURCE,UNAVAILABLE_NO_LIVE_SOURCE,READY,62.83,MEDIUM,0.992632,,,PRIOR_ONLY_ROTATION_MINUTES,False
2026-08-14|alanna smith|dallas wings @ indiana fever|ast|over,2026-08-14,Alanna Smith,Dallas Wings @ Indiana Fever,Dallas Wings,Indiana Fever,AST,OVER,F,,6,12.4,12.667,12.667,0.0,0.0,BENCH,UNAVAILABLE_NO_LIVE_SOURCE,UNAVAILABLE_NO_LIVE_SOURCE,READY,62.83,MEDIUM,0.992632,,,PRIOR_ONLY_ROTATION_MINUTES,False
2026-08-14|alanna smith|dallas wings @ indiana fever|ast|under,2026-08-14,Alanna Smith,Dallas Wings @ Indiana Fever,Dallas Wings,Indiana Fever,AST,UNDER,F,,6,12.4,12.667,12.667,0.0,0.0,BENCH,UNAVAILABLE_NO_LIVE_SOURCE,UNAVAILABLE_NO_LIVE_SOURCE,READY,62.83,MEDIUM,0.992632,,,PRIOR_ONLY_ROTATION_MINUTES,False
2026-08-14|alanna smith|dallas wings @ indiana fever|pr|over,2026-08-14,Alanna Smith,Dallas Wings @ Indiana Fever,Dallas Wings,Indiana Fever,PR,OVER,F,,6,12.4,12.667,12.667,0.0,0.0,BENCH,UNAVAILABLE_NO_LIVE_SOURCE,UNAVAILABLE_NO_LIVE_SOURCE,READY,62.83,MEDIUM,0.992632,,,PRIOR_ONLY_ROTATION_MINUTES,False
2026-08-14|alanna smith|dallas wings @ indiana fever|pr|under,2026-08-14,Alanna Smith,Dallas Wings @ Indiana Fever,Dallas Wings,Indiana Fever,PR,UNDER,F,,6,12.4,12.667,12.667,0.0,0.0,BENCH,UNAVAILABLE_NO_LIVE_SOURCE,UNAVAILABLE_NO_LIVE_SOURCE,READY,62.83,MEDIUM,0.992632,,,PRIOR_ONLY_ROTATION_MINUTES,False
2026-08-14|alanna smith|dallas wings @ indiana fever|pra|over,2026-08-14,Alanna Smith,Dallas Wings @ Indiana Fever,Dallas Wings,Indiana Fever,PRA,OVER,F,,6,12.4,12.667,12.667,0.0,0.0,BENCH,UNAVAILABLE_NO_LIVE_SOURCE,UNAVAILABLE_NO_LIVE_SOURCE,READY,62.83,MEDIUM,0.992632,,,PRIOR_ONLY_ROTATION_MINUTES,False
2026-08-14|alanna smith|dallas wings @ indiana fever|pra|over,2026-08-14,Alanna Smith,Dallas Wings @ Indiana Fever,Dallas Wings,Indiana Fever,PRA,OVER,F,,6,12.4,12.667,12.667,0.0,0.0,BENCH,UNAVAILABLE_NO_LIVE_SOURCE,UNAVAILABLE_NO_LIVE_SOURCE,READY,62.83,MEDIUM,0.992632,,,PRIOR_ONLY_ROTATION_MINUTES,False
2026-08-14|alanna smith|dallas wings @ indiana fever|pra|under,2026-08-14,Alanna Smith,Dallas Wings @ Indiana Fever,Dallas Wings,Indiana Fever,PRA,UNDER,F,,6,12.4,12.667,12.667,0.0,0.0,BENCH,UNAVAILABLE_NO_LIVE_SOURCE,UNAVAILABLE_NO_LIVE_SOURCE,READY,62.83,MEDIUM,0.992632,,,PRIOR_ONLY_ROTATION_MINUTES,False
2026-08-14|alanna smith|dallas wings @ indiana fever|pts|over,2026-08-14,Alanna Smith,Dallas Wings @ Indiana Fever,Dallas Wings,Indiana Fever,PTS,OVER,F,,6,12.4,12.667,12.667,0.0,0.0,BENCH,UNAVAILABLE_NO_LIVE_SOURCE,UNAVAILABLE_NO_LIVE_SOURCE,READY,62.83,MEDIUM,0.992632,,,PRIOR_ONLY_ROTATION_MINUTES,False
