ranking_key,date,player,game,market,side,line,odds,best_book,prior_games,status,model,knn_probability,v5_probability,market_implied_probability,probability_edge,probability_band,confidence_score,uncertainty_score,neighbor_count,neighbor_hit_rate,average_neighbor_distance
2026-08-19|courtney williams|minnesota lynx @ golden state valkyries|ast|over,2026-08-19,Courtney Williams,Minnesota Lynx @ Golden State Valkyries,AST,OVER,4.5,110.0,BetOnline.ag,3,SCORED,KNN,0.7318,0.7318,0.47619,0.255609,70%+,0.184277,0.886045,15,0.733333,1.987692
2026-08-19|courtney williams|minnesota lynx @ golden state valkyries|ast|under,2026-08-19,Courtney Williams,Minnesota Lynx @ Golden State Valkyries,AST,UNDER,4.5,-140.0,DraftKings,3,SCORED,KNN,0.612371,0.612371,0.583333,0.029037,60-64.9%,0.109306,0.974419,15,0.6,3.590287
2026-08-19|courtney williams|minnesota lynx @ golden state valkyries|pra|over,2026-08-19,Courtney Williams,Minnesota Lynx @ Golden State Valkyries,PRA,OVER,19.5,-112.0,FanDuel,3,SCORED,KNN,0.551471,0.551471,0.528302,0.023169,55-59.9%,0.104212,0.994687,15,0.733333,2.680224
2026-08-19|courtney williams|minnesota lynx @ golden state valkyries|pra|under,2026-08-19,Courtney Williams,Minnesota Lynx @ Golden State Valkyries,PRA,UNDER,19.5,-110.0,DraftKings,3,SCORED,KNN,0.497489,0.497489,0.52381,-0.026321,<50%,0.088298,0.999987,15,0.466667,4.302343
2026-08-19|courtney williams|minnesota lynx @ golden state valkyries|ra|over,2026-08-19,Courtney Williams,Minnesota Lynx @ Golden State Valkyries,RA,OVER,8.5,-118.0,FanDuel,3,SCORED,KNN,0.4275,0.4275,0.541284,-0.113784,<50%,0.125629,0.989432,15,0.4,1.552783
2026-08-19|courtney williams|minnesota lynx @ golden state valkyries|ra|under,2026-08-19,Courtney Williams,Minnesota Lynx @ Golden State Valkyries,RA,UNDER,8.5,-107.0,DraftKings,3,SCORED,KNN,0.691079,0.691079,0.516908,0.174171,65-69.9%,0.156463,0.924097,15,0.666667,2.182991
2026-08-19|janelle salaun|minnesota lynx @ golden state valkyries|3pm|over,2026-08-19,Janelle Salaun,Minnesota Lynx @ Golden State Valkyries,3PM,OVER,1.5,-175.0,BetOnline.ag,4,SCORED,KNN,0.407307,0.407307,0.636364,-0.229057,<50%,0.144949,0.982666,15,0.4,1.794238
2026-08-19|janelle salaun|minnesota lynx @ golden state valkyries|3pm|over,2026-08-19,Janelle Salaun,Minnesota Lynx @ Golden State Valkyries,3PM,OVER,2.5,158.0,FanDuel,4,SCORED,KNN,0.471231,0.471231,0.387597,0.083634,<50%,0.112187,0.998343,15,0.466667,3.821628
2026-08-19|janelle salaun|minnesota lynx @ golden state valkyries|3pm|under,2026-08-19,Janelle Salaun,Minnesota Lynx @ Golden State Valkyries,3PM,UNDER,1.5,141.0,Caesars,4,SCORED,KNN,0.485118,0.485118,0.414938,0.07018,<50%,0.113033,0.999557,15,0.466667,3.580898
2026-08-19|janelle salaun|minnesota lynx @ golden state valkyries|3pm|under,2026-08-19,Janelle Salaun,Minnesota Lynx @ Golden State Valkyries,3PM,UNDER,2.5,-215.0,FanDuel,4,SCORED,KNN,0.556648,0.556648,0.68254,-0.125892,55-59.9%,0.136364,0.993561,15,0.533333,1.874715
2026-08-19|kayla mcbride|minnesota lynx @ golden state valkyries|pa|over,2026-08-19,Kayla McBride,Minnesota Lynx @ Golden State Valkyries,PA,OVER,16.5,-105.0,DraftKings,3,SCORED,KNN,0.793657,0.793657,0.512195,0.281461,70%+,0.222968,0.80936,15,0.733333,2.840993
2026-08-19|kayla mcbride|minnesota lynx @ golden state valkyries|pa|under,2026-08-19,Kayla McBride,Minnesota Lynx @ Golden State Valkyries,PA,UNDER,16.5,-129.0,DraftKings,3,SCORED,KNN,0.520879,0.520879,0.563319,-0.042439,50-54.9%,0.082634,0.999128,15,0.533333,5.797472
2026-08-19|kayla mcbride|minnesota lynx @ golden state valkyries|pr|over,2026-08-19,Kayla McBride,Minnesota Lynx @ Golden State Valkyries,PR,OVER,16.5,-125.0,DraftKings,4,SCORED,KNN,0.794883,0.794883,0.555556,0.239328,70%+,0.240627,0.807574,15,0.733333,3.219409
2026-08-19|kayla mcbride|minnesota lynx @ golden state valkyries|pr|under,2026-08-19,Kayla McBride,Minnesota Lynx @ Golden State Valkyries,PR,UNDER,16.5,-108.0,DraftKings,4,SCORED,KNN,0.51724,0.51724,0.519231,-0.001991,50-54.9%,0.101621,0.999405,15,0.533333,6.064056
2026-08-19|kayla mcbride|minnesota lynx @ golden state valkyries|pra|over,2026-08-19,Kayla McBride,Minnesota Lynx @ Golden State Valkyries,PRA,OVER,18.5,-106.0,BetOnline.ag,4,SCORED,KNN,0.803625,0.803625,0.514563,0.289062,70%+,0.250639,0.79451,15,0.733333,3.04629
2026-08-19|kayla mcbride|minnesota lynx @ golden state valkyries|pra|under,2026-08-19,Kayla McBride,Minnesota Lynx @ Golden State Valkyries,PRA,UNDER,18.5,-113.0,DraftKings,4,SCORED,KNN,0.515029,0.515029,0.530516,-0.015488,50-54.9%,0.101863,0.999548,15,0.533333,5.954245
2026-08-19|kayla mcbride|minnesota lynx @ golden state valkyries|pts|over,2026-08-19,Kayla McBride,Minnesota Lynx @ Golden State Valkyries,PTS,OVER,14.5,102.0,FanDuel,4,SCORED,KNN,0.755218,0.755218,0.49505,0.260168,70%+,0.206134,0.859916,15,0.733333,3.275999
2026-08-19|kayla mcbride|minnesota lynx @ golden state valkyries|pts|under,2026-08-19,Kayla McBride,Minnesota Lynx @ Golden State Valkyries,PTS,UNDER,14.5,-123.0,DraftKings,4,SCORED,KNN,0.412656,0.412656,0.55157,-0.138914,<50%,0.11287,0.984624,15,0.4,5.557184
2026-08-19|natasha howard|minnesota lynx @ golden state valkyries|pr|over,2026-08-19,Natasha Howard,Minnesota Lynx @ Golden State Valkyries,PR,OVER,17.5,-125.0,DraftKings,4,SCORED,KNN,0.420924,0.420924,0.555556,-0.134631,<50%,0.136124,0.987415,15,0.4,2.128705
2026-08-19|natasha howard|minnesota lynx @ golden state valkyries|pr|under,2026-08-19,Natasha Howard,Minnesota Lynx @ Golden State Valkyries,PR,UNDER,17.5,100.0,FanDuel,4,SCORED,KNN,0.412358,0.412358,0.5,-0.087642,<50%,0.136872,0.984518,15,0.4,2.204544
2026-08-19|natasha howard|minnesota lynx @ golden state valkyries|pra|over,2026-08-19,Natasha Howard,Minnesota Lynx @ Golden State Valkyries,PRA,OVER,20.5,-123.0,DraftKings,3,SCORED,KNN,0.379016,0.379016,0.55157,-0.172554,<50%,0.127432,0.970284,15,0.4,2.117429
2026-08-19|natasha howard|minnesota lynx @ golden state valkyries|pra|over,2026-08-19,Natasha Howard,Minnesota Lynx @ Golden State Valkyries,PRA,OVER,21.5,103.0,BetOnline.ag,3,SCORED,KNN,0.519755,0.519755,0.492611,0.027144,50-54.9%,0.100464,0.999219,15,0.466667,2.754067
2026-08-19|natasha howard|minnesota lynx @ golden state valkyries|pra|under,2026-08-19,Natasha Howard,Minnesota Lynx @ Golden State Valkyries,PRA,UNDER,20.5,-104.0,FanDuel,3,SCORED,KNN,0.539101,0.539101,0.509804,0.029297,50-54.9%,0.103029,0.996938,15,0.466667,2.655119
2026-08-19|natasha howard|minnesota lynx @ golden state valkyries|pra|under,2026-08-19,Natasha Howard,Minnesota Lynx @ Golden State Valkyries,PRA,UNDER,21.5,-133.0,BetOnline.ag,3,SCORED,KNN,0.382855,0.382855,0.570815,-0.18796,<50%,0.125319,0.972167,15,0.4,2.176097
2026-08-19|natasha howard|minnesota lynx @ golden state valkyries|pts|over,2026-08-19,Natasha Howard,Minnesota Lynx @ Golden State Valkyries,PTS,OVER,10.5,-126.0,DraftKings,5,SCORED,KNN,0.402915,0.402915,0.557522,-0.154607,<50%,0.153193,0.980968,15,0.4,2.674443
2026-08-19|natasha howard|minnesota lynx @ golden state valkyries|pts|over,2026-08-19,Natasha Howard,Minnesota Lynx @ Golden State Valkyries,PTS,OVER,11.5,104.0,BetOnline.ag,5,SCORED,KNN,0.404877,0.404877,0.490196,-0.085319,<50%,0.150618,0.981736,15,0.4,2.871264
2026-08-19|natasha howard|minnesota lynx @ golden state valkyries|pts|under,2026-08-19,Natasha Howard,Minnesota Lynx @ Golden State Valkyries,PTS,UNDER,10.5,-106.0,DraftKings,5,SCORED,KNN,0.312844,0.312844,0.514563,-0.201719,<50%,0.193994,0.927303,15,0.333333,2.209164
2026-08-19|natasha howard|minnesota lynx @ golden state valkyries|pts|under,2026-08-19,Natasha Howard,Minnesota Lynx @ Golden State Valkyries,PTS,UNDER,11.5,-127.0,Caesars,5,SCORED,KNN,0.312687,0.312687,0.559471,-0.246784,<50%,0.195644,0.927176,15,0.333333,2.105055
2026-08-19|olivia miles|minnesota lynx @ golden state valkyries|3pm|over,2026-08-19,Olivia Miles,Minnesota Lynx @ Golden State Valkyries,3PM,OVER,1.5,118.0,FanDuel,3,SCORED,KNN,0.614867,0.614867,0.458716,0.156151,60-64.9%,0.115762,0.973253,15,0.6,2.908641
2026-08-19|olivia miles|minnesota lynx @ golden state valkyries|3pm|under,2026-08-19,Olivia Miles,Minnesota Lynx @ Golden State Valkyries,3PM,UNDER,1.5,-144.0,DraftKings,3,SCORED,KNN,0.523433,0.523433,0.590164,-0.066731,50-54.9%,0.114892,0.998901,15,0.533333,1.768642
2026-08-19|shakira austin|toronto tempo @ washington mystics|pra|over,2026-08-19,Shakira Austin,Toronto Tempo @ Washington Mystics,PRA,OVER,33.5,-118.0,FanDuel,3,SCORED,KNN,0.417424,0.417424,0.541284,-0.123861,<50%,0.100157,0.986268,15,0.4,3.80292
2026-08-19|shakira austin|toronto tempo @ washington mystics|pra|over,2026-08-19,Shakira Austin,Toronto Tempo @ Washington Mystics,PRA,OVER,34.5,-103.0,BetRivers,3,SCORED,KNN,0.466305,0.466305,0.507389,-0.041084,<50%,0.092413,0.997727,15,0.466667,3.848794
2026-08-19|shakira austin|toronto tempo @ washington mystics|pra|under,2026-08-19,Shakira Austin,Toronto Tempo @ Washington Mystics,PRA,UNDER,33.5,-108.0,BetOnline.ag,3,SCORED,KNN,0.385796,0.385796,0.519231,-0.133434,<50%,0.111249,0.973566,15,0.4,3.403068
2026-08-19|shakira austin|toronto tempo @ washington mystics|pra|under,2026-08-19,Shakira Austin,Toronto Tempo @ Washington Mystics,PRA,UNDER,34.5,-126.0,DraftKings,3,SCORED,KNN,0.385837,0.385837,0.557522,-0.171685,<50%,0.11119,0.973585,15,0.4,3.409129
