archive_index,game_date,game_id,player,stat,side,alt_line,american_odds,target_win,market_probability,logistic_v5_probability,ridge_linear_probability,empirical_probability,knn_probability,ensemble_probability,train_rows,snapshot_count,book_count,books,opening_line,opening_odds,latest_line,latest_odds,reference_close_line,reference_close_odds,close_quality,line_move,price_move,elapsed_minutes,movement_class,steam_detected,reverse_move_vs_knn,first_moving_book,knn_implied_side
756,2026-07-28,401857094,Natisha Hiedeman,PR,UNDER,18.5,-121.0,0,0.547511,0.399627,0.480262,0.626948,0.25467,0.461804,40,1,0,,18.5,-121.0,18.5,-121.0,18.5,-121.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,OVER
769,2026-07-28,401857094,Kelsey Mitchell,AST,UNDER,2.5,-127.0,1,0.559471,0.101303,0.171325,0.519824,0.473291,0.365043,41,1,0,,2.5,-127.0,2.5,-127.0,2.5,-127.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,OVER
716,2026-07-28,401857095,A'ja Wilson,REB,UNDER,9.5,-53.0,0,0.346405,0.228429,0.354057,0.559913,0.445648,0.38689,42,1,0,,9.5,-51.25,9.5,-51.25,9.5,-51.25,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,OVER
723,2026-07-28,401857095,A'ja Wilson,RA,UNDER,13.5,-134.0,0,0.57265,0.497047,0.525192,0.635328,0.34673,0.515389,43,1,0,,13.5,-128.0,13.5,-128.0,13.5,-128.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,OVER
731,2026-07-28,401857095,A'ja Wilson,RA,UNDER,12.5,-112.0,0,0.528302,0.367151,0.443437,0.620545,0.241757,0.440238,44,1,0,,13.5,-128.0,13.5,-128.0,13.5,-128.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,OVER
757,2026-07-28,401857095,A'ja Wilson,REB,UNDER,9.5,-51.25,0,0.338843,0.12086,0.226031,0.557392,0.14351,0.277327,45,1,0,,9.5,-51.25,9.5,-51.25,9.5,-51.25,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,OVER
763,2026-07-28,401857095,A'ja Wilson,RA,UNDER,13.5,-128.0,0,0.561404,0.361843,0.43058,0.631579,0.169072,0.430895,46,1,0,,13.5,-128.0,13.5,-128.0,13.5,-128.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,OVER
773,2026-07-28,401857095,A'ja Wilson,RA,UNDER,12.5,106.0,0,0.485437,0.231312,0.334768,0.606257,0.079962,0.347547,47,1,0,,13.5,-128.0,13.5,-128.0,13.5,-128.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,OVER
666,2026-07-28,401857096,Sabrina Ionescu,AST,UNDER,5.5,-146.0,0,0.593496,0.84583,0.764575,0.864499,0.765109,0.766702,48,1,0,,5.5,-170.5,5.5,-170.5,5.5,-170.5,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
700,2026-07-28,401857096,Sabrina Ionescu,AST,UNDER,5.5,-143.25,0,0.5889,0.722852,0.674269,0.862967,0.482604,0.666319,49,1,0,,5.5,-170.5,5.5,-170.5,5.5,-170.5,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,OVER
740,2026-07-28,401857096,Sabrina Ionescu,AST,UNDER,5.5,-170.33,0,0.630082,0.67784,0.646344,0.876694,0.523956,0.636894,50,1,0,,5.5,-170.5,5.5,-170.5,5.5,-170.5,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
766,2026-07-28,401857096,Nneka Ogwumike,PTS,UNDER,17.5,-55.75,0,0.357945,0.02,0.02,0.285982,0.152061,0.161427,51,1,0,,17.5,-58.25,17.5,-58.25,17.5,-58.25,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,OVER
772,2026-07-28,401857096,Nneka Ogwumike,PRA,UNDER,30.5,-122.0,0,0.54955,0.194244,0.328823,0.405405,0.068116,0.27253,52,1,0,,29.5,-112.0,29.5,-112.0,29.5,-112.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,OVER
775,2026-07-28,401857096,Nneka Ogwumike,PA,UNDER,21.5,-125.0,0,0.555556,0.036457,0.028341,0.351852,0.150321,0.204685,53,1,0,,20.5,-110.0,20.5,-110.0,20.5,-110.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,OVER
776,2026-07-28,401857096,Nneka Ogwumike,AST,UNDER,3.5,-148.5,0,0.597586,0.136844,0.202701,0.421417,0.222057,0.290051,54,1,0,,3.5,-149.0,3.5,-149.0,3.5,-149.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,OVER
780,2026-07-28,401857096,Sabrina Ionescu,AST,UNDER,4.5,120.0,0,0.454545,0.184712,0.291403,0.651515,0.36534,0.363858,55,1,0,,5.5,-170.5,5.5,-170.5,5.5,-170.5,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,OVER
703,2026-07-29,401857097,Rhyne Howard,PA,UNDER,21.5,-128.0,1,0.561404,0.411483,0.499085,0.853801,0.476967,0.524545,56,1,0,,21.5,-124.5,21.5,-124.5,21.5,-124.5,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,OVER
706,2026-07-29,401857097,Rhyne Howard,PRA,UNDER,25.5,-121.0,1,0.547511,0.514853,0.557258,0.84917,0.449761,0.549347,57,1,0,,25.5,-122.67,25.5,-122.67,25.5,-122.67,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,OVER
707,2026-07-29,401857097,Rhyne Howard,PTS,UNDER,17.5,-117.67,1,0.540589,0.609952,0.601247,0.846863,0.854247,0.700302,58,1,0,,17.5,-114.0,17.5,-114.0,17.5,-114.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
709,2026-07-29,401857097,Rhyne Howard,PR,UNDER,21.5,-111.5,1,0.527187,0.644425,0.62771,0.842396,0.891267,0.722958,59,1,0,,21.5,-114.0,21.5,-114.0,21.5,-114.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
711,2026-07-29,401857097,Rhyne Howard,PA,UNDER,20.5,-102.0,1,0.50495,0.548643,0.570903,0.834983,0.570209,0.591576,60,1,0,,21.5,-124.5,21.5,-124.5,21.5,-124.5,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
742,2026-07-29,401857097,Rhyne Howard,PA,UNDER,21.5,-127.0,1,0.559471,0.653613,0.632531,0.853157,0.711168,0.67992,61,1,0,,21.5,-124.5,21.5,-124.5,21.5,-124.5,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
745,2026-07-29,401857097,Rhyne Howard,PRA,UNDER,25.5,-119.33,1,0.544066,0.702216,0.670528,0.848022,0.773269,0.713122,62,1,0,,25.5,-122.67,25.5,-122.67,25.5,-122.67,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
746,2026-07-29,401857097,Rhyne Howard,PTS,UNDER,17.5,-116.5,1,0.538106,0.708171,0.669297,0.846035,0.98,0.776215,63,1,0,,17.5,-114.0,17.5,-114.0,17.5,-114.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
787,2026-07-29,401857097,Rhyne Howard,PA,UNDER,21.5,-124.5,1,0.554566,0.715943,0.680274,0.851522,0.769156,0.720566,64,1,0,,21.5,-124.5,21.5,-124.5,21.5,-124.5,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
789,2026-07-29,401857097,Rhyne Howard,PRA,UNDER,25.5,-122.67,1,0.550905,0.761926,0.719598,0.850302,0.827384,0.754953,65,1,0,,25.5,-122.67,25.5,-122.67,25.5,-122.67,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
790,2026-07-29,401857097,Rhyne Howard,PTS,UNDER,17.5,-114.0,1,0.53271,0.734929,0.69281,0.844237,0.98,0.788745,66,1,0,,17.5,-114.0,17.5,-114.0,17.5,-114.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
