ranking_key,date,player,game,player_team,player_team_source,opponent,stat,side,raw_projection,best_line,model_probability,matchup_status,defense_allowed_avg,league_allowed_avg,defense_index,last5_allowed_avg,last10_allowed_avg,home_allowed_avg,away_allowed_avg,matchup_multiplier,matchup_adjusted_projection,matchup_delta
2026-08-29|alyssa thomas|toronto tempo @ phoenix mercury|ast|over,2026-08-29,Alyssa Thomas,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,BOARD_EXPLICIT,Toronto Tempo,AST,OVER,,8.5,,READY,3.0,3.9733,0.755,3.0,3.0,2.75,4.0,0.8775,,
2026-08-29|alyssa thomas|toronto tempo @ phoenix mercury|ast|under,2026-08-29,Alyssa Thomas,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,BOARD_EXPLICIT,Toronto Tempo,AST,UNDER,,8.5,,READY,3.0,3.9733,0.755,3.0,3.0,2.75,4.0,0.8775,,
2026-08-29|alyssa thomas|toronto tempo @ phoenix mercury|pa|over,2026-08-29,Alyssa Thomas,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,BOARD_EXPLICIT,Toronto Tempo,PA,OVER,,23.5,,READY,16.0,17.3333,0.9231,16.0,16.0,15.0,17.0,0.96155,,
2026-08-29|alyssa thomas|toronto tempo @ phoenix mercury|pa|over,2026-08-29,Alyssa Thomas,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,BOARD_EXPLICIT,Toronto Tempo,PA,OVER,,24.5,,READY,16.0,17.3333,0.9231,16.0,16.0,15.0,17.0,0.96155,,
2026-08-29|alyssa thomas|toronto tempo @ phoenix mercury|pa|under,2026-08-29,Alyssa Thomas,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,BOARD_EXPLICIT,Toronto Tempo,PA,UNDER,,23.5,,READY,16.0,17.3333,0.9231,16.0,16.0,15.0,17.0,0.96155,,
2026-08-29|alyssa thomas|toronto tempo @ phoenix mercury|pa|under,2026-08-29,Alyssa Thomas,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,BOARD_EXPLICIT,Toronto Tempo,PA,UNDER,,24.5,,READY,16.0,17.3333,0.9231,16.0,16.0,15.0,17.0,0.96155,,
2026-08-29|alyssa thomas|toronto tempo @ phoenix mercury|pr|over,2026-08-29,Alyssa Thomas,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,BOARD_EXPLICIT,Toronto Tempo,PR,OVER,,23.5,,READY,16.2857,18.1538,0.8971,18.0,16.2857,13.6,23.0,0.94855,,
2026-08-29|alyssa thomas|toronto tempo @ phoenix mercury|pr|under,2026-08-29,Alyssa Thomas,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,BOARD_EXPLICIT,Toronto Tempo,PR,UNDER,,23.5,,READY,16.2857,18.1538,0.8971,18.0,16.2857,13.6,23.0,0.94855,,
2026-08-29|alyssa thomas|toronto tempo @ phoenix mercury|pra|over,2026-08-29,Alyssa Thomas,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,BOARD_EXPLICIT,Toronto Tempo,PRA,OVER,,31.5,,READY,24.2,21.8028,1.1099,24.2,24.2,23.0,26.0,1.05495,,
2026-08-29|alyssa thomas|toronto tempo @ phoenix mercury|pra|over,2026-08-29,Alyssa Thomas,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,BOARD_EXPLICIT,Toronto Tempo,PRA,OVER,,32.5,,READY,24.2,21.8028,1.1099,24.2,24.2,23.0,26.0,1.05495,,
2026-08-29|alyssa thomas|toronto tempo @ phoenix mercury|pra|under,2026-08-29,Alyssa Thomas,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,BOARD_EXPLICIT,Toronto Tempo,PRA,UNDER,,32.5,,READY,24.2,21.8028,1.1099,24.2,24.2,23.0,26.0,1.05495,,
2026-08-29|alyssa thomas|toronto tempo @ phoenix mercury|pts|over,2026-08-29,Alyssa Thomas,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,BOARD_EXPLICIT,Toronto Tempo,PTS,OVER,,14.5,,READY,12.5,13.8718,0.9011,12.5,12.5,12.3333,13.0,0.95055,,
2026-08-29|alyssa thomas|toronto tempo @ phoenix mercury|pts|over,2026-08-29,Alyssa Thomas,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,BOARD_EXPLICIT,Toronto Tempo,PTS,OVER,,15.5,,READY,12.5,13.8718,0.9011,12.5,12.5,12.3333,13.0,0.95055,,
2026-08-29|alyssa thomas|toronto tempo @ phoenix mercury|pts|under,2026-08-29,Alyssa Thomas,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,BOARD_EXPLICIT,Toronto Tempo,PTS,UNDER,,14.5,,READY,12.5,13.8718,0.9011,12.5,12.5,12.3333,13.0,0.95055,,
2026-08-29|alyssa thomas|toronto tempo @ phoenix mercury|pts|under,2026-08-29,Alyssa Thomas,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,BOARD_EXPLICIT,Toronto Tempo,PTS,UNDER,,15.5,,READY,12.5,13.8718,0.9011,12.5,12.5,12.3333,13.0,0.95055,,
2026-08-29|alyssa thomas|toronto tempo @ phoenix mercury|ra|over,2026-08-29,Alyssa Thomas,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,BOARD_EXPLICIT,Toronto Tempo,RA,OVER,,16.5,,READY,7.6667,9.4211,0.8138,7.6667,7.6667,10.0,6.5,0.9069,,
2026-08-29|alyssa thomas|toronto tempo @ phoenix mercury|ra|under,2026-08-29,Alyssa Thomas,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,BOARD_EXPLICIT,Toronto Tempo,RA,UNDER,,16.5,,READY,7.6667,9.4211,0.8138,7.6667,7.6667,10.0,6.5,0.9069,,
2026-08-29|alyssa thomas|toronto tempo @ phoenix mercury|reb|over,2026-08-29,Alyssa Thomas,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,BOARD_EXPLICIT,Toronto Tempo,REB,OVER,,8.5,,READY,5.0,4.8158,1.0383,5.375,5.0,5.375,2.0,1.01915,,
2026-08-29|alyssa thomas|toronto tempo @ phoenix mercury|reb|under,2026-08-29,Alyssa Thomas,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,BOARD_EXPLICIT,Toronto Tempo,REB,UNDER,,8.5,,READY,5.0,4.8158,1.0383,5.375,5.0,5.375,2.0,1.01915,,
2026-08-29|isabelle harrison|toronto tempo @ phoenix mercury|ast|over,2026-08-29,Isabelle Harrison,Toronto Tempo @ Phoenix Mercury,Toronto Tempo,BOARD_EXPLICIT,Phoenix Mercury,AST,OVER,,1.5,,READY,6.3333,3.9733,1.594,6.3333,6.3333,6.0,7.0,1.15,,
2026-08-29|isabelle harrison|toronto tempo @ phoenix mercury|ast|over,2026-08-29,Isabelle Harrison,Toronto Tempo @ Phoenix Mercury,Toronto Tempo,BOARD_EXPLICIT,Phoenix Mercury,AST,OVER,,2.5,,READY,6.3333,3.9733,1.594,6.3333,6.3333,6.0,7.0,1.15,,
2026-08-29|isabelle harrison|toronto tempo @ phoenix mercury|ast|over,2026-08-29,Isabelle Harrison,Toronto Tempo @ Phoenix Mercury,Toronto Tempo,BOARD_EXPLICIT,Phoenix Mercury,AST,OVER,,3.5,,READY,6.3333,3.9733,1.594,6.3333,6.3333,6.0,7.0,1.15,,
2026-08-29|isabelle harrison|toronto tempo @ phoenix mercury|ast|under,2026-08-29,Isabelle Harrison,Toronto Tempo @ Phoenix Mercury,Toronto Tempo,BOARD_EXPLICIT,Phoenix Mercury,AST,UNDER,,2.5,,READY,6.3333,3.9733,1.594,6.3333,6.3333,6.0,7.0,1.15,,
2026-08-29|isabelle harrison|toronto tempo @ phoenix mercury|ast|under,2026-08-29,Isabelle Harrison,Toronto Tempo @ Phoenix Mercury,Toronto Tempo,BOARD_EXPLICIT,Phoenix Mercury,AST,UNDER,,3.5,,READY,6.3333,3.9733,1.594,6.3333,6.3333,6.0,7.0,1.15,,
2026-08-29|isabelle harrison|toronto tempo @ phoenix mercury|pr|over,2026-08-29,Isabelle Harrison,Toronto Tempo @ Phoenix Mercury,Toronto Tempo,BOARD_EXPLICIT,Phoenix Mercury,PR,OVER,,22.5,,READY,17.125,18.1538,0.9433,14.3333,17.125,12.25,22.0,0.97165,,
2026-08-29|isabelle harrison|toronto tempo @ phoenix mercury|pr|under,2026-08-29,Isabelle Harrison,Toronto Tempo @ Phoenix Mercury,Toronto Tempo,BOARD_EXPLICIT,Phoenix Mercury,PR,UNDER,,22.5,,READY,17.125,18.1538,0.9433,14.3333,17.125,12.25,22.0,0.97165,,
2026-08-29|isabelle harrison|toronto tempo @ phoenix mercury|pra|over,2026-08-29,Isabelle Harrison,Toronto Tempo @ Phoenix Mercury,Toronto Tempo,BOARD_EXPLICIT,Phoenix Mercury,PRA,OVER,,24.5,,READY,20.4,21.8028,0.9357,20.4,20.4,14.0,24.6667,0.96785,,
2026-08-29|isabelle harrison|toronto tempo @ phoenix mercury|pra|under,2026-08-29,Isabelle Harrison,Toronto Tempo @ Phoenix Mercury,Toronto Tempo,BOARD_EXPLICIT,Phoenix Mercury,PRA,UNDER,,24.5,,READY,20.4,21.8028,0.9357,20.4,20.4,14.0,24.6667,0.96785,,
2026-08-29|isabelle harrison|toronto tempo @ phoenix mercury|pts|over,2026-08-29,Isabelle Harrison,Toronto Tempo @ Phoenix Mercury,Toronto Tempo,BOARD_EXPLICIT,Phoenix Mercury,PTS,OVER,,13.5,,READY,15.0,13.8718,1.0813,15.0,15.0,11.0,19.0,1.04065,,
2026-08-29|isabelle harrison|toronto tempo @ phoenix mercury|pts|over,2026-08-29,Isabelle Harrison,Toronto Tempo @ Phoenix Mercury,Toronto Tempo,BOARD_EXPLICIT,Phoenix Mercury,PTS,OVER,,14.5,,READY,15.0,13.8718,1.0813,15.0,15.0,11.0,19.0,1.04065,,
2026-08-29|isabelle harrison|toronto tempo @ phoenix mercury|pts|over,2026-08-29,Isabelle Harrison,Toronto Tempo @ Phoenix Mercury,Toronto Tempo,BOARD_EXPLICIT,Phoenix Mercury,PTS,OVER,,15.5,,READY,15.0,13.8718,1.0813,15.0,15.0,11.0,19.0,1.04065,,
2026-08-29|isabelle harrison|toronto tempo @ phoenix mercury|pts|under,2026-08-29,Isabelle Harrison,Toronto Tempo @ Phoenix Mercury,Toronto Tempo,BOARD_EXPLICIT,Phoenix Mercury,PTS,UNDER,,14.5,,READY,15.0,13.8718,1.0813,15.0,15.0,11.0,19.0,1.04065,,
2026-08-29|isabelle harrison|toronto tempo @ phoenix mercury|reb|over,2026-08-29,Isabelle Harrison,Toronto Tempo @ Phoenix Mercury,Toronto Tempo,BOARD_EXPLICIT,Phoenix Mercury,REB,OVER,,7.5,,READY,2.6667,4.8158,0.5537,2.6667,2.6667,2.5,3.0,0.85,,
2026-08-29|isabelle harrison|toronto tempo @ phoenix mercury|reb|under,2026-08-29,Isabelle Harrison,Toronto Tempo @ Phoenix Mercury,Toronto Tempo,BOARD_EXPLICIT,Phoenix Mercury,REB,UNDER,,7.5,,READY,2.6667,4.8158,0.5537,2.6667,2.6667,2.5,3.0,0.85,,
2026-08-29|kahleah copper|toronto tempo @ phoenix mercury|3pm|over,2026-08-29,Kahleah Copper,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,BOARD_EXPLICIT,Toronto Tempo,3PM,OVER,,1.5,,READY,3.0,1.75,1.7143,3.0,3.0,2.3333,4.0,1.15,,
2026-08-29|kahleah copper|toronto tempo @ phoenix mercury|3pm|over,2026-08-29,Kahleah Copper,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,BOARD_EXPLICIT,Toronto Tempo,3PM,OVER,,2.5,,READY,3.0,1.75,1.7143,3.0,3.0,2.3333,4.0,1.15,,
2026-08-29|kahleah copper|toronto tempo @ phoenix mercury|3pm|under,2026-08-29,Kahleah Copper,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,BOARD_EXPLICIT,Toronto Tempo,3PM,UNDER,,1.5,,READY,3.0,1.75,1.7143,3.0,3.0,2.3333,4.0,1.15,,
2026-08-29|kahleah copper|toronto tempo @ phoenix mercury|ast|over,2026-08-29,Kahleah Copper,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,BOARD_EXPLICIT,Toronto Tempo,AST,OVER,,1.5,,READY,3.0,3.9733,0.755,3.0,3.0,2.75,4.0,0.8775,,
2026-08-29|kahleah copper|toronto tempo @ phoenix mercury|ast|over,2026-08-29,Kahleah Copper,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,BOARD_EXPLICIT,Toronto Tempo,AST,OVER,,2.5,,READY,3.0,3.9733,0.755,3.0,3.0,2.75,4.0,0.8775,,
2026-08-29|kahleah copper|toronto tempo @ phoenix mercury|ast|under,2026-08-29,Kahleah Copper,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,BOARD_EXPLICIT,Toronto Tempo,AST,UNDER,,2.5,,READY,3.0,3.9733,0.755,3.0,3.0,2.75,4.0,0.8775,,
2026-08-29|kahleah copper|toronto tempo @ phoenix mercury|pr|over,2026-08-29,Kahleah Copper,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,BOARD_EXPLICIT,Toronto Tempo,PR,OVER,,26.5,,READY,16.2857,18.1538,0.8971,18.0,16.2857,13.6,23.0,0.94855,,
2026-08-29|kahleah copper|toronto tempo @ phoenix mercury|pr|under,2026-08-29,Kahleah Copper,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,BOARD_EXPLICIT,Toronto Tempo,PR,UNDER,,26.5,,READY,16.2857,18.1538,0.8971,18.0,16.2857,13.6,23.0,0.94855,,
2026-08-29|kahleah copper|toronto tempo @ phoenix mercury|pra|over,2026-08-29,Kahleah Copper,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,BOARD_EXPLICIT,Toronto Tempo,PRA,OVER,,27.5,,READY,24.2,21.8028,1.1099,24.2,24.2,23.0,26.0,1.05495,,
2026-08-29|kahleah copper|toronto tempo @ phoenix mercury|pra|over,2026-08-29,Kahleah Copper,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,BOARD_EXPLICIT,Toronto Tempo,PRA,OVER,,28.5,,READY,24.2,21.8028,1.1099,24.2,24.2,23.0,26.0,1.05495,,
2026-08-29|kahleah copper|toronto tempo @ phoenix mercury|pra|under,2026-08-29,Kahleah Copper,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,BOARD_EXPLICIT,Toronto Tempo,PRA,UNDER,,28.5,,READY,24.2,21.8028,1.1099,24.2,24.2,23.0,26.0,1.05495,,
2026-08-29|kahleah copper|toronto tempo @ phoenix mercury|pts|over,2026-08-29,Kahleah Copper,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,BOARD_EXPLICIT,Toronto Tempo,PTS,OVER,,21.5,,READY,12.5,13.8718,0.9011,12.5,12.5,12.3333,13.0,0.95055,,
2026-08-29|kahleah copper|toronto tempo @ phoenix mercury|pts|over,2026-08-29,Kahleah Copper,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,BOARD_EXPLICIT,Toronto Tempo,PTS,OVER,,22.5,,READY,12.5,13.8718,0.9011,12.5,12.5,12.3333,13.0,0.95055,,
2026-08-29|kahleah copper|toronto tempo @ phoenix mercury|pts|under,2026-08-29,Kahleah Copper,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,BOARD_EXPLICIT,Toronto Tempo,PTS,UNDER,,21.5,,READY,12.5,13.8718,0.9011,12.5,12.5,12.3333,13.0,0.95055,,
2026-08-29|kahleah copper|toronto tempo @ phoenix mercury|pts|under,2026-08-29,Kahleah Copper,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,BOARD_EXPLICIT,Toronto Tempo,PTS,UNDER,,22.5,,READY,12.5,13.8718,0.9011,12.5,12.5,12.3333,13.0,0.95055,,
2026-08-29|kahleah copper|toronto tempo @ phoenix mercury|reb|over,2026-08-29,Kahleah Copper,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,BOARD_EXPLICIT,Toronto Tempo,REB,OVER,,3.5,,READY,5.0,4.8158,1.0383,5.375,5.0,5.375,2.0,1.01915,,
2026-08-29|kahleah copper|toronto tempo @ phoenix mercury|reb|under,2026-08-29,Kahleah Copper,Toronto Tempo @ Phoenix Mercury,Phoenix Mercury,BOARD_EXPLICIT,Toronto Tempo,REB,UNDER,,3.5,,READY,5.0,4.8158,1.0383,5.375,5.0,5.375,2.0,1.01915,,
2026-08-29|kia nurse|toronto tempo @ phoenix mercury|3pm|over,2026-08-29,Kia Nurse,Toronto Tempo @ Phoenix Mercury,Toronto Tempo,BOARD_EXPLICIT,Phoenix Mercury,3PM,OVER,,2.5,,READY,0.75,1.75,0.4286,0.75,0.75,1.0,0.5,0.85,,
2026-08-29|kia nurse|toronto tempo @ phoenix mercury|3pm|under,2026-08-29,Kia Nurse,Toronto Tempo @ Phoenix Mercury,Toronto Tempo,BOARD_EXPLICIT,Phoenix Mercury,3PM,UNDER,,2.5,,READY,0.75,1.75,0.4286,0.75,0.75,1.0,0.5,0.85,,
2026-08-29|kia nurse|toronto tempo @ phoenix mercury|pts|over,2026-08-29,Kia Nurse,Toronto Tempo @ Phoenix Mercury,Toronto Tempo,BOARD_EXPLICIT,Phoenix Mercury,PTS,OVER,,10.5,,READY,15.0,13.8718,1.0813,15.0,15.0,11.0,19.0,1.04065,,
2026-08-29|kia nurse|toronto tempo @ phoenix mercury|pts|under,2026-08-29,Kia Nurse,Toronto Tempo @ Phoenix Mercury,Toronto Tempo,BOARD_EXPLICIT,Phoenix Mercury,PTS,UNDER,,10.5,,READY,15.0,13.8718,1.0813,15.0,15.0,11.0,19.0,1.04065,,
2026-08-29|kiki rice|toronto tempo @ phoenix mercury|3pm|over,2026-08-29,Kiki Rice,Toronto Tempo @ Phoenix Mercury,Toronto Tempo,BOARD_EXPLICIT,Phoenix Mercury,3PM,OVER,,1.5,,READY,0.75,1.75,0.4286,0.75,0.75,1.0,0.5,0.85,,
2026-08-29|kiki rice|toronto tempo @ phoenix mercury|3pm|under,2026-08-29,Kiki Rice,Toronto Tempo @ Phoenix Mercury,Toronto Tempo,BOARD_EXPLICIT,Phoenix Mercury,3PM,UNDER,,1.5,,READY,0.75,1.75,0.4286,0.75,0.75,1.0,0.5,0.85,,
2026-08-29|kiki rice|toronto tempo @ phoenix mercury|ast|over,2026-08-29,Kiki Rice,Toronto Tempo @ Phoenix Mercury,Toronto Tempo,BOARD_EXPLICIT,Phoenix Mercury,AST,OVER,,4.5,,READY,6.3333,3.9733,1.594,6.3333,6.3333,6.0,7.0,1.15,,
2026-08-29|kiki rice|toronto tempo @ phoenix mercury|ast|under,2026-08-29,Kiki Rice,Toronto Tempo @ Phoenix Mercury,Toronto Tempo,BOARD_EXPLICIT,Phoenix Mercury,AST,UNDER,,4.5,,READY,6.3333,3.9733,1.594,6.3333,6.3333,6.0,7.0,1.15,,
2026-08-29|kiki rice|toronto tempo @ phoenix mercury|pa|over,2026-08-29,Kiki Rice,Toronto Tempo @ Phoenix Mercury,Toronto Tempo,BOARD_EXPLICIT,Phoenix Mercury,PA,OVER,,20.5,,READY,17.6667,17.3333,1.0192,17.6667,17.6667,10.0,21.5,1.0096,,
2026-08-29|kiki rice|toronto tempo @ phoenix mercury|pa|under,2026-08-29,Kiki Rice,Toronto Tempo @ Phoenix Mercury,Toronto Tempo,BOARD_EXPLICIT,Phoenix Mercury,PA,UNDER,,20.5,,READY,17.6667,17.3333,1.0192,17.6667,17.6667,10.0,21.5,1.0096,,
2026-08-29|kiki rice|toronto tempo @ phoenix mercury|pr|over,2026-08-29,Kiki Rice,Toronto Tempo @ Phoenix Mercury,Toronto Tempo,BOARD_EXPLICIT,Phoenix Mercury,PR,OVER,,19.5,,READY,17.125,18.1538,0.9433,14.3333,17.125,12.25,22.0,0.97165,,
