archive_index,game_date,game_id,player,stat,side,alt_line,american_odds,target_win,market_probability,logistic_v5_probability,ridge_linear_probability,empirical_probability,knn_probability,ensemble_probability,train_rows,v5_probability,expected_value,expected_value_pct,recommended_units,realized_units
861,2026-07-31,401857102,Rhyne Howard,PRA,UNDER,24.5,-107.0,1,0.5169082125603864,0.830253,0.796319,0.838969,0.956702,0.804757,84,0.956702,0.8508160186915888,85.08160186915889,0.5,0.4673
790,2026-07-29,401857097,Rhyne Howard,PTS,UNDER,17.5,-114.0,1,0.5327102803738317,0.734929,0.69281,0.844237,0.98,0.788745,66,0.98,0.8396491228070174,83.96491228070174,0.5,0.4386
831,2026-07-30,401857100,Charlisse Leger-Walker,PR,UNDER,9.5,-119.0,0,0.54337899543379,0.763941,0.719173,0.847793,0.98,0.810098,73,0.98,0.8035294117647058,80.35294117647058,0.5,-0.5
833,2026-07-30,401857101,Pauline Astier,PR,UNDER,10.5,-119.0,0,0.54337899543379,0.774257,0.738159,0.847793,0.935489,0.782327,78,0.935489,0.7216142100840337,72.16142100840337,0.5,-0.5
836,2026-07-30,401857099,Natasha Howard,PR,UNDER,19.5,-115.0,1,0.5348837209302325,0.814833,0.775329,0.844961,0.814309,0.774782,72,0.814309,0.5224037826086956,52.240378260869555,0.5,0.4348
832,2026-07-31,401857104,Aliyah Boston,REB,UNDER,8.5,-127.75,0,0.5609220636663008,0.73067,0.693668,0.853641,0.828117,0.741785,88,0.828117,0.4763494853228962,47.63494853228962,0.5,-0.5
915,2026-08-02,401857109,Charlisse Leger-Walker,PRA,UNDER,15.5,-133.0,1,0.5708154506437768,0.739751,0.713071,0.856938,0.840157,0.748614,104,0.840157,0.4718539924812031,47.185399248120305,0.5,0.3759
947,2026-08-02,401857107,Aliyah Boston,PTS,UNDER,16.5,-123.5,1,0.5525727069351231,0.362863,0.401043,0.406413,0.720482,0.497362,102,0.720482,0.30386823481781366,30.386823481781366,0.5,0.4049
666,2026-07-28,401857096,Sabrina Ionescu,AST,UNDER,5.5,-146.0,0,0.5934959349593496,0.84583,0.764575,0.864499,0.765109,0.766702,48,0.765109,0.2891562602739727,28.915626027397266,0.5,-0.5
867,2026-07-31,401857103,Jessica Shepard,AST,OVER,4.5,-142.5,1,0.5876288659793815,0.650846,0.664445,0.862543,0.735832,0.702619,86,0.735832,0.2522053333333334,25.22053333333334,0.5,0.3509
