ranking_key,date,player,game,player_team,opponent,stat,side,projected_role,lineup_projection,rotation_games_prior,minutes_l5,minutes_l10,minutes_sd_l10,minutes_cv_l10,minutes_floor_p20,minutes_ceiling_p80,minutes_trend_l5,starter_consistency_l10,rotation_stability_score,rotation_risk_band,rotation_status,workload_multiplier,rotation_adjusted_projection,rotation_delta,injury_source_used,coach_intent_inferred,adjustment_basis
2026-08-30|aaliyah edwards|connecticut sun @ dallas wings|pr|over,2026-08-30,Aaliyah Edwards,Connecticut Sun @ Dallas Wings,Connecticut Sun,Dallas Wings,PR,OVER,BENCH,,6,19.4,18.167,7.733,0.4257,12.0,24.0,-2.7,0.6667,60.43,MODERATE,READY,1.008205,,,False,False,PRIOR_ONLY_WORKLOAD_STABILITY
2026-08-30|aaliyah edwards|connecticut sun @ dallas wings|pr|under,2026-08-30,Aaliyah Edwards,Connecticut Sun @ Dallas Wings,Connecticut Sun,Dallas Wings,PR,UNDER,BENCH,,6,19.4,18.167,7.733,0.4257,12.0,24.0,-2.7,0.6667,60.43,MODERATE,READY,1.008205,,,False,False,PRIOR_ONLY_WORKLOAD_STABILITY
2026-08-30|aaliyah edwards|connecticut sun @ dallas wings|pts|over,2026-08-30,Aaliyah Edwards,Connecticut Sun @ Dallas Wings,Connecticut Sun,Dallas Wings,PTS,OVER,BENCH,,6,19.4,18.167,7.733,0.4257,12.0,24.0,-2.7,0.6667,60.43,MODERATE,READY,1.008205,,,False,False,PRIOR_ONLY_WORKLOAD_STABILITY
2026-08-30|aaliyah edwards|connecticut sun @ dallas wings|pts|over,2026-08-30,Aaliyah Edwards,Connecticut Sun @ Dallas Wings,Connecticut Sun,Dallas Wings,PTS,OVER,BENCH,,6,19.4,18.167,7.733,0.4257,12.0,24.0,-2.7,0.6667,60.43,MODERATE,READY,1.008205,,,False,False,PRIOR_ONLY_WORKLOAD_STABILITY
2026-08-30|aaliyah edwards|connecticut sun @ dallas wings|pts|under,2026-08-30,Aaliyah Edwards,Connecticut Sun @ Dallas Wings,Connecticut Sun,Dallas Wings,PTS,UNDER,BENCH,,6,19.4,18.167,7.733,0.4257,12.0,24.0,-2.7,0.6667,60.43,MODERATE,READY,1.008205,,,False,False,PRIOR_ONLY_WORKLOAD_STABILITY
2026-08-30|aaliyah edwards|connecticut sun @ dallas wings|reb|over,2026-08-30,Aaliyah Edwards,Connecticut Sun @ Dallas Wings,Connecticut Sun,Dallas Wings,REB,OVER,BENCH,,6,19.4,18.167,7.733,0.4257,12.0,24.0,-2.7,0.6667,60.43,MODERATE,READY,1.008205,,,False,False,PRIOR_ONLY_WORKLOAD_STABILITY
2026-08-30|aaliyah edwards|connecticut sun @ dallas wings|reb|under,2026-08-30,Aaliyah Edwards,Connecticut Sun @ Dallas Wings,Connecticut Sun,Dallas Wings,REB,UNDER,BENCH,,6,19.4,18.167,7.733,0.4257,12.0,24.0,-2.7,0.6667,60.43,MODERATE,READY,1.008205,,,False,False,PRIOR_ONLY_WORKLOAD_STABILITY
2026-08-30|alanna smith|connecticut sun @ dallas wings|pr|over,2026-08-30,Alanna Smith,Connecticut Sun @ Dallas Wings,Dallas Wings,Connecticut Sun,PR,OVER,BENCH,,6,12.4,12.667,4.269,0.337,8.0,16.0,0.6,1.0,70.2,MODERATE,READY,0.997044,,,False,False,PRIOR_ONLY_WORKLOAD_STABILITY
2026-08-30|alanna smith|connecticut sun @ dallas wings|pr|over,2026-08-30,Alanna Smith,Connecticut Sun @ Dallas Wings,Dallas Wings,Connecticut Sun,PR,OVER,BENCH,,6,12.4,12.667,4.269,0.337,8.0,16.0,0.6,1.0,70.2,MODERATE,READY,0.997044,,,False,False,PRIOR_ONLY_WORKLOAD_STABILITY
2026-08-30|alanna smith|connecticut sun @ dallas wings|pr|under,2026-08-30,Alanna Smith,Connecticut Sun @ Dallas Wings,Dallas Wings,Connecticut Sun,PR,UNDER,BENCH,,6,12.4,12.667,4.269,0.337,8.0,16.0,0.6,1.0,70.2,MODERATE,READY,0.997044,,,False,False,PRIOR_ONLY_WORKLOAD_STABILITY
