team,stat,position,games_sampled,player_observations,allowed_avg
Atlanta Dream,AST,F,2,3,2.3333
Atlanta Dream,PA,F,1,1,24.0
Atlanta Dream,PA,G,1,1,20.0
Atlanta Dream,PR,G,1,1,9.0
Atlanta Dream,PRA,F,1,1,29.0
Atlanta Dream,PRA,G,1,1,13.0
Atlanta Dream,PTS,F,1,2,15.5
Atlanta Dream,RA,G,1,1,6.0
Atlanta Dream,REB,C,1,1,4.0
Atlanta Dream,REB,F,1,2,2.5
Atlanta Dream,REB,G,2,2,2.5
Chicago Sky,3PM,F,1,1,1.0
Chicago Sky,3PM,G,1,1,2.0
Chicago Sky,AST,C,1,1,2.0
Chicago Sky,AST,F,2,2,2.5
Chicago Sky,AST,G,2,2,3.5
Chicago Sky,PA,C,2,3,17.6667
Chicago Sky,PA,F,1,1,22.0
Chicago Sky,PA,G,1,1,17.0
Chicago Sky,PR,C,1,2,24.5
Chicago Sky,PR,G,2,2,9.5
Chicago Sky,PRA,C,1,2,28.0
Chicago Sky,PRA,F,1,1,34.0
Chicago Sky,PRA,G,2,3,20.3333
Chicago Sky,PTS,C,2,3,14.6667
Chicago Sky,PTS,F,1,1,18.0
Chicago Sky,PTS,G,3,3,12.6667
Chicago Sky,RA,F,2,2,7.0
Chicago Sky,RA,G,1,1,8.0
Chicago Sky,REB,C,1,2,9.5
Chicago Sky,REB,G,3,3,4.3333
Connecticut Sun,3PM,F,1,2,1.5
Connecticut Sun,3PM,G,2,2,1.5
Connecticut Sun,AST,G,2,2,1.5
Connecticut Sun,PA,F,1,1,15.0
Connecticut Sun,PR,C,1,1,28.0
Connecticut Sun,PR,F,2,2,21.0
Connecticut Sun,PRA,F,1,1,18.0
Connecticut Sun,PTS,C,1,1,22.0
Connecticut Sun,PTS,F,1,1,12.0
Connecticut Sun,RA,F,1,1,5.0
Connecticut Sun,RA,G,1,1,6.0
Connecticut Sun,REB,F,2,3,5.6667
Connecticut Sun,REB,G,4,6,3.1667
Dallas Wings,3PM,G,2,2,2.0
Dallas Wings,AST,C,1,1,2.0
