team,stat,games_sampled,player_observations,allowed_avg,league_avg,defense_index,last5_allowed_avg,last10_allowed_avg,home_allowed_avg,away_allowed_avg,allowed_percentile,defense_strength_percentile
Atlanta Dream,AST,3,6,3.1667,3.9733,0.797,3.1667,3.1667,3.5,3.0,31.25,68.75
Atlanta Dream,PA,3,3,17.6667,17.3333,1.0192,17.6667,17.6667,17.6667,,70.59,29.41
Atlanta Dream,PR,1,1,9.0,18.1538,0.4958,9.0,9.0,9.0,,5.88,94.12
Atlanta Dream,PRA,3,3,22.6667,21.8028,1.0396,22.6667,22.6667,21.0,26.0,64.71,35.29
Atlanta Dream,PTS,2,3,13.0,13.8718,0.9372,13.0,13.0,13.0,,35.29,64.71
Atlanta Dream,RA,3,4,10.25,9.4211,1.088,10.25,10.25,10.0,10.5,73.33,26.67
Atlanta Dream,REB,5,8,4.625,4.8158,0.9604,4.625,4.625,5.5,3.75,47.06,52.94
Chicago Sky,3PM,2,2,1.5,1.75,0.8571,1.5,1.5,,1.5,56.25,43.75
Chicago Sky,AST,5,6,2.6667,3.9733,0.6711,2.6667,2.6667,3.0,2.3333,18.75,81.25
Chicago Sky,PA,5,6,17.3333,17.3333,1.0,17.3333,17.3333,17.75,16.5,58.82,41.18
Chicago Sky,PR,3,5,15.8,18.1538,0.8703,15.8,15.8,17.25,10.0,41.18,58.82
Chicago Sky,PRA,5,7,23.4286,21.8028,1.0746,23.4286,23.4286,25.75,20.3333,70.59,29.41
Chicago Sky,PTS,6,8,13.75,13.8718,0.9912,15.7143,13.75,14.5,13.0,52.94,47.06
Chicago Sky,RA,5,5,8.8,9.4211,0.9341,8.8,8.8,10.0,7.0,46.67,53.33
Chicago Sky,REB,5,8,7.0,4.8158,1.4536,7.0,7.0,8.1667,3.5,88.24,11.76
Connecticut Sun,3PM,3,5,1.2,1.75,0.6857,1.2,1.2,1.0,1.5,31.25,68.75
Connecticut Sun,AST,2,2,1.5,3.9733,0.3775,1.5,1.5,2.0,1.0,6.25,93.75
Connecticut Sun,PA,3,3,17.3333,17.3333,1.0,17.3333,17.3333,15.0,18.5,58.82,41.18
Connecticut Sun,PR,4,5,22.6,18.1538,1.2449,22.6,22.6,15.0,24.5,94.12,5.88
