date,player,team,game,stat,signal,line,pred,actual,outcome,american_odds,sportsbook,confidence,final_score,simulation_probability,ev_pct,edge_pct,closing_line,clv,opponent,opponent_abbr
2026-07-09,Flau'jae Johnson,nan,Seattle Storm @ Atlanta Dream,PR,OVER,11.5,20.1,16.0,WIN,,,,,,38.6,,,,Atlanta Dream,ATL
2026-07-09,Sarah Ashlee Barker,nan,Las Vegas Aces @ Portland Fire,PTS,UNDER,10.5,4.0,8.0,WIN,,,,,,24.9,,,,Las Vegas Aces,LV
2026-07-09,Bridget Carleton,nan,Las Vegas Aces @ Portland Fire,PR,OVER,16.5,23.0,15.0,LOSS,,,81.7,81.7,0.8045,22.2,40.0,,,Las Vegas Aces,LV
2026-07-09,Bridget Carleton,nan,Las Vegas Aces @ Portland Fire,PRA,OVER,18.5,25.1,18.0,LOSS,,,,,,19.7,,,,Las Vegas Aces,LV
2026-07-09,Carla Leite,nan,Las Vegas Aces @ Portland Fire,PR,OVER,17.5,24.0,16.0,LOSS,,,,,,23.4,,,,Las Vegas Aces,LV
2026-07-09,Sarah Ashlee Barker,nan,Las Vegas Aces @ Portland Fire,PA,UNDER,13.5,7.6,11.0,WIN,,,,,,17.7,,,,Las Vegas Aces,LV
2026-07-09,Rhyne Howard,nan,Seattle Storm @ Atlanta Dream,PRA,OVER,23.5,29.7,25.0,WIN,,,,,,16.8,,,,Seattle Storm,SEA
2026-07-09,Sarah Ashlee Barker,nan,Las Vegas Aces @ Portland Fire,PTS,UNDER,11.5,4.5,8.0,WIN,,,,,,15.4,,,,Las Vegas Aces,LV
2026-07-09,Rhyne Howard,nan,Seattle Storm @ Atlanta Dream,REB,OVER,3.5,5.4,4.0,WIN,,,,,,58.0,,,,Seattle Storm,SEA
2026-07-09,Carla Leite,nan,Las Vegas Aces @ Portland Fire,PTS,OVER,14.5,21.6,13.0,LOSS,,,,,,17.1,,,,Las Vegas Aces,LV
2026-07-09,Rhyne Howard,nan,Seattle Storm @ Atlanta Dream,PA,OVER,20.5,24.5,21.0,WIN,,,,,,18.9,,,,Seattle Storm,SEA
2026-07-09,Rhyne Howard,nan,Seattle Storm @ Atlanta Dream,PR,OVER,22.5,26.5,23.0,WIN,,,,,,18.9,,,,Seattle Storm,SEA
2026-07-09,Megan Gustafson,nan,Las Vegas Aces @ Portland Fire,REB,OVER,3.5,9.6,3.0,LOSS,,,,,,10.4,,,,Las Vegas Aces,LV
2026-07-09,Sarah Ashlee Barker,nan,Las Vegas Aces @ Portland Fire,PR,UNDER,15.5,10.6,14.0,WIN,,,,,,14.4,,,,Las Vegas Aces,LV
2026-07-09,Jordin Canada,nan,Seattle Storm @ Atlanta Dream,PRA,UNDER,27.5,21.0,31.0,LOSS,,,,,,8.6,,,,Seattle Storm,SEA
2026-07-09,Dominique Malonga,nan,Seattle Storm @ Atlanta Dream,PTS,UNDER,16.5,12.9,15.0,WIN,,,,,,37.7,,,,Atlanta Dream,ATL
2026-07-09,Sarah Ashlee Barker,nan,Las Vegas Aces @ Portland Fire,PRA,UNDER,18.5,13.6,17.0,WIN,,,,,,12.4,,,,Las Vegas Aces,LV
2026-07-09,Bridget Carleton,nan,Las Vegas Aces @ Portland Fire,REB,OVER,3.5,7.6,6.0,WIN,,,,,,13.6,,,,Las Vegas Aces,LV
2026-07-09,Flau'jae Johnson,nan,Seattle Storm @ Atlanta Dream,PTS,OVER,8.5,13.5,14.0,WIN,,,,,,9.8,,,,Atlanta Dream,ATL
2026-07-09,Sarah Ashlee Barker,nan,Las Vegas Aces @ Portland Fire,PRA,UNDER,17.5,13.7,17.0,WIN,,,,,,15.8,,,,Las Vegas Aces,LV
2026-07-09,Angel Reese,nan,Seattle Storm @ Atlanta Dream,PRA,OVER,32.5,35.3,31.0,LOSS,,,,,,18.4,,,,Seattle Storm,SEA
2026-07-09,Carla Leite,nan,Las Vegas Aces @ Portland Fire,PRA,OVER,23.5,28.0,21.0,LOSS,,,,,,15.0,,,,Las Vegas Aces,LV
2026-07-09,Emily Engstler,nan,Las Vegas Aces @ Portland Fire,REB,OVER,5.5,7.8,7.0,WIN,,,,,,43.1,,,,Las Vegas Aces,LV
2026-07-09,Dominique Malonga,nan,Seattle Storm @ Atlanta Dream,PR,UNDER,25.5,19.5,24.0,WIN,,,,,,11.5,,,,Atlanta Dream,ATL
2026-07-09,Jordin Canada,nan,Seattle Storm @ Atlanta Dream,PTS,UNDER,12.5,9.2,14.0,LOSS,,,,,,12.8,,,,Seattle Storm,SEA
2026-07-09,Carla Leite,nan,Las Vegas Aces @ Portland Fire,PA,OVER,20.5,25.0,18.0,LOSS,,,,,,12.0,,,,Las Vegas Aces,LV
2026-07-09,Megan Gustafson,nan,Las Vegas Aces @ Portland Fire,PR,OVER,16.5,20.3,14.0,LOSS,,,,,,10.3,,,,Las Vegas Aces,LV
2026-07-09,Allisha Gray,nan,Seattle Storm @ Atlanta Dream,PR,OVER,25.5,28.4,25.0,LOSS,,,,,,13.3,,,,Seattle Storm,SEA
2026-07-09,Natisha Hiedeman,nan,Seattle Storm @ Atlanta Dream,PTS,UNDER,18.5,17.0,20.0,LOSS,,,,,,19.1,,,,Atlanta Dream,ATL
2026-07-09,Jordin Canada,nan,Seattle Storm @ Atlanta Dream,PA,UNDER,20.5,17.2,22.0,LOSS,,,,,,10.4,,,,Seattle Storm,SEA
2026-07-09,Bridget Carleton,nan,Las Vegas Aces @ Portland Fire,PTS,OVER,12.5,16.1,9.0,LOSS,,,,,,7.8,,,,Las Vegas Aces,LV
2026-07-09,Sarah Ashlee Barker,nan,Las Vegas Aces @ Portland Fire,REB,OVER,4.5,6.2,6.0,WIN,,,,,,14.6,,,,Las Vegas Aces,LV
2026-07-09,Natisha Hiedeman,nan,Seattle Storm @ Atlanta Dream,PA,UNDER,22.5,21.0,23.0,LOSS,,,,,,14.2,,,,Atlanta Dream,ATL
2026-07-09,Emily Engstler,nan,Las Vegas Aces @ Portland Fire,PR,OVER,13.5,17.2,17.0,WIN,,,,,,13.8,,,,Las Vegas Aces,LV
2026-07-09,Dominique Malonga,nan,Seattle Storm @ Atlanta Dream,PTS,UNDER,17.5,12.5,15.0,WIN,,,,,,6.4,,,,Atlanta Dream,ATL
2026-07-09,Allisha Gray,nan,Seattle Storm @ Atlanta Dream,PTS,OVER,22.5,24.4,22.0,LOSS,,,,,,13.1,,,,Seattle Storm,SEA
2026-07-09,Allisha Gray,nan,Seattle Storm @ Atlanta Dream,REB,OVER,3.5,4.4,3.0,LOSS,,,,,,38.2,,,,Seattle Storm,SEA
2026-07-09,Natisha Hiedeman,nan,Seattle Storm @ Atlanta Dream,REB,OVER,3.5,4.2,5.0,WIN,,,,,,30.8,,,,Atlanta Dream,ATL
2026-07-09,Rhyne Howard,nan,Seattle Storm @ Atlanta Dream,3PM,OVER,4.5,5.0,4.0,LOSS,,,,,,35.2,,,,Seattle Storm,SEA
2026-07-09,Angel Reese,nan,Seattle Storm @ Atlanta Dream,PTS,OVER,18.5,19.2,18.0,LOSS,,,,,,23.5,,,,Seattle Storm,SEA
2026-07-09,Natisha Hiedeman,nan,Seattle Storm @ Atlanta Dream,RA,OVER,7.5,8.4,8.0,WIN,,,,,,16.2,,,,Atlanta Dream,ATL
2026-07-09,Angel Reese,nan,Seattle Storm @ Atlanta Dream,REB,OVER,11.5,14.4,11.0,LOSS,,,,,,4.7,,,,Seattle Storm,SEA
2026-07-09,Angel Reese,nan,Seattle Storm @ Atlanta Dream,PR,OVER,29.5,32.4,29.0,LOSS,,,,,,4.5,,,,Seattle Storm,SEA
2026-07-09,Naz Hillmon,nan,Seattle Storm @ Atlanta Dream,PTS,UNDER,7.5,2.5,7.0,WIN,,,,,,3.2,,,,Seattle Storm,SEA
2026-07-09,Rhyne Howard,nan,Seattle Storm @ Atlanta Dream,PTS,OVER,18.5,21.8,19.0,WIN,,,,,,-1.5,,,,Seattle Storm,SEA
2026-07-09,Rhyne Howard,nan,Seattle Storm @ Atlanta Dream,PTS,OVER,19.5,21.6,19.0,LOSS,,,,,,2.6,,,,Seattle Storm,SEA
2026-07-09,Sarah Ashlee Barker,nan,Las Vegas Aces @ Portland Fire,RA,OVER,6.5,9.4,9.0,WIN,,,,,,-0.8,,,,Las Vegas Aces,LV
2026-07-09,Bridget Carleton,nan,Las Vegas Aces @ Portland Fire,3PM,OVER,2.5,3.0,3.0,WIN,,,,,,8.8,,,,Las Vegas Aces,LV
2026-07-09,Allisha Gray,nan,Seattle Storm @ Atlanta Dream,PTS,OVER,21.5,24.7,22.0,WIN,,,,,,-5.5,,,,Seattle Storm,SEA
2026-07-09,Natisha Hiedeman,nan,Seattle Storm @ Atlanta Dream,PR,UNDER,22.5,20.8,25.0,LOSS,,,,,,-1.1,,,,Atlanta Dream,ATL
2026-07-09,Natisha Hiedeman,nan,Seattle Storm @ Atlanta Dream,PRA,UNDER,26.5,24.8,28.0,LOSS,,,,,,-2.8,,,,Atlanta Dream,ATL
2026-07-09,Emily Engstler,nan,Las Vegas Aces @ Portland Fire,PRA,OVER,15.5,17.2,19.0,WIN,,,,,,4.9,,,,Las Vegas Aces,LV
2026-07-09,Angel Reese,nan,Seattle Storm @ Atlanta Dream,PTS,OVER,17.5,19.6,18.0,WIN,,,,,,-11.1,,,,Seattle Storm,SEA
2026-07-09,Emily Engstler,nan,Las Vegas Aces @ Portland Fire,PTS,OVER,7.5,9.2,10.0,WIN,,,,,,-0.8,,,,Las Vegas Aces,LV
2026-07-09,Bridget Carleton,nan,Las Vegas Aces @ Portland Fire,PTS,OVER,13.5,16.1,9.0,LOSS,,,,,,-14.5,,,,Las Vegas Aces,LV
2026-07-09,Carla Leite,nan,Las Vegas Aces @ Portland Fire,RA,UNDER,8.5,7.1,8.0,WIN,,,,,,-6.6,,,,Las Vegas Aces,LV
2026-07-09,Jordin Canada,nan,Seattle Storm @ Atlanta Dream,REB,UNDER,6.5,4.4,9.0,LOSS,,,,,,-15.3,,,,Seattle Storm,SEA
2026-07-09,Megan Gustafson,nan,Las Vegas Aces @ Portland Fire,PTS,UNDER,12.5,11.3,11.0,WIN,,,,,,1.6,,,,Las Vegas Aces,LV
2026-07-09,Flau'jae Johnson,nan,Seattle Storm @ Atlanta Dream,AST,UNDER,5.5,3.1,5.0,WIN,,,,,,-20.1,,,,Atlanta Dream,ATL
2026-07-09,Jordin Canada,nan,Seattle Storm @ Atlanta Dream,AST,OVER,7.5,8.9,8.0,WIN,,,,,,-15.8,,,,Seattle Storm,SEA
2026-07-09,Natisha Hiedeman,nan,Seattle Storm @ Atlanta Dream,AST,OVER,3.5,4.8,3.0,LOSS,,,,,,-16.2,,,,Atlanta Dream,ATL
2026-07-09,Carla Leite,nan,Las Vegas Aces @ Portland Fire,AST,UNDER,5.5,4.3,5.0,WIN,,,,,,3.0,,,,Las Vegas Aces,LV
2026-07-09,Allisha Gray,nan,Seattle Storm @ Atlanta Dream,PRA,OVER,30.5,31.5,30.0,LOSS,,,,,,-4.4,,,,Seattle Storm,SEA
2026-07-09,Allisha Gray,nan,Seattle Storm @ Atlanta Dream,AST,UNDER,5.5,3.3,5.0,WIN,,,,,,-26.4,,,,Seattle Storm,SEA
2026-07-09,Carla Leite,nan,Las Vegas Aces @ Portland Fire,REB,OVER,2.5,3.2,3.0,WIN,,,,,,-3.7,,,,Las Vegas Aces,LV
2026-07-09,Carla Leite,nan,Las Vegas Aces @ Portland Fire,3PM,OVER,0.5,0.9,0.0,LOSS,,,,,,-16.3,,,,Las Vegas Aces,LV
2026-07-09,Dominique Malonga,nan,Seattle Storm @ Atlanta Dream,REB,UNDER,8.5,6.8,9.0,LOSS,,,,,,-21.2,,,,Atlanta Dream,ATL
2026-07-09,A'ja Wilson,nan,Las Vegas Aces @ Portland Fire,PTS,OVER,23.5,25.3,32.0,WIN,,,,,,32.9,,,,Portland Fire,POR
2026-07-09,A'ja Wilson,nan,Las Vegas Aces @ Portland Fire,PRA,OVER,34.5,38.3,45.0,WIN,,,,,,12.9,,,,Portland Fire,POR
2026-07-09,A'ja Wilson,nan,Las Vegas Aces @ Portland Fire,PR,OVER,31.5,35.5,42.0,WIN,,,,,,11.9,,,,Portland Fire,POR
2026-07-09,A'ja Wilson,nan,Las Vegas Aces @ Portland Fire,PA,OVER,26.5,28.2,35.0,WIN,,,,,,7.5,,,,Portland Fire,POR
2026-07-09,A'ja Wilson,nan,Las Vegas Aces @ Portland Fire,REB,OVER,7.5,10.5,10.0,WIN,,,,,,-5.1,,,,Portland Fire,POR
2026-07-09,Tyasha Harris,nan,Indiana Fever @ Phoenix Mercury,AST,UNDER,4.5,2.8,5.0,LOSS,,,,,,-2.2,,,,Phoenix Mercury,PHX
2026-07-09,Lexie Hull,nan,Indiana Fever @ Phoenix Mercury,REB,UNDER,4.5,2.8,0.0,WIN,,,,,,-3.5,,,,Phoenix Mercury,PHX
2026-07-09,Aliyah Boston,nan,Indiana Fever @ Phoenix Mercury,AST,UNDER,3.5,1.8,0.0,WIN,,,,,,-5.7,,,,Phoenix Mercury,PHX
2026-07-09,Alyssa Thomas,nan,Indiana Fever @ Phoenix Mercury,PRA,UNDER,30.5,29.5,35.0,LOSS,,,,,,-3.4,,,,Indiana Fever,IND
2026-07-09,A'ja Wilson,nan,Las Vegas Aces @ Portland Fire,REB,OVER,8.5,10.5,10.0,WIN,,,,,,-25.4,,,,Portland Fire,POR
2026-07-09,Kahleah Copper,nan,Indiana Fever @ Phoenix Mercury,PTS,OVER,20.5,21.1,22.0,WIN,,,,,,-3.4,,,,Indiana Fever,IND
2026-07-09,Cheyenne Parker-Tyus,nan,Las Vegas Aces @ Portland Fire,PTS,UNDER,5.5,4.9,0.0,WIN,,,,,,-3.9,,,,Portland Fire,POR
2026-07-09,Monique Akoa Makani,nan,Indiana Fever @ Phoenix Mercury,PTS,UNDER,6.5,5.7,14.0,LOSS,,,,,,-6.0,,,,Indiana Fever,IND
2026-07-09,Chelsea Gray,nan,Las Vegas Aces @ Portland Fire,PTS,UNDER,13.5,12.9,8.0,WIN,,,,,,-6.1,,,,Portland Fire,POR
2026-07-09,NaLyssa Smith,nan,Las Vegas Aces @ Portland Fire,REB,UNDER,6.5,5.9,2.0,WIN,,,,,,-7.3,,,,Portland Fire,POR
2026-07-09,Aliyah Boston,nan,Indiana Fever @ Phoenix Mercury,3PM,UNDER,1.5,0.2,3.0,LOSS,,,,,,-25.6,,,,Phoenix Mercury,PHX
2026-07-09,A'ja Wilson,nan,Las Vegas Aces @ Portland Fire,AST,OVER,2.5,3.1,3.0,WIN,,,,,,-8.6,,,,Portland Fire,POR
2026-07-09,A'ja Wilson,nan,Las Vegas Aces @ Portland Fire,RA,OVER,11.5,13.5,13.0,WIN,,,,,,-42.9,,,,Portland Fire,POR
2026-07-09,Monique Billings,nan,Indiana Fever @ Phoenix Mercury,REB,OVER,5.5,5.9,2.0,LOSS,,,,,,-12.8,,,,Phoenix Mercury,PHX
2026-07-09,Kahleah Copper,nan,Indiana Fever @ Phoenix Mercury,RA,UNDER,5.5,5.1,7.0,LOSS,,,,,,-13.2,,,,Indiana Fever,IND
2026-07-09,Kahleah Copper,nan,Indiana Fever @ Phoenix Mercury,3PM,OVER,1.5,1.9,3.0,WIN,,,,,,-13.0,,,,Indiana Fever,IND
2026-07-09,Alyssa Thomas,nan,Indiana Fever @ Phoenix Mercury,REB,OVER,6.5,6.9,6.0,LOSS,,,,,,-14.0,,,,Indiana Fever,IND
2026-07-09,Chelsea Gray,nan,Las Vegas Aces @ Portland Fire,AST,UNDER,7.5,7.1,7.0,WIN,,,,,,-13.8,,,,Portland Fire,POR
2026-07-09,Sophie Cunningham,nan,Indiana Fever @ Phoenix Mercury,PTS,UNDER,9.5,9.0,9.0,WIN,,,,,,-14.0,,,,Phoenix Mercury,PHX
