game_date,game_id_x,status,is_final,in_progress,home_team,away_team,home_score,away_score,actual_spread,actual_total,home_q1,home_q2,home_q3,home_q4,away_q1,away_q2,away_q3,away_q4,posted_spread,posted_total,venue,attendance,scraped_at_x,season,home_rest_days,home_back_to_back,home_three_in_four,away_rest_days,away_back_to_back,away_three_in_four,travel_direction,long_travel,east_to_west,west_to_east,home_rolling_5g,away_rolling_5g,rolling_diff_5g,pred_spread_rolling_5g,home_rolling_10g,away_rolling_10g,rolling_diff_10g,pred_spread_rolling_10g,game_id_y,commence_time,spread_home,spread_home_juice,total,total_over_juice,ml_home,ml_away,num_books,source,scraped_at_y,start_time,home_rk,home_g,home_mp,home_fg,home_fga,home_fg%,home_3p,home_3pa,home_3p%,home_2p,home_2pa,home_2p%,home_ft,home_fta,home_ft%,home_orb,home_drb,home_trb,home_ast,home_stl,home_blk,home_tov,home_pf,home_pts,away_rk,away_g,away_mp,away_fg,away_fga,away_fg%,away_3p,away_3pa,away_3p%,away_2p,away_2pa,away_2p%,away_ft,away_fta,away_ft%,away_orb,away_drb,away_trb,away_ast,away_stl,away_blk,away_tov,away_pf,away_pts,season_game_num,month,is_playoff
2023-05-14,401537464,STATUS_FINAL,True,False,Atlanta Dream,Connecticut Sun,68,85,-17,153,18.0,16.0,17.0,17.0,26.0,19.0,23.0,17.0,,,Gateway Center,0,2026-07-10T11:01:05.207794,2023,,False,False,,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0
2023-05-19,401507130,STATUS_FINAL,True,False,Indiana Fever,Connecticut Sun,61,70,-9,131,10.0,18.0,15.0,18.0,19.0,16.0,23.0,12.0,,,Gainbridge Fieldhouse,7356,2026-07-10T11:01:13.128417,2023,,False,False,4.0,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,7.0,40.0,201.9,30.2,68.3,0.442,6.7,19.8,0.34,23.5,48.5,0.484,13.9,17.8,0.783,8.9,25.1,34.0,18.0,6.5,3.0,14.1,19.7,81.0,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0
2023-05-19,401507131,STATUS_FINAL,True,False,Washington Mystics,New York Liberty,80,64,16,144,17.0,22.0,21.0,20.0,12.0,14.0,18.0,20.0,,,CareFirst Arena,4200,2026-07-10T11:01:13.128429,2023,,False,False,,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0
2023-05-20,401507132,STATUS_FINAL,True,False,Minnesota Lynx,Chicago Sky,66,77,-11,143,24.0,3.0,22.0,17.0,22.0,22.0,21.0,12.0,,,Target Center,8024,2026-07-10T11:01:13.128443,2023,,False,False,,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,0
2023-05-20,401507133,STATUS_FINAL,True,False,Los Angeles Sparks,Phoenix Mercury,94,71,23,165,19.0,35.0,19.0,21.0,22.0,19.0,14.0,16.0,,,crypto.com Arena,10396,2026-07-10T11:01:13.128452,2023,,False,False,,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,10.0,40.0,200.6,28.4,66.8,0.425,6.5,19.5,0.333,21.9,47.3,0.463,15.6,19.1,0.819,6.7,24.8,31.5,19.0,8.5,2.9,12.5,16.9,78.9,12.0,40.0,200.6,28.4,63.9,0.444,6.8,20.7,0.328,21.6,43.3,0.5,13.0,16.2,0.803,6.6,24.3,30.9,19.1,5.7,4.2,14.8,18.8,76.6,5,5,0
2023-05-20,401507135,STATUS_FINAL,True,False,Dallas Wings,Atlanta Dream,85,78,7,163,21.0,26.0,22.0,16.0,18.0,12.0,29.0,19.0,,,College Park Center,5588,2026-07-10T11:01:14.703605,2023,,False,False,,False,False,east_to_west,1,1,0,,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,0
2023-05-20,401507134,STATUS_FINAL,True,False,Seattle Storm,Las Vegas Aces,64,105,-41,169,14.0,14.0,20.0,16.0,18.0,25.0,31.0,31.0,,,Climate Pledge Arena,11229,2026-07-10T11:01:14.703618,2023,,False,False,,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,11.0,40.0,200.6,27.9,67.9,0.41,8.5,24.2,0.352,19.4,43.8,0.442,14.6,18.6,0.786,8.2,26.7,34.9,17.7,7.0,4.5,14.5,17.9,78.8,,,,,,,,,,,,,,,,,,,,,,,,,7,5,0
2023-05-21,401507136,STATUS_FINAL,True,False,Connecticut Sun,Washington Mystics,80,74,6,154,14.0,20.0,23.0,23.0,24.0,14.0,20.0,16.0,,,Mohegan Sun Arena,7048,2026-07-10T11:01:16.319213,2023,,False,False,,False,False,same_region,0,0,0,13.0,,13.0,6.5,13.0,,13.0,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,0
2023-05-21,401507137,STATUS_FINAL,True,False,New York Liberty,Indiana Fever,90,73,17,163,36.0,26.0,23.0,5.0,14.0,21.0,20.0,18.0,,,Barclays Center,8575,2026-07-10T11:01:16.319248,2023,,False,False,,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,40.0,201.9,30.2,68.3,0.442,6.7,19.8,0.34,23.5,48.5,0.484,13.9,17.8,0.783,8.9,25.1,34.0,18.0,6.5,3.0,14.1,19.7,81.0,9,5,0
2023-05-21,401507138,STATUS_FINAL,True,False,Phoenix Mercury,Chicago Sky,69,75,-6,144,18.0,17.0,18.0,16.0,18.0,23.0,19.0,15.0,,,Mortgage Matchup Center,14040,2026-07-10T11:01:16.319259,2023,,False,False,0.0,True,False,east_to_west,1,1,0,,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,12.0,40.0,200.6,28.4,63.9,0.444,6.8,20.7,0.328,21.6,43.3,0.5,13.0,16.2,0.803,6.6,24.3,30.9,19.1,5.7,4.2,14.8,18.8,76.6,,,,,,,,,,,,,,,,,,,,,,,,,10,5,0
2023-05-23,401507139,STATUS_FINAL,True,False,Washington Mystics,Connecticut Sun,81,88,-7,169,17.0,25.0,17.0,22.0,21.0,22.0,20.0,25.0,,,CareFirst Arena,3383,2026-07-10T11:01:19.457715,2023,3.0,False,False,3.0,False,False,same_region,0,0,0,5.0,10.666666666666666,-5.666666666666666,-2.833333333333333,5.0,10.666666666666666,-5.666666666666666,-2.833333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5,0
2023-05-24,401507140,STATUS_FINAL,True,False,Minnesota Lynx,Atlanta Dream,77,83,-6,160,30.0,17.0,20.0,10.0,19.0,21.0,19.0,24.0,,,Target Center,7803,2026-07-10T11:01:19.457728,2023,3.0,False,False,3.0,False,False,same_region,0,0,0,,-12.0,12.0,6.0,,-12.0,12.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,5,0
2023-05-26,401507141,STATUS_FINAL,True,False,Los Angeles Sparks,Las Vegas Aces,85,94,-9,179,25.0,21.0,17.0,22.0,15.0,21.0,31.0,27.0,,,crypto.com Arena,7314,2026-07-10T11:01:22.630667,2023,5.0,False,False,5.0,False,False,same_region,0,0,0,,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,10.0,40.0,200.6,28.4,66.8,0.425,6.5,19.5,0.333,21.9,47.3,0.463,15.6,19.1,0.819,6.7,24.8,31.5,19.0,8.5,2.9,12.5,16.9,78.9,,,,,,,,,,,,,,,,,,,,,,,,,13,5,0
