player,player_key,stat,side,book_key,line,odds
Leïla Lacan,le la lacan,AST,OVER,fanduel,4.5,-146
Leïla Lacan,le la lacan,AST,UNDER,fanduel,4.5,110
Leïla Lacan,le la lacan,PTS,OVER,fanduel,11.5,-128
Leïla Lacan,le la lacan,PTS,UNDER,fanduel,11.5,-102
Leïla Lacan,le la lacan,PRA,OVER,fanduel,19.5,-110
Leïla Lacan,le la lacan,PRA,UNDER,fanduel,19.5,-120
Leïla Lacan,le la lacan,AST,OVER,draftkings,4.5,-138
Leïla Lacan,le la lacan,AST,UNDER,draftkings,4.5,102
Leïla Lacan,le la lacan,PTS,OVER,draftkings,12.5,-104
Leïla Lacan,le la lacan,PTS,UNDER,draftkings,12.5,-128
