governance_rank,generated_at_utc,game_date,event_id,game,player,player_id,stat,side,sportsbook,sportsbook_key,line,odds,projection,projection_edge,model_probability,implied_probability,probability_edge,expected_value_per_dollar,model_mae,feature_ready,deployment_status,source,mae_ratio,uncertainty_penalty,governance_score,base_eligible,decision,decision_reason,research_stake_units,governance_generated_at_utc
1,2026-08-01T23:31:17.535295+00:00,2026-08-02,8cb92d45e2c4570ff14320738ec395f2,Connecticut Sun @ Dallas Wings,Jessica Shepard,pl_6cc5f204f77ba597,pra,UNDER,DraftKings,draftkings,31.5,-106,12.7,18.8,0.9975,0.5146,0.483,0.9386,5.336,True,SHADOW_ONLY,sprint23_phase3_shadow,0.1693968253968254,0.1693968253968254,157.0520634920635,True,SHORTLIST,passed thresholds and portfolio exposure controls,0.0,2026-08-01T23:31:19.774796+00:00
2,2026-08-01T23:31:17.535295+00:00,2026-08-02,0ec7356c2a72bd70a2ddb870e33f24a3,Indiana Fever @ Minnesota Lynx,Caitlin Clark,pl_f3cf364a08200b25,pra,UNDER,DraftKings,draftkings,32.5,-110,16.58,15.92,0.9914,0.5238,0.4675,0.8926,5.336,True,SHADOW_ONLY,sprint23_phase3_shadow,0.1641846153846154,0.1641846153846154,145.86630769230766,True,SHORTLIST,passed thresholds and portfolio exposure controls,0.0,2026-08-01T23:31:19.774796+00:00
3,2026-08-01T23:31:17.535295+00:00,2026-08-02,0ec7356c2a72bd70a2ddb870e33f24a3,Indiana Fever @ Minnesota Lynx,Olivia Miles,pl_a16dc7f41e113ba9,pra,UNDER,FanDuel,fanduel,29.5,-104,16.05,13.45,0.9778,0.5098,0.468,0.9181,5.336,True,SHADOW_ONLY,sprint23_phase3_shadow,0.1808813559322034,0.1808813559322034,143.17237288135593,True,SHORTLIST,passed thresholds and portfolio exposure controls,0.0,2026-08-01T23:31:19.774796+00:00
4,2026-08-01T23:31:17.535295+00:00,2026-08-02,0ec7356c2a72bd70a2ddb870e33f24a3,Indiana Fever @ Minnesota Lynx,Olivia Miles,pl_a16dc7f41e113ba9,ast,UNDER,DraftKings,draftkings,6.5,111,3.43,3.07,0.9785,0.4739,0.5046,1.0646,1.21,True,SHADOW_ONLY,sprint23_phase3_shadow,0.18615384615384614,0.18615384615384614,139.15292307692306,True,SHORTLIST,passed thresholds and portfolio exposure controls,0.0,2026-08-01T23:31:19.774796+00:00
5,2026-08-01T23:31:17.535295+00:00,2026-08-02,8cb92d45e2c4570ff14320738ec395f2,Connecticut Sun @ Dallas Wings,Paige Bueckers,pl_ad864595548de955,pra,UNDER,DraftKings,draftkings,31.5,-119,15.64,15.86,0.9911,0.5434,0.4478,0.824,5.336,True,SHADOW_ONLY,sprint23_phase3_shadow,0.1693968253968254,0.1693968253968254,137.6000634920635,True,SHORTLIST,passed thresholds and portfolio exposure controls,0.0,2026-08-01T23:31:19.774796+00:00
6,2026-08-01T23:31:17.535295+00:00,2026-08-03,b69cd4efd717cb22355b34ad83ba553a,Toronto Tempo @ Golden State Valkyries,Veronica Burton,pl_1241fddfc0d9e94c,ast,UNDER,FanDuel,fanduel,5.5,116,2.96,2.54,0.953,0.463,0.49,1.0585,1.21,True,SHADOW_ONLY,sprint23_phase3_shadow,0.22,0.22,135.93,True,SHORTLIST,passed thresholds and portfolio exposure controls,0.0,2026-08-01T23:31:19.774796+00:00
7,2026-08-01T23:31:17.535295+00:00,2026-08-02,e15c637f66763f4ab0621898bd92d2bb,Los Angeles Sparks @ Portland Fire,Carla Leite,pl_ddbde04826e4f1f1,pra,UNDER,FanDuel,fanduel,24.5,-122,8.04,16.46,0.9931,0.5495,0.4435,0.8071,5.336,True,SHADOW_ONLY,sprint23_phase3_shadow,0.21779591836734696,0.21779591836734696,135.88408163265308,True,SHORTLIST,passed thresholds and portfolio exposure controls,0.0,2026-08-01T23:31:19.774796+00:00
8,2026-08-01T23:31:17.535295+00:00,2026-08-02,0ec7356c2a72bd70a2ddb870e33f24a3,Indiana Fever @ Minnesota Lynx,Kelsey Mitchell,pl_6ea88c4443fd507d,pra,UNDER,FanDuel,fanduel,26.5,-106,14.24,12.26,0.9666,0.5146,0.4521,0.8786,5.336,True,SHADOW_ONLY,sprint23_phase3_shadow,0.20135849056603775,0.20135849056603775,135.47883018867924,True,SHORTLIST,passed thresholds and portfolio exposure controls,0.0,2026-08-01T23:31:19.774796+00:00
9,2026-08-01T23:31:17.535295+00:00,2026-08-02,e15c637f66763f4ab0621898bd92d2bb,Los Angeles Sparks @ Portland Fire,Megan DiLeo,pl_51cd968d29dc7f89,pts,UNDER,DraftKings,draftkings,14.5,-111,3.71,10.79,0.9822,0.5261,0.4562,0.8671,4.096,True,SHADOW_ONLY,sprint23_phase3_shadow,0.28248275862068967,0.28248275862068967,130.0123448275862,True,SHORTLIST,passed thresholds and portfolio exposure controls,0.0,2026-08-01T23:31:19.774796+00:00
10,2026-08-01T23:31:17.535295+00:00,2026-08-03,b69cd4efd717cb22355b34ad83ba553a,Toronto Tempo @ Golden State Valkyries,Marina Mabrey,pl_7897ca9d575458b3,pts,UNDER,FanDuel,fanduel,19.5,-108,9.74,9.76,0.9713,0.5192,0.4521,0.8707,4.096,True,SHADOW_ONLY,sprint23_phase3_shadow,0.21005128205128207,0.21005128205128207,129.51497435897437,True,SHORTLIST,passed thresholds and portfolio exposure controls,0.0,2026-08-01T23:31:19.774796+00:00
11,2026-08-01T23:31:17.535295+00:00,2026-08-02,8cb92d45e2c4570ff14320738ec395f2,Connecticut Sun @ Dallas Wings,Jessica Shepard,pl_6cc5f204f77ba597,reb,UNDER,DraftKings,draftkings,11.5,-109,5.52,5.98,0.9981,0.5215,0.4765,0.9137,1.651,True,SHADOW_ONLY,sprint23_phase3_shadow,0.14356521739130435,0.14356521739130435,129.0486956521739,True,SHORTLIST,passed thresholds and portfolio exposure controls,0.0,2026-08-01T23:31:19.774796+00:00
12,2026-08-01T23:31:17.535295+00:00,2026-08-02,0ec7356c2a72bd70a2ddb870e33f24a3,Indiana Fever @ Minnesota Lynx,Kayla McBride,pl_3d50ba6ae300d829,threes,UNDER,FanDuel,fanduel,2.5,122,1.15,1.35,0.9134,0.4505,0.463,1.0278,0.793,True,SHADOW_ONLY,sprint23_phase3_shadow,0.31720000000000004,0.31720000000000004,126.916,True,SHORTLIST,passed thresholds and portfolio exposure controls,0.0,2026-08-01T23:31:19.774796+00:00
13,2026-08-01T23:31:17.535295+00:00,2026-08-03,b69cd4efd717cb22355b34ad83ba553a,Toronto Tempo @ Golden State Valkyries,Marina Mabrey,pl_7897ca9d575458b3,threes,UNDER,FanDuel,fanduel,2.5,112,0.93,1.57,0.9428,0.4717,0.4711,0.9987,0.793,True,SHADOW_ONLY,sprint23_phase3_shadow,0.31720000000000004,0.31720000000000004,124.93199999999999,True,SHORTLIST,passed thresholds and portfolio exposure controls,0.0,2026-08-01T23:31:19.774796+00:00
14,2026-08-01T23:31:17.535295+00:00,2026-08-02,e15c637f66763f4ab0621898bd92d2bb,Los Angeles Sparks @ Portland Fire,Carla Leite,pl_ddbde04826e4f1f1,pts,UNDER,FanDuel,fanduel,15.5,-113,5.86,9.64,0.9698,0.5305,0.4393,0.828,4.096,True,SHADOW_ONLY,sprint23_phase3_shadow,0.26425806451612904,0.26425806451612904,123.15283870967741,True,SHORTLIST,passed thresholds and portfolio exposure controls,0.0,2026-08-01T23:31:19.774796+00:00
15,2026-08-01T23:31:17.535295+00:00,2026-08-02,0ec7356c2a72bd70a2ddb870e33f24a3,Indiana Fever @ Minnesota Lynx,Caitlin Clark,pl_f3cf364a08200b25,pts,UNDER,FanDuel,fanduel,20.5,-125,9.83,10.67,0.9812,0.5556,0.4256,0.7661,4.096,True,SHADOW_ONLY,sprint23_phase3_shadow,0.1998048780487805,0.1998048780487805,119.48990243902439,True,SHORTLIST,passed thresholds and portfolio exposure controls,0.0,2026-08-01T23:31:19.774796+00:00
16,2026-08-01T23:31:17.535295+00:00,2026-08-02,e15c637f66763f4ab0621898bd92d2bb,Los Angeles Sparks @ Portland Fire,Rae Burrell,pl_35ea3169d7add37e,pts,UNDER,DraftKings,draftkings,14.5,-114,5.37,9.13,0.9624,0.5327,0.4297,0.8066,4.096,True,SHADOW_ONLY,sprint23_phase3_shadow,0.28248275862068967,0.28248275862068967,119.05234482758621,True,SHORTLIST,passed thresholds and portfolio exposure controls,0.0,2026-08-01T23:31:19.774796+00:00
17,2026-08-01T23:31:17.535295+00:00,2026-08-02,e15c637f66763f4ab0621898bd92d2bb,Los Angeles Sparks @ Portland Fire,Erica Wheeler,pl_2adbcf065447c416,ast,UNDER,DraftKings,draftkings,6.5,-117,2.01,4.49,0.9985,0.5392,0.4593,0.8518,1.21,True,SHADOW_ONLY,sprint23_phase3_shadow,0.18615384615384614,0.18615384615384614,117.99492307692309,True,SHORTLIST,passed thresholds and portfolio exposure controls,0.0,2026-08-01T23:31:19.774796+00:00
18,2026-08-01T23:31:17.535295+00:00,2026-08-02,e15c637f66763f4ab0621898bd92d2bb,Los Angeles Sparks @ Portland Fire,Bridget Carleton,pl_84991a3be5585263,pts,UNDER,DraftKings,draftkings,13.5,-107,5.48,8.02,0.941,0.5169,0.4241,0.8204,4.096,True,SHADOW_ONLY,sprint23_phase3_shadow,0.3034074074074074,0.3034074074074074,117.45785185185186,True,SHORTLIST,passed thresholds and portfolio exposure controls,0.0,2026-08-01T23:31:19.774796+00:00
19,2026-08-01T23:31:17.535295+00:00,2026-08-02,8cb92d45e2c4570ff14320738ec395f2,Connecticut Sun @ Dallas Wings,Olivia Nelson-Ododa,pl_8a4596f4b3d6fcec,reb,UNDER,DraftKings,draftkings,7.5,-124,2.43,5.07,0.9928,0.5536,0.4393,0.7935,1.651,True,SHADOW_ONLY,sprint23_phase3_shadow,0.22013333333333335,0.22013333333333335,111.44533333333334,True,SHORTLIST,passed thresholds and portfolio exposure controls,0.0,2026-08-01T23:31:19.774796+00:00
20,2026-08-01T23:31:17.535295+00:00,2026-08-02,8cb92d45e2c4570ff14320738ec395f2,Connecticut Sun @ Dallas Wings,Paige Bueckers,pl_ad864595548de955,ast,UNDER,FanDuel,fanduel,5.5,100,3.33,2.17,0.924,0.5,0.424,0.8479,1.21,True,SHADOW_ONLY,sprint23_phase3_shadow,0.22,0.22,110.16999999999999,True,SHORTLIST,passed thresholds and portfolio exposure controls,0.0,2026-08-01T23:31:19.774796+00:00
