game_date,event_id,game,game_time,home_team,away_team,player,team,stat,side,threshold,odds,sportsbook,sportsbook_key,market_key,source,scraped_at
2026-07-16,00a997433337939ebda3beb882a1e2db,Portland Fire @ Washington Mystics,2026-07-16T23:10:00Z,Washington Mystics,Portland Fire,Carla Leite,,AST,OVER,2.5,-1600,DraftKings,draftkings,player_assists_alternate,the-odds-api,2026-07-16T13:06:13.643275+00:00
2026-07-16,00a997433337939ebda3beb882a1e2db,Portland Fire @ Washington Mystics,2026-07-16T23:10:00Z,Washington Mystics,Portland Fire,Carla Leite,,AST,OVER,3.5,-534,DraftKings,draftkings,player_assists_alternate,the-odds-api,2026-07-16T13:06:13.643275+00:00
2026-07-16,00a997433337939ebda3beb882a1e2db,Portland Fire @ Washington Mystics,2026-07-16T23:10:00Z,Washington Mystics,Portland Fire,Carla Leite,,AST,OVER,4.5,-232,DraftKings,draftkings,player_assists_alternate,the-odds-api,2026-07-16T13:06:13.643275+00:00
2026-07-16,00a997433337939ebda3beb882a1e2db,Portland Fire @ Washington Mystics,2026-07-16T23:10:00Z,Washington Mystics,Portland Fire,Carla Leite,,AST,OVER,5.5,-110,DraftKings,draftkings,player_assists_alternate,the-odds-api,2026-07-16T13:06:13.643275+00:00
2026-07-16,00a997433337939ebda3beb882a1e2db,Portland Fire @ Washington Mystics,2026-07-16T23:10:00Z,Washington Mystics,Portland Fire,Carla Leite,,AST,OVER,6.5,174,DraftKings,draftkings,player_assists_alternate,the-odds-api,2026-07-16T13:06:13.643275+00:00
2026-07-16,00a997433337939ebda3beb882a1e2db,Portland Fire @ Washington Mystics,2026-07-16T23:10:00Z,Washington Mystics,Portland Fire,Carla Leite,,AST,OVER,7.5,323,DraftKings,draftkings,player_assists_alternate,the-odds-api,2026-07-16T13:06:13.643275+00:00
2026-07-16,00a997433337939ebda3beb882a1e2db,Portland Fire @ Washington Mystics,2026-07-16T23:10:00Z,Washington Mystics,Portland Fire,Carla Leite,,AST,OVER,8.5,596,DraftKings,draftkings,player_assists_alternate,the-odds-api,2026-07-16T13:06:13.643275+00:00
2026-07-16,00a997433337939ebda3beb882a1e2db,Portland Fire @ Washington Mystics,2026-07-16T23:10:00Z,Washington Mystics,Portland Fire,Carla Leite,,AST,OVER,9.5,1040,DraftKings,draftkings,player_assists_alternate,the-odds-api,2026-07-16T13:06:13.643275+00:00
2026-07-16,00a997433337939ebda3beb882a1e2db,Portland Fire @ Washington Mystics,2026-07-16T23:10:00Z,Washington Mystics,Portland Fire,Georgia Amoore,,AST,OVER,2.5,-275,DraftKings,draftkings,player_assists_alternate,the-odds-api,2026-07-16T13:06:13.643275+00:00
2026-07-16,00a997433337939ebda3beb882a1e2db,Portland Fire @ Washington Mystics,2026-07-16T23:10:00Z,Washington Mystics,Portland Fire,Georgia Amoore,,AST,OVER,3.5,-110,DraftKings,draftkings,player_assists_alternate,the-odds-api,2026-07-16T13:06:13.643275+00:00
2026-07-16,00a997433337939ebda3beb882a1e2db,Portland Fire @ Washington Mystics,2026-07-16T23:10:00Z,Washington Mystics,Portland Fire,Georgia Amoore,,AST,OVER,4.5,205,DraftKings,draftkings,player_assists_alternate,the-odds-api,2026-07-16T13:06:13.643275+00:00
