game_date,player,team,opponent,opponent_abbr,pts,reb,ast,threes,stl,blk,tov
2024-05-14,A'ja Wilson,Aces,,,30,13,5,,1,3,1
2024-05-14,Aaliyah Edwards,Mystics,,,6,2,0,,0,1,0
2024-05-14,Alanna Smith,Lynx,,,22,8,2,,1,4,4
2024-05-14,Alissa Pili,Lynx,,,0,1,0,,0,0,0
2024-05-14,Aliyah Boston,Fever,,,4,6,2,,1,2,4
2024-05-14,Alysha Clark,Aces,,,8,7,0,,2,0,2
2024-05-14,Alyssa Thomas,Sun,,,13,10,13,,3,0,7
2024-05-14,Ariel Atkins,Mystics,,,20,2,3,,3,1,1
2024-05-14,Astou Ndour-Fall,Sun,,,0,0,0,,0,0,1
2024-05-14,Betnijah Laney-Hamilton,Liberty,,,20,4,2,,2,0,3
2024-05-14,Breanna Stewart,Liberty,,,8,8,2,,1,0,3
2024-05-14,Bridget Carleton,Lynx,,,5,2,3,,3,1,0
2024-05-14,Brionna Jones,Sun,,,8,3,1,,3,1,1
2024-05-14,Brittney Sykes,Mystics,,,14,10,7,,2,0,2
2024-05-14,Caitlin Clark,Fever,,,20,0,3,,2,0,10
2024-05-14,Cecilia Zandalasini,Lynx,,,2,1,1,,0,1,3
2024-05-14,Courtney Vandersloot,Liberty,,,6,2,5,,1,0,2
2024-05-14,Courtney Williams,Lynx,,,14,5,7,,5,0,3
2024-05-14,DeWanna Bonner,Sun,,,20,6,1,,1,0,2
2024-05-14,Diamond Miller,Lynx,,,2,3,0,,0,0,0
2024-05-14,Diana Taurasi,Mercury,,,23,3,0,,0,0,2
2024-05-14,DiDi Richards,Mystics,,,0,0,0,,0,0,0
2024-05-14,DiJonai Carrington,Sun,,,16,5,1,,2,0,3
2024-05-14,Dulcy Fankam Mendjiadeu,Storm,,,0,0,0,,0,0,0
2024-05-14,Erica Wheeler,Fever,,,8,1,2,,1,0,2
2024-05-14,Ezi Magbegor,Storm,,,15,9,2,,0,3,3
2024-05-14,Grace Berger,Fever,,,4,2,2,,1,0,2
2024-05-14,Ivana Dojkic,Liberty,,,1,2,1,,1,0,1
