game_date,team,player,player_id,position,status,severity,injury_type,detail,return_date,is_out,source,scraped_at
2026-09-18,Indiana Fever,Caitlin Clark,,,Probable,PROBABLE,Injury/Illness - Back; Back,Injury/Illness - Back; Back; matchup=(ET) IND@TOR; game_time=07:30,,False,official_wnba_pdf,2026-09-18T21:50:55.912718+00:00
2026-09-18,Toronto Tempo,Maria Conde,,,Out,OUT,Injury/Illness - N/a; Illness,Injury/Illness - N/a; Illness; matchup=(ET) IND@TOR; game_time=07:30,,True,official_wnba_pdf,2026-09-18T21:50:55.912718+00:00
2026-09-18,Toronto Tempo,Marina Mabrey,,,Out,OUT,Injury/Illness - Right Adductor; Injury,Injury/Illness - Right Adductor; Injury; matchup=(ET) IND@TOR; game_time=07:30,,True,official_wnba_pdf,2026-09-18T21:50:55.912718+00:00
2026-09-18,Toronto Tempo,Aneesah Morrow,,,Out,OUT,Injury/Illness - Left Knee; Injury,Injury/Illness - Left Knee; Injury; matchup=(ET) IND@TOR; game_time=07:30,,True,official_wnba_pdf,2026-09-18T21:50:55.912718+00:00
2026-09-18,Toronto Tempo,Brittney Sykes,,,Out,OUT,Injury/Illness - Left Foot; Injury,Injury/Illness - Left Foot; Injury; matchup=(ET) IND@TOR; game_time=07:30,,True,official_wnba_pdf,2026-09-18T21:50:55.912718+00:00
2026-09-18,Minnesota Lynx,Anastasiia Olairi Kosu,,,Out,OUT,Injury/Illness - Right Foot; Right Foot,Injury/Illness - Right Foot; Right Foot; matchup=NYL@MIN; game_time=07:30,,True,official_wnba_pdf,2026-09-18T21:50:55.912718+00:00
2026-09-18,Portland Fire,Bridget Carleton,,,Out,OUT,Injury/Illness - Left Ankle; Injury,Injury/Illness - Left Ankle; Injury; matchup=(ET) PDX@GSV; game_time=10:00,,True,official_wnba_pdf,2026-09-18T21:50:55.912718+00:00
2026-09-18,Portland Fire,Sania Feagin,,,Out,OUT,Injury/Illness - Left Knee; Injury,Injury/Illness - Left Knee; Injury; matchup=(ET) PDX@GSV; game_time=10:00,,True,official_wnba_pdf,2026-09-18T21:50:55.912718+00:00
2026-09-18,Portland Fire,Teja Oblak,,,Out,OUT,Injury/Illness - Left Knee; Injury,Injury/Illness - Left Knee; Injury; matchup=(ET) PDX@GSV; game_time=10:00,,True,official_wnba_pdf,2026-09-18T21:50:55.912718+00:00
2026-09-18,Golden State Valkyries,Janelle Salaun,,,Out,OUT,Injury/Illness - Na; Reconditioning,Injury/Illness - Na; Reconditioning; matchup=(ET) PDX@GSV; game_time=10:00,,True,official_wnba_pdf,2026-09-18T21:50:55.912718+00:00
2026-09-18,Golden State Valkyries,Gabby Williams,,,Out,OUT,Injury/Illness - Na; Reconditioning,Injury/Illness - Na; Reconditioning; matchup=(ET) PDX@GSV; game_time=10:00,,True,official_wnba_pdf,2026-09-18T21:50:55.912718+00:00
2026-09-18,Golden State Valkyries,Cecilia Zandalasini,,,Questionable,QUESTIONABLE,Injury/Illness - Na; Reconditioning,Injury/Illness - Na; Reconditioning; matchup=(ET) PDX@GSV; game_time=10:00,,False,official_wnba_pdf,2026-09-18T21:50:55.912718+00:00
2026-09-18,Chicago Sky,DiJonai Carrington,,,Out,OUT,Injury/Illness - Left Foot; Left Foot,Injury/Illness - Left Foot; Left Foot; matchup=(ET) CHI@ATL; game_time=07:00,,True,official_wnba_pdf,2026-09-18T21:50:55.912718+00:00
2026-09-18,Chicago Sky,Natasha Cloud,,,Questionable,QUESTIONABLE,Injury/Illness - Left Knee; Left Knee,Injury/Illness - Left Knee; Left Knee; matchup=(ET) CHI@ATL; game_time=07:00,,False,official_wnba_pdf,2026-09-18T21:50:55.912718+00:00
2026-09-18,Chicago Sky,Skylar Diggins,,,Out,OUT,Injury/Illness - Right Knee; Right Knee,Injury/Illness - Right Knee; Right Knee; matchup=(ET) CHI@ATL; game_time=07:00,,True,official_wnba_pdf,2026-09-18T21:50:55.912718+00:00
2026-09-18,Chicago Sky,Azura Stevens,,,Out,OUT,Injury/Illness - Right Knee; Right Knee,Injury/Illness - Right Knee; Right Knee; matchup=(ET) CHI@ATL; game_time=07:00,,True,official_wnba_pdf,2026-09-18T21:50:55.912718+00:00
2026-09-18,Atlanta Dream,Brionna Jones,,,Out,OUT,Injury/Illness - Left Leg; N/A,Injury/Illness - Left Leg; N/A; matchup=(ET) CHI@ATL; game_time=07:00,,True,official_wnba_pdf,2026-09-18T21:50:55.912718+00:00
