game_date,team,player,player_id,position,status,severity,injury_type,detail,return_date,is_out,source,scraped_at
2026-09-20,Minnesota Lynx,Anastasiia Olairi Kosu,,,Out,OUT,Injury/Illness - Right Foot; R. Foot,Injury/Illness - Right Foot; R. Foot; matchup=(ET) MIN@CON; game_time=01:00,,True,official_wnba_pdf,2026-09-20T14:18:37.241727+00:00
2026-09-20,Connecticut Sun,Kennedy Burke,,,Out,OUT,Injury/Illness - Right Shoulder; -,Injury/Illness - Right Shoulder; -; matchup=(ET) MIN@CON; game_time=01:00,,True,official_wnba_pdf,2026-09-20T14:18:37.241727+00:00
2026-09-20,Connecticut Sun,Brittney Griner,,,Questionable,QUESTIONABLE,Injury/Illness - Left Knee; -,Injury/Illness - Left Knee; -; matchup=(ET) MIN@CON; game_time=01:00,,False,official_wnba_pdf,2026-09-20T14:18:37.241727+00:00
2026-09-20,Connecticut Sun,Olivia Nelson-Ododa,,,Out,OUT,Injury/Illness - Right Knee; -,Injury/Illness - Right Knee; -; matchup=(ET) MIN@CON; game_time=01:00,,True,official_wnba_pdf,2026-09-20T14:18:37.241727+00:00
2026-09-20,Toronto Tempo,Maria Conde,,,Probable,PROBABLE,Injury/Illness - N/a; Illness,Injury/Illness - N/a; Illness; matchup=(ET) NYL@TOR; game_time=03:00,,False,official_wnba_pdf,2026-09-20T14:18:37.241727+00:00
2026-09-20,Toronto Tempo,Marina Mabrey,,,Out,OUT,Injury/Illness - Right Adductor; Injury,Injury/Illness - Right Adductor; Injury; matchup=(ET) NYL@TOR; game_time=03:00,,True,official_wnba_pdf,2026-09-20T14:18:37.241727+00:00
2026-09-20,Toronto Tempo,Aneesah Morrow,,,Out,OUT,Injury/Illness - Left Knee; Injury,Injury/Illness - Left Knee; Injury; matchup=(ET) NYL@TOR; game_time=03:00,,True,official_wnba_pdf,2026-09-20T14:18:37.241727+00:00
2026-09-20,Toronto Tempo,Brittney Sykes,,,Out,OUT,Injury/Illness - Left Foot; Injury,Injury/Illness - Left Foot; Injury; matchup=(ET) NYL@TOR; game_time=03:00,,True,official_wnba_pdf,2026-09-20T14:18:37.241727+00:00
2026-09-20,Indiana Fever,Caitlin Clark,,,Probable,PROBABLE,Injury/Illness - Back; Back,Injury/Illness - Back; Back; matchup=(ET) WAS@IND; game_time=04:00,,False,official_wnba_pdf,2026-09-20T14:18:37.241727+00:00
2026-09-20,Portland Fire,Bridget Carleton,,,Questionable,QUESTIONABLE,Injury/Illness - Left Ankle; Injury,Injury/Illness - Left Ankle; Injury; matchup=(ET) PDX@LAS; game_time=07:00,,False,official_wnba_pdf,2026-09-20T14:18:37.241727+00:00
2026-09-20,Portland Fire,Sania Feagin,,,Out,OUT,Injury/Illness - Left Knee; Injury,Injury/Illness - Left Knee; Injury; matchup=(ET) PDX@LAS; game_time=07:00,,True,official_wnba_pdf,2026-09-20T14:18:37.241727+00:00
2026-09-20,Portland Fire,Jordan Harrison,,,Questionable,QUESTIONABLE,Injury/Illness - Right Ankle; Injury,Injury/Illness - Right Ankle; Injury; matchup=(ET) PDX@LAS; game_time=07:00,,False,official_wnba_pdf,2026-09-20T14:18:37.241727+00:00
2026-09-20,Portland Fire,Teja Oblak,,,Out,OUT,Injury/Illness - Left Knee; Injury,Injury/Illness - Left Knee; Injury; matchup=(ET) PDX@LAS; game_time=07:00,,True,official_wnba_pdf,2026-09-20T14:18:37.241727+00:00
2026-09-20,Los Angeles Sparks,Cameron Brink,,,Doubtful,DOUBTFUL,Injury/Illness - Right Ankle; R Ankle,Injury/Illness - Right Ankle; R Ankle; matchup=(ET) PDX@LAS; game_time=07:00,,True,official_wnba_pdf,2026-09-20T14:18:37.241727+00:00
2026-09-20,Los Angeles Sparks,Dearica Hamby,,,Doubtful,DOUBTFUL,Injury/Illness - Left knee; L Knee,Injury/Illness - Left knee; L Knee; matchup=(ET) PDX@LAS; game_time=07:00,,True,official_wnba_pdf,2026-09-20T14:18:37.241727+00:00
2026-09-20,Los Angeles Sparks,Aaliyah Nye,,,Doubtful,DOUBTFUL,Injury/Illness - Left Ankle; L Ankle,Injury/Illness - Left Ankle; L Ankle; matchup=(ET) PDX@LAS; game_time=07:00,,True,official_wnba_pdf,2026-09-20T14:18:37.241727+00:00
