game_date,team,player,player_id,position,status,severity,injury_type,detail,return_date,is_out,source,scraped_at
2026-09-22,Connecticut Sun,Kennedy Burke,,,Out,OUT,Injury/Illness - Right Shoulder; -,Injury/Illness - Right Shoulder; -; matchup=(ET) CON@WAS; game_time=07:30,,True,official_wnba_pdf,2026-09-22T15:03:22.084763+00:00
2026-09-22,Connecticut Sun,Brittney Griner,,,Out,OUT,Injury/Illness - Left Knee; -,Injury/Illness - Left Knee; -; matchup=(ET) CON@WAS; game_time=07:30,,True,official_wnba_pdf,2026-09-22T15:03:22.084763+00:00
2026-09-22,Connecticut Sun,Olivia Nelson-Ododa,,,Out,OUT,Injury/Illness - Right Knee; -,Injury/Illness - Right Knee; -; matchup=(ET) CON@WAS; game_time=07:30,,True,official_wnba_pdf,2026-09-22T15:03:22.084763+00:00
2026-09-22,Connecticut Sun,Saniya Rivers,,,Out,OUT,Injury/Illness - Left Ankle; -,Injury/Illness - Left Ankle; -; matchup=(ET) CON@WAS; game_time=07:30,,True,official_wnba_pdf,2026-09-22T15:03:22.084763+00:00
2026-09-22,Minnesota Lynx,Anastasiia Olairi Kosu,,,Out,OUT,Injury/Illness - Right Foot; Right foot,Injury/Illness - Right Foot; Right foot; matchup=(ET) MIN@IND; game_time=08:00,,True,official_wnba_pdf,2026-09-22T15:03:22.084763+00:00
2026-09-22,Minnesota Lynx,Olivia Miles,,,Questionable,QUESTIONABLE,Injury/Illness - Left Calf; Left calf,Injury/Illness - Left Calf; Left calf; matchup=(ET) MIN@IND; game_time=08:00,,False,official_wnba_pdf,2026-09-22T15:03:22.084763+00:00
2026-09-22,Indiana Fever,Caitlin Clark,,,Probable,PROBABLE,Injury/Illness - Back; Back,Injury/Illness - Back; Back; matchup=(ET) MIN@IND; game_time=08:00,,False,official_wnba_pdf,2026-09-22T15:03:22.084763+00:00
2026-09-22,Toronto Tempo,Temi Fagbenle,,,Questionable,QUESTIONABLE,Personal Reasons,Personal Reasons; matchup=TOR@CHI; game_time=08:00,,False,official_wnba_pdf,2026-09-22T15:03:22.084763+00:00
2026-09-22,Toronto Tempo,Marina Mabrey,,,Out,OUT,Injury/Illness - Right Adductor; Injury,Injury/Illness - Right Adductor; Injury; matchup=TOR@CHI; game_time=08:00,,True,official_wnba_pdf,2026-09-22T15:03:22.084763+00:00
2026-09-22,Toronto Tempo,Aneesah Morrow,,,Out,OUT,Injury/Illness - Left Knee; Injury,Injury/Illness - Left Knee; Injury; matchup=TOR@CHI; game_time=08:00,,True,official_wnba_pdf,2026-09-22T15:03:22.084763+00:00
