game_date,team,player,player_id,position,status,severity,injury_type,detail,return_date,is_out,source,scraped_at
2026-07-05,Las Vegas Aces,A'ja Wilson,,C,OUT,OUT,,Temporary manual override after injury flag; remove or update when active again.,2026-07-07,True,manual,2026-07-05T22:09:18.177266+00:00
2026-07-06,Las Vegas Aces,A'ja Wilson,,C,OUT,OUT,,Temporary manual override after injury flag; remove or update when active again.,2026-07-07,True,manual,2026-07-07T01:10:36.561314+00:00
2026-07-07,Las Vegas Aces,A'ja Wilson,,C,OUT,OUT,,Temporary manual override after injury flag; remove or update when active again.,2026-07-07,True,manual,2026-07-07T15:38:41.331884+00:00
2026-07-28,Connecticut Sun,Aaliyah Edwards,,,Probable,PROBABLE,Injury/Illness - Right Knee; -,Injury/Illness - Right Knee; -; matchup=(ET) CON@WAS; game_time=07:30,,False,official_wnba_pdf,2026-07-29T03:34:14.662821+00:00
2026-07-28,Connecticut Sun,Brittney Griner,,,Out,OUT,Injury/Illness - Left Knee; -,Injury/Illness - Left Knee; -; matchup=(ET) CON@WAS; game_time=07:30,,True,official_wnba_pdf,2026-07-29T03:34:14.662821+00:00
2026-07-28,Connecticut Sun,Saniya Rivers,,,Probable,PROBABLE,Injury/Illness - Left Ankle; -,Injury/Illness - Left Ankle; -; matchup=(ET) CON@WAS; game_time=07:30,,False,official_wnba_pdf,2026-07-29T03:34:14.662821+00:00
2026-07-28,Toronto Tempo,Isabelle Harrison,,,Questionable,QUESTIONABLE,Injury/Illness - Left Knee; Soreness,Injury/Illness - Left Knee; Soreness; matchup=(ET) TOR@MIN; game_time=08:00,,False,official_wnba_pdf,2026-07-29T03:34:14.662821+00:00
2026-07-28,Toronto Tempo,Kiki Rice,,,Questionable,QUESTIONABLE,Injury/Illness - Left Ankle; Injury,Injury/Illness - Left Ankle; Injury; matchup=(ET) TOR@MIN; game_time=08:00,,False,official_wnba_pdf,2026-07-29T03:34:14.662821+00:00
2026-07-28,Toronto Tempo,Nyara Sabally,,,Questionable,QUESTIONABLE,Injury/Illness - Rib Cage; Injury,Injury/Illness - Rib Cage; Injury; matchup=(ET) TOR@MIN; game_time=08:00,,False,official_wnba_pdf,2026-07-29T03:34:14.662821+00:00
2026-07-28,Toronto Tempo,Brittney Sykes,,,Out,OUT,Injury/Illness - Left Foot; Injury,Injury/Illness - Left Foot; Injury; matchup=(ET) TOR@MIN; game_time=08:00,,True,official_wnba_pdf,2026-07-29T03:34:14.662821+00:00
