game_date,team,player,player_id,position,status,severity,injury_type,detail,return_date,is_out,source,scraped_at
2026-09-19,Phoenix Mercury,Kahleah Copper,,,Out,OUT,Injury/Illness - Right Groin; -,Injury/Illness - Right Groin; -; matchup=(ET) PHX@DAL; game_time=01:00,,True,official_wnba_pdf,2026-09-19T18:41:20.137499+00:00
2026-09-19,Phoenix Mercury,Kelsey Plum,,,Out,OUT,Injury/Illness - Left Lower Leg; -,Injury/Illness - Left Lower Leg; -; matchup=(ET) PHX@DAL; game_time=01:00,,True,official_wnba_pdf,2026-09-19T18:41:20.137499+00:00
2026-09-19,Dallas Wings,Alanna Smith,,,Out,OUT,Injury/Illness - Left Leg; left lower leg,Injury/Illness - Left Leg; left lower leg; matchup=(ET) PHX@DAL; game_time=01:00,,True,official_wnba_pdf,2026-09-19T18:41:20.137499+00:00
2026-09-19,Chicago Sky,DiJonai Carrington,,,Out,OUT,Injury/Illness - Left Foot; Left Foot,Injury/Illness - Left Foot; Left Foot; matchup=(ET) CHI@ATL; game_time=07:00,,True,official_wnba_pdf,2026-09-19T18:41:20.137499+00:00
2026-09-19,Chicago Sky,Natasha Cloud,,,Questionable,QUESTIONABLE,Injury/Illness - Left Knee; Left Knee,Injury/Illness - Left Knee; Left Knee; matchup=(ET) CHI@ATL; game_time=07:00,,False,official_wnba_pdf,2026-09-19T18:41:20.137499+00:00
2026-09-19,Chicago Sky,Skylar Diggins,,,Out,OUT,Injury/Illness - Right Knee; Right Knee,Injury/Illness - Right Knee; Right Knee; matchup=(ET) CHI@ATL; game_time=07:00,,True,official_wnba_pdf,2026-09-19T18:41:20.137499+00:00
2026-09-19,Chicago Sky,Azura Stevens,,,Out,OUT,Injury/Illness - Right Knee; Right Knee,Injury/Illness - Right Knee; Right Knee; matchup=(ET) CHI@ATL; game_time=07:00,,True,official_wnba_pdf,2026-09-19T18:41:20.137499+00:00
2026-09-19,Atlanta Dream,Brionna Jones,,,Out,OUT,Injury/Illness - Left Leg; N/A,Injury/Illness - Left Leg; N/A; matchup=(ET) CHI@ATL; game_time=07:00,,True,official_wnba_pdf,2026-09-19T18:41:20.137499+00:00
2026-09-19,Seattle Storm,Zia Cooke,,,Out,OUT,Injury/Illness - Right Knee; Injury,Injury/Illness - Right Knee; Injury; matchup=(ET) SEA@GSV; game_time=09:00,,True,official_wnba_pdf,2026-09-19T18:41:20.137499+00:00
2026-09-19,Seattle Storm,Jordan Horston,,,Out,OUT,Injury/Illness - Right Shoulder; Injury,Injury/Illness - Right Shoulder; Injury; matchup=(ET) SEA@GSV; game_time=09:00,,True,official_wnba_pdf,2026-09-19T18:41:20.137499+00:00
2026-09-19,Seattle Storm,Ezi Magbegor,,,Out,OUT,Injury/Illness - Right Knee; Injury,Injury/Illness - Right Knee; Injury; matchup=(ET) SEA@GSV; game_time=09:00,,True,official_wnba_pdf,2026-09-19T18:41:20.137499+00:00
2026-09-19,Seattle Storm,Katie Lou Samuelson,,,Out,OUT,Injury/Illness - Left Knee; Injury,Injury/Illness - Left Knee; Injury; matchup=(ET) SEA@GSV; game_time=09:00,,True,official_wnba_pdf,2026-09-19T18:41:20.137499+00:00
