game_date,event_id,game,commence_time,market_type,market_key,side,team,player,stat,book_key,book_title,line,odds,is_preferred_book,source,scraped_at
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,MONEYLINE,h2h,Chicago Sky,Chicago Sky,,,fanduel,FanDuel,,205,True,the-odds-api,2026-08-01T14:42:15.553148+00:00
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,MONEYLINE,h2h,Las Vegas Aces,Las Vegas Aces,,,fanduel,FanDuel,,-260,True,the-odds-api,2026-08-01T14:42:15.553148+00:00
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,SPREAD,spreads,Chicago Sky,Chicago Sky,,,fanduel,FanDuel,6.5,-118,True,the-odds-api,2026-08-01T14:42:15.553148+00:00
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,SPREAD,spreads,Las Vegas Aces,Las Vegas Aces,,,fanduel,FanDuel,-6.5,-104,True,the-odds-api,2026-08-01T14:42:15.553148+00:00
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,TOTAL,totals,OVER,,,,fanduel,FanDuel,183.5,-114,True,the-odds-api,2026-08-01T14:42:15.553148+00:00
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,TOTAL,totals,UNDER,,,,fanduel,FanDuel,183.5,-106,True,the-odds-api,2026-08-01T14:42:15.553148+00:00
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,MONEYLINE,h2h,Chicago Sky,Chicago Sky,,,fanatics,Fanatics,,210,True,the-odds-api,2026-08-01T14:42:15.553148+00:00
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,MONEYLINE,h2h,Las Vegas Aces,Las Vegas Aces,,,fanatics,Fanatics,,-260,True,the-odds-api,2026-08-01T14:42:15.553148+00:00
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,SPREAD,spreads,Chicago Sky,Chicago Sky,,,fanatics,Fanatics,6.0,-105,True,the-odds-api,2026-08-01T14:42:15.553148+00:00
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,SPREAD,spreads,Las Vegas Aces,Las Vegas Aces,,,fanatics,Fanatics,-6.0,-115,True,the-odds-api,2026-08-01T14:42:15.553148+00:00
