game_date,event_id,game,commence_time,market_type,market_key,side,team,player,stat,book_key,book_title,line,odds,is_preferred_book,source,scraped_at,available_books,all_books
2026-07-10,14c1ed8012d1c1a70778c1d1aa348e83,Chicago Sky @ Los Angeles Sparks,2026-07-11T02:10:00Z,MONEYLINE,h2h,Chicago Sky,Chicago Sky,,,betrivers,BetRivers,,102,False,the-odds-api,2026-07-10T11:44:32.632171+00:00,7,"betmgm,betrivers,draftkings,fanatics,fanduel,mybookieag,williamhill_us"
2026-07-10,14c1ed8012d1c1a70778c1d1aa348e83,Chicago Sky @ Los Angeles Sparks,2026-07-11T02:10:00Z,MONEYLINE,h2h,Los Angeles Sparks,Los Angeles Sparks,,,fanatics,Fanatics,,-115,True,the-odds-api,2026-07-10T11:44:32.632171+00:00,7,"betmgm,betrivers,draftkings,fanatics,fanduel,mybookieag,williamhill_us"
2026-07-10,7295f7e8db8d22124fdf261cda31a1f6,Dallas Wings @ Toronto Tempo,2026-07-10T23:40:00Z,MONEYLINE,h2h,Dallas Wings,Dallas Wings,,,fanduel,FanDuel,,-265,True,the-odds-api,2026-07-10T11:44:32.632171+00:00,11,"betmgm,betonlineag,betrivers,betus,bovada,draftkings,fanatics,fanduel,lowvig,mybookieag,williamhill_us"
2026-07-10,7295f7e8db8d22124fdf261cda31a1f6,Dallas Wings @ Toronto Tempo,2026-07-10T23:40:00Z,MONEYLINE,h2h,Toronto Tempo,Toronto Tempo,,,draftkings,DraftKings,,230,True,the-odds-api,2026-07-10T11:44:32.632171+00:00,11,"betmgm,betonlineag,betrivers,betus,bovada,draftkings,fanatics,fanduel,lowvig,mybookieag,williamhill_us"
2026-07-10,1547b39904db439304af0dfdacaa469d,Golden State Valkyries @ Connecticut Sun,2026-07-10T23:40:00Z,MONEYLINE,h2h,Connecticut Sun,Connecticut Sun,,,betrivers,BetRivers,,265,False,the-odds-api,2026-07-10T11:44:32.632171+00:00,11,"betmgm,betonlineag,betrivers,betus,bovada,draftkings,fanatics,fanduel,lowvig,mybookieag,williamhill_us"
2026-07-10,1547b39904db439304af0dfdacaa469d,Golden State Valkyries @ Connecticut Sun,2026-07-10T23:40:00Z,MONEYLINE,h2h,Golden State Valkyries,Golden State Valkyries,,,betus,BetUS,,-305,False,the-odds-api,2026-07-10T11:44:32.632171+00:00,11,"betmgm,betonlineag,betrivers,betus,bovada,draftkings,fanatics,fanduel,lowvig,mybookieag,williamhill_us"
2026-07-10,93c27f5318a98fdd2a9bfbc42269f134,New York Liberty @ Minnesota Lynx,2026-07-11T17:00:00Z,MONEYLINE,h2h,Minnesota Lynx,Minnesota Lynx,,,fanduel,FanDuel,,-152,True,the-odds-api,2026-07-10T11:44:32.632171+00:00,5,"betrivers,draftkings,fanatics,fanduel,williamhill_us"
2026-07-10,93c27f5318a98fdd2a9bfbc42269f134,New York Liberty @ Minnesota Lynx,2026-07-11T17:00:00Z,MONEYLINE,h2h,New York Liberty,New York Liberty,,,betrivers,BetRivers,,138,False,the-odds-api,2026-07-10T11:44:32.632171+00:00,5,"betrivers,draftkings,fanatics,fanduel,williamhill_us"
2026-07-10,dbbae9c1944a4874fe492f9fe23d8f62,Phoenix Mercury @ Las Vegas Aces,2026-07-11T22:00:00Z,MONEYLINE,h2h,Las Vegas Aces,Las Vegas Aces,,,draftkings,DraftKings,,-440,True,the-odds-api,2026-07-10T11:44:32.632171+00:00,6,"betrivers,draftkings,fanatics,fanduel,mybookieag,williamhill_us"
2026-07-10,dbbae9c1944a4874fe492f9fe23d8f62,Phoenix Mercury @ Las Vegas Aces,2026-07-11T22:00:00Z,MONEYLINE,h2h,Phoenix Mercury,Phoenix Mercury,,,fanduel,FanDuel,,410,True,the-odds-api,2026-07-10T11:44:32.632171+00:00,6,"betrivers,draftkings,fanatics,fanduel,mybookieag,williamhill_us"
