game_date,event_id,game,commence_time,market_type,market_key,side,team,player,stat,book_key,book_title,line,odds,is_preferred_book,source,scraped_at,available_books,all_books
2026-07-31,602eaac6e4e24cebabf1cd350f82f07c,Dallas Wings @ Washington Mystics,2026-07-31T23:30:00Z,MONEYLINE,h2h,Dallas Wings,Dallas Wings,,,fanduel,FanDuel,,-154,True,the-odds-api,2026-07-31T16:54:11.022671+00:00,2,"draftkings,fanduel"
2026-07-31,602eaac6e4e24cebabf1cd350f82f07c,Dallas Wings @ Washington Mystics,2026-07-31T23:30:00Z,MONEYLINE,h2h,Washington Mystics,Washington Mystics,,,draftkings,DraftKings,,130,True,the-odds-api,2026-07-31T16:54:11.022671+00:00,2,"draftkings,fanduel"
2026-08-01,79a00262dc799b713bbcb4473a7be183,Indiana Fever @ Portland Fire,2026-08-01T02:00:00Z,MONEYLINE,h2h,Indiana Fever,Indiana Fever,,,draftkings,DraftKings,,-325,True,the-odds-api,2026-07-31T16:54:11.022671+00:00,2,"draftkings,fanduel"
2026-08-01,79a00262dc799b713bbcb4473a7be183,Indiana Fever @ Portland Fire,2026-08-01T02:00:00Z,MONEYLINE,h2h,Portland Fire,Portland Fire,,,fanduel,FanDuel,,260,True,the-odds-api,2026-07-31T16:54:11.022671+00:00,2,"draftkings,fanduel"
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,MONEYLINE,h2h,Chicago Sky,Chicago Sky,,,fanduel,FanDuel,,225,True,the-odds-api,2026-07-31T16:54:11.022671+00:00,2,"draftkings,fanduel"
2026-08-01,d113b66ed1649d47506a6434e06bd1b6,Las Vegas Aces @ Chicago Sky,2026-08-01T17:00:00Z,MONEYLINE,h2h,Las Vegas Aces,Las Vegas Aces,,,draftkings,DraftKings,,-258,True,the-odds-api,2026-07-31T16:54:11.022671+00:00,2,"draftkings,fanduel"
2026-08-01,e9d3ed7c6df9b35e3b167038806ecd53,New York Liberty @ Phoenix Mercury,2026-08-01T19:00:00Z,MONEYLINE,h2h,New York Liberty,New York Liberty,,,draftkings,DraftKings,,-130,True,the-odds-api,2026-07-31T16:54:11.022671+00:00,2,"draftkings,fanduel"
2026-08-01,e9d3ed7c6df9b35e3b167038806ecd53,New York Liberty @ Phoenix Mercury,2026-08-01T19:00:00Z,MONEYLINE,h2h,Phoenix Mercury,Phoenix Mercury,,,fanduel,FanDuel,,116,True,the-odds-api,2026-07-31T16:54:11.022671+00:00,2,"draftkings,fanduel"
2026-07-31,19a1dc62b2c56fbc46c270d09d0e0221,Seattle Storm @ Atlanta Dream,2026-07-31T23:30:00Z,MONEYLINE,h2h,Atlanta Dream,Atlanta Dream,,,draftkings,DraftKings,,-700,True,the-odds-api,2026-07-31T16:54:11.022671+00:00,2,"draftkings,fanduel"
2026-07-31,19a1dc62b2c56fbc46c270d09d0e0221,Seattle Storm @ Atlanta Dream,2026-07-31T23:30:00Z,MONEYLINE,h2h,Seattle Storm,Seattle Storm,,,draftkings,DraftKings,,500,True,the-odds-api,2026-07-31T16:54:11.022671+00:00,2,"draftkings,fanduel"
2026-07-31,602eaac6e4e24cebabf1cd350f82f07c,Dallas Wings @ Washington Mystics,2026-07-31T23:30:00Z,PROP,player_threes,OVER,,Arike Ogunbowale,3PM,fanduel,FanDuel,1.5,-160,True,the-odds-api,2026-07-31T16:54:11.529326+00:00,2,"draftkings,fanduel"
2026-07-31,602eaac6e4e24cebabf1cd350f82f07c,Dallas Wings @ Washington Mystics,2026-07-31T23:30:00Z,PROP,player_threes,UNDER,,Arike Ogunbowale,3PM,fanduel,FanDuel,1.5,120,True,the-odds-api,2026-07-31T16:54:11.529326+00:00,2,"draftkings,fanduel"
2026-07-31,602eaac6e4e24cebabf1cd350f82f07c,Dallas Wings @ Washington Mystics,2026-07-31T23:30:00Z,PROP,player_assists,OVER,,Arike Ogunbowale,AST,fanduel,FanDuel,3.5,122,True,the-odds-api,2026-07-31T16:54:11.529326+00:00,2,"draftkings,fanduel"
2026-07-31,602eaac6e4e24cebabf1cd350f82f07c,Dallas Wings @ Washington Mystics,2026-07-31T23:30:00Z,PROP,player_assists,UNDER,,Arike Ogunbowale,AST,draftkings,DraftKings,3.5,-155,True,the-odds-api,2026-07-31T16:54:11.529326+00:00,2,"draftkings,fanduel"
2026-07-31,602eaac6e4e24cebabf1cd350f82f07c,Dallas Wings @ Washington Mystics,2026-07-31T23:30:00Z,PROP,player_points_rebounds_assists,OVER,,Arike Ogunbowale,PRA,fanduel,FanDuel,21.5,-102,True,the-odds-api,2026-07-31T16:54:11.529326+00:00,2,"draftkings,fanduel"
2026-07-31,602eaac6e4e24cebabf1cd350f82f07c,Dallas Wings @ Washington Mystics,2026-07-31T23:30:00Z,PROP,player_points_rebounds_assists,UNDER,,Arike Ogunbowale,PRA,draftkings,DraftKings,21.5,-122,True,the-odds-api,2026-07-31T16:54:11.529326+00:00,2,"draftkings,fanduel"
2026-07-31,602eaac6e4e24cebabf1cd350f82f07c,Dallas Wings @ Washington Mystics,2026-07-31T23:30:00Z,PROP,player_points,OVER,,Arike Ogunbowale,PTS,draftkings,DraftKings,14.5,-124,True,the-odds-api,2026-07-31T16:54:11.529326+00:00,2,"draftkings,fanduel"
