game_date,player,team,severity,base_minutes,proj_min,minutes_delta,usage_delta,projection_factor,is_out
2026-08-23,Dana Evans,Las Vegas Aces,QUESTIONABLE,15.8,10.3,-5.5,0,0.65,False
2026-08-23,Chelsea Gray,Las Vegas Aces,BENEFICIARY,33.4,33.8,0.4,0.0,1.0106,False
2026-08-23,A'ja Wilson,Las Vegas Aces,BENEFICIARY,28.8,29.4,0.6,0.0,1.0213,False
2026-08-23,Jackie Young,Las Vegas Aces,BENEFICIARY,28.2,28.8,0.6,0.0,1.0227,False
2026-08-23,Jewell Loyd,Las Vegas Aces,BENEFICIARY,25.0,25.8,0.8,0.0,1.0301,False
2026-08-23,NaLyssa Smith,Las Vegas Aces,BENEFICIARY,24.4,25.2,0.8,0.0,1.0315,False
2026-08-23,Brianna Turner,Las Vegas Aces,BENEFICIARY,18.8,19.6,0.8,0.0,1.0444,False
2026-08-23,Chennedy Carter,Las Vegas Aces,BENEFICIARY,16.75,17.6,0.8,0.0,1.0492,False
2026-08-23,Kierstan Bell,Las Vegas Aces,BENEFICIARY,11.667,12.4,0.7,0.0,1.061,False
2026-08-23,DiJonai Carrington,Chicago Sky,QUESTIONABLE,18.667,12.1,-6.6,0,0.65,False
2026-08-23,Skylar Diggins,Chicago Sky,OUT,28.35,0.0,-28.4,0,0.0,True
2026-08-23,Natasha Cloud,Chicago Sky,BENEFICIARY,31.2,34.2,3.0,0.0,1.0969,False
2026-08-23,Azura Stevens,Chicago Sky,BENEFICIARY,30.0,33.4,3.4,0.0,1.114,False
2026-08-23,Rickea Jackson,Chicago Sky,BENEFICIARY,26.833,31.1,4.3,0.0,1.1591,False
2026-08-23,Sydney Taylor,Chicago Sky,BENEFICIARY,26.4,30.8,4.4,0.0,1.1652,False
2026-08-23,Kamilla Cardoso,Chicago Sky,BENEFICIARY,24.8,29.5,4.7,0.0,1.188,False
2026-08-23,Courtney Vandersloot,Chicago Sky,BENEFICIARY,22.6,27.6,5.0,0.0,1.2194,False
2026-08-23,Jacy Sheldon,Chicago Sky,BENEFICIARY,18.0,23.1,5.1,0.0,1.2849,False
2026-08-23,Elizabeth Williams,Chicago Sky,BENEFICIARY,17.2,22.3,5.1,0.0,1.2963,False
2026-08-23,Sania Feagin,Portland Fire,OUT,3.5,0.0,-3.5,0,0.0,True
2026-08-23,Bridget Carleton,Portland Fire,BENEFICIARY,30.6,30.9,0.3,0.0,1.0104,False
2026-08-23,Carla Leite,Portland Fire,BENEFICIARY,28.4,28.8,0.4,0.0,1.0135,False
2026-08-23,Megan Gustafson,Portland Fire,BENEFICIARY,28.0,28.4,0.4,0.0,1.014,False
2026-08-23,Megan DiLeo,Portland Fire,BENEFICIARY,26.5,26.9,0.4,0.0,1.0161,False
2026-08-23,Emily Engstler,Portland Fire,BENEFICIARY,24.2,24.7,0.5,0.0,1.0193,False
2026-08-23,Sarah Ashlee Barker,Portland Fire,BENEFICIARY,19.333,19.8,0.5,0.0,1.0262,False
2026-08-23,Karlie Samuelson,Portland Fire,BENEFICIARY,19.25,19.8,0.5,0.0,1.0263,False
2026-08-23,Frieda Buhner,Portland Fire,BENEFICIARY,17.0,17.5,0.5,0.0,1.0294,False
2026-08-23,Maria Conde,Toronto Tempo,OUT,30.2,0.0,-30.2,0,0.0,True
2026-08-23,Marina Mabrey,Toronto Tempo,OUT,28.0,0.0,-28.0,0,0.0,True
2026-08-23,Aneesah Morrow,Toronto Tempo,OUT,26.0,0.0,-26.0,0,0.0,True
2026-08-23,Nyara Sabally,Toronto Tempo,OUT,20.0,0.0,-20.0,0,0.0,True
2026-08-23,Brittney Sykes,Toronto Tempo,OUT,30.875,0.0,-30.9,0,0.0,True
2026-08-23,Laura Juskaite,Toronto Tempo,BENEFICIARY,31.2,38,6.8,0.0,1.2179,False
2026-08-23,Julie Allemand,Toronto Tempo,BENEFICIARY,30.2,38,7.8,0.0,1.2583,False
2026-08-23,Kiki Rice,Toronto Tempo,BENEFICIARY,22.333,38,15.7,0.0,1.7015,False
2026-08-23,Isabelle Harrison,Toronto Tempo,BENEFICIARY,20.0,38,18.0,0.0,1.9,False
2026-08-23,Kia Nurse,Toronto Tempo,BENEFICIARY,17.2,36.0,18.8,0.0,2.091,False
2026-08-23,Temi Fagbenle,Toronto Tempo,BENEFICIARY,17.2,36.0,18.8,0.0,2.091,False
2026-08-23,Kristy Wallace,Toronto Tempo,BENEFICIARY,17.0,35.7,18.7,0.0,2.1015,False
2026-08-23,Elizabeth Balogun,Toronto Tempo,BENEFICIARY,15.0,33.1,18.1,0.0,2.2064,False
2026-08-23,Azzi Fudd,Dallas Wings,OUT,34.0,0.0,-34.0,0,0.0,True
2026-08-23,Aziaha James,Dallas Wings,OUT,6.6,0.0,-6.6,0,0.0,True
2026-08-23,Arike Ogunbowale,Dallas Wings,BENEFICIARY,33.0,35.9,2.9,0.0,1.0883,False
2026-08-23,Paige Bueckers,Dallas Wings,BENEFICIARY,31.6,35.2,3.6,0.0,1.1131,False
2026-08-23,Jessica Shepard,Dallas Wings,BENEFICIARY,29.8,34.1,4.3,0.0,1.1449,False
2026-08-23,Maddy Siegrist,Dallas Wings,BENEFICIARY,15.75,21.9,6.2,0.0,1.3931,False
2026-08-23,Haley Jones,Dallas Wings,BENEFICIARY,15.286,21.4,6.1,0.0,1.4013,False
