game_date,game_id,commence_time,home_team,away_team,spread_home,spread_home_juice,total,total_over_juice,ml_home,ml_away,num_books,source,scraped_at
2026-07-04,a94e67bca9ed03e512eee9e32821184d,2026-07-05T01:00:00Z,Seattle Storm,Portland Fire,-4.5,-109.0,172.61,-110.11,-184.33,153.78,9,the-odds-api,2026-07-04T23:42:05.520666
2026-07-04,54f91bf5767bbff2f9bb1f444a6fc510,2026-07-05T19:00:00Z,Toronto Tempo,Dallas Wings,5.28,-110.33,182.28,-111.0,166.0,-205.8,9,the-odds-api,2026-07-04T23:42:05.520699
2026-07-04,f784500c59f1f83757bec7c0ef787879,2026-07-05T23:00:00Z,Las Vegas Aces,Indiana Fever,-5.5,-111.0,183.5,-107.44,-225.8,181.6,9,the-odds-api,2026-07-04T23:42:05.520742
2026-07-04,1fbe348b23c9f547e63ce18ccf0888db,2026-07-06T23:40:00Z,Washington Mystics,Golden State Valkyries,3.5,-110.0,159.5,-110.0,138.5,-167.5,2,the-odds-api,2026-07-04T23:42:05.520753
2026-07-04,9c39120f2059c1fee0df606e5979d967,2026-07-07T00:00:00Z,Minnesota Lynx,Connecticut Sun,-16.0,-108.0,167.5,-110.0,-1625.0,865.0,2,the-odds-api,2026-07-04T23:42:05.520764
2026-07-04,4db4df7b4890e0ebc6a85982f4a85115,2026-07-07T02:10:00Z,Los Angeles Sparks,Seattle Storm,-3.5,-110.0,174.5,-110.0,-166.0,140.0,1,the-odds-api,2026-07-04T23:42:05.520772
2026-07-05,54f91bf5767bbff2f9bb1f444a6fc510,2026-07-05T19:02:00Z,Toronto Tempo,Dallas Wings,16.25,-120.67,166.0,-124.33,1600.0,-10000.0,6,the-odds-api,2026-07-05T20:57:28.347739
2026-07-05,f784500c59f1f83757bec7c0ef787879,2026-07-05T23:00:00Z,Las Vegas Aces,Indiana Fever,-3.11,-87.0,179.78,-109.89,-153.0,128.67,9,the-odds-api,2026-07-05T20:57:28.347772
2026-07-05,1fbe348b23c9f547e63ce18ccf0888db,2026-07-06T23:40:00Z,Washington Mystics,Golden State Valkyries,4.5,-107.78,157.11,-108.56,146.67,-178.67,9,the-odds-api,2026-07-05T20:57:28.347795
2026-07-05,9c39120f2059c1fee0df606e5979d967,2026-07-07T00:00:00Z,Minnesota Lynx,Connecticut Sun,-15.5,-111.0,167.5,-112.44,-1600.67,839.17,9,the-odds-api,2026-07-05T20:57:28.347820
2026-07-05,4db4df7b4890e0ebc6a85982f4a85115,2026-07-07T02:10:00Z,Los Angeles Sparks,Seattle Storm,-4.12,-110.38,174.33,-111.11,-175.5,143.83,9,the-odds-api,2026-07-05T20:57:28.347844
