game_date,game_id,commence_time,home_team,away_team,spread_home,spread_home_juice,total,total_over_juice,ml_home,ml_away,num_books,source,scraped_at
2026-07-09,1fbe348b23c9f547e63ce18ccf0888db,2026-07-06T23:40:00Z,Washington Mystics,Golden State Valkyries,3.5,-110.0,159.5,-110.0,138.5,-167.5,2,the-odds-api+last_known,2026-07-04T23:42:05.520753
2026-07-09,9c39120f2059c1fee0df606e5979d967,2026-07-07T00:00:00Z,Minnesota Lynx,Connecticut Sun,-16.0,-108.0,167.5,-110.0,-1625.0,865.0,2,the-odds-api+last_known,2026-07-04T23:42:05.520764
2026-07-09,4db4df7b4890e0ebc6a85982f4a85115,2026-07-07T02:10:00Z,Los Angeles Sparks,Seattle Storm,-3.5,-110.0,174.5,-110.0,-166.0,140.0,1,the-odds-api+last_known,2026-07-04T23:42:05.520772
2026-07-09,f784500c59f1f83757bec7c0ef787879,2026-07-05T23:00:00Z,Las Vegas Aces,Indiana Fever,-2.94,-109.89,179.78,-109.89,-150.67,126.56,9,the-odds-api+last_known,2026-07-05T22:09:03.673262
2026-07-09,1fbe348b23c9f547e63ce18ccf0888db,2026-07-06T23:40:00Z,Washington Mystics,Golden State Valkyries,4.5,-108.33,157.11,-108.56,147.5,-180.17,9,the-odds-api+last_known,2026-07-05T22:09:03.673285
2026-07-09,9c39120f2059c1fee0df606e5979d967,2026-07-07T00:00:00Z,Minnesota Lynx,Connecticut Sun,-14.83,-110.44,167.06,-112.44,-1319.33,741.67,9,the-odds-api+last_known,2026-07-05T22:09:03.673297
2026-07-09,4db4df7b4890e0ebc6a85982f4a85115,2026-07-07T02:10:00Z,Los Angeles Sparks,Seattle Storm,-4.31,-109.75,174.17,-111.11,-177.67,145.33,9,the-odds-api+last_known,2026-07-05T22:09:03.673308
2026-07-09,1fbe348b23c9f547e63ce18ccf0888db,2026-07-06T23:40:00Z,Washington Mystics,Golden State Valkyries,5.44,-108.67,156.33,-110.11,179.56,-219.22,9,the-odds-api+last_known,2026-07-06T11:44:07.270282
2026-07-09,9c39120f2059c1fee0df606e5979d967,2026-07-07T00:00:00Z,Minnesota Lynx,Connecticut Sun,-13.89,-111.56,165.72,-110.78,-1102.22,679.11,9,the-odds-api+last_known,2026-07-06T11:44:07.270316
2026-07-09,4db4df7b4890e0ebc6a85982f4a85115,2026-07-07T02:10:00Z,Los Angeles Sparks,Seattle Storm,-3.62,-109.88,174.5,-109.44,-166.56,139.78,9,the-odds-api+last_known,2026-07-06T11:44:07.270344
2026-07-09,a5c10cf00d97057ef1bd2f450afb222d,2026-07-08T00:00:00Z,New York Liberty,Dallas Wings,-5.5,-109.5,175.5,-110.5,-211.5,172.0,2,the-odds-api+last_known,2026-07-06T11:44:07.270356
2026-07-09,2077ab7ab8e6b6e3437a042a329a944f,2026-07-08T02:00:00Z,Phoenix Mercury,Chicago Sky,-3.5,-112.5,173.0,-108.0,-166.0,137.0,2,the-odds-api+last_known,2026-07-06T11:44:07.270368
