player,team,opp,pos,stat,season_avg,pred,low,high,range,line,edge,signal,conf,reasoning,game,last5_vals,last5_opps,last5_hit,last10_hit,h2h_last5,opp_rank
Arike Ogunbowale,nan,Dallas Wings @ Toronto Tempo,nan,PRA,31.0,32.1,28.6,35.6,28.6-35.6,17.5,14.6,OVER,HIGH,"Baseline from baseline: season average plus usage, efficiency, minutes, and pace adjustment.",nan vs Dallas Wings @ Toronto Tempo,"[30.3, 33.5, 32.6, 31.7, 30.8]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[32.2, 31.3, 30.4, 33.5, 32.6]",15
Arike Ogunbowale,nan,Dallas Wings @ Toronto Tempo,nan,PRA,31.0,32.1,28.6,35.6,28.6-35.6,18.5,13.6,OVER,HIGH,"Baseline from baseline: season average plus usage, efficiency, minutes, and pace adjustment.",nan vs Dallas Wings @ Toronto Tempo,"[30.3, 33.5, 32.6, 31.7, 30.8]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[32.2, 31.3, 30.4, 33.5, 32.6]",15
Arike Ogunbowale,nan,Dallas Wings @ Toronto Tempo,nan,PTS,22.4,23.5,20.0,27.0,20.0-27.0,12.5,11.0,OVER,HIGH,"Baseline from baseline: season average plus usage, efficiency, minutes, and pace adjustment.",nan vs Dallas Wings @ Toronto Tempo,"[22.6, 21.7, 24.9, 23.9, 23.1]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[24.5, 23.6, 22.7, 21.8, 24.9]",15
Arike Ogunbowale,nan,Dallas Wings @ Toronto Tempo,nan,AST,4.5,4.8,1.3,8.3,1.3-8.3,2.5,2.3,OVER,HIGH,"Baseline from baseline: season average plus usage, efficiency, minutes, and pace adjustment.",nan vs Dallas Wings @ Toronto Tempo,"[5.2, 4.3, 3.4, 6.6, 5.7]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[3.0, 6.2, 5.3, 4.4, 3.5]",15
A'ja Wilson,nan,Indiana Fever @ Las Vegas Aces,nan,REB,10.1,10.4,6.9,13.9,6.9-13.9,9.5,0.9,,LOW,"Baseline from baseline: season average plus usage, efficiency, minutes, and pace adjustment.",nan vs Indiana Fever @ Las Vegas Aces,"[9.1, 12.2, 11.3, 10.4, 9.5]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[11.8, 10.9, 10.0, 9.1, 8.2]",11
Arike Ogunbowale,nan,Dallas Wings @ Toronto Tempo,nan,3PM,1.8,2.3,-1.2,5.8,-1.2-5.8,1.5,0.8,,LOW,"Baseline from baseline: season average plus usage, efficiency, minutes, and pace adjustment.",nan vs Dallas Wings @ Toronto Tempo,"[2.3, 1.4, 0.5, 3.6, 2.8]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[0.1, 3.2, 2.4, 1.4, 0.5]",15
A'ja Wilson,nan,Indiana Fever @ Las Vegas Aces,nan,AST,2.8,3.1,-0.4,6.6,-0.4-6.6,2.5,0.6,,LOW,"Baseline from baseline: season average plus usage, efficiency, minutes, and pace adjustment.",nan vs Indiana Fever @ Las Vegas Aces,"[4.5, 3.6, 2.6, 1.8, 4.9]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[3.2, 2.2, 1.4, 4.5, 3.6]",11
A'ja Wilson,nan,Indiana Fever @ Las Vegas Aces,nan,PTS,24.2,25.6,22.1,29.1,22.1-29.1,25.5,0.1,,LOW,"Baseline from baseline: season average plus usage, efficiency, minutes, and pace adjustment.",nan vs Indiana Fever @ Las Vegas Aces,"[25.6, 24.7, 23.8, 27.0, 26.1]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[24.3, 23.4, 26.6, 25.7, 24.8]",11
A'ja Wilson,nan,Indiana Fever @ Las Vegas Aces,nan,PRA,37.1,38.5,35.0,42.0,35.0-42.0,38.5,0.0,,LOW,"Baseline from baseline: season average plus usage, efficiency, minutes, and pace adjustment.",nan vs Indiana Fever @ Las Vegas Aces,"[37.6, 36.7, 39.9, 39.0, 38.0]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[36.3, 39.5, 38.6, 37.6, 36.8]",11
Aliyah Boston,nan,Indiana Fever @ Las Vegas Aces,nan,AST,3.5,3.5,0.0,7.0,0.0-7.0,3.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Indiana Fever @ Las Vegas Aces,"[4.0, 3.0, 2.1, 5.3, 4.4]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[2.6, 1.8, 4.9, 4.0, 3.1]",11
Aliyah Boston,nan,Indiana Fever @ Las Vegas Aces,nan,PTS,17.5,17.5,14.0,21.0,14.0-21.0,17.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Indiana Fever @ Las Vegas Aces,"[16.6, 15.7, 18.9, 17.9, 17.1]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[15.3, 18.5, 17.6, 16.7, 15.8]",11
Aliyah Boston,nan,Indiana Fever @ Las Vegas Aces,nan,PRA,0.0,30.5,27.0,34.0,27.0-34.0,30.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Indiana Fever @ Las Vegas Aces,"[28.7, 31.9, 30.9, 30.1, 29.1]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[31.5, 30.6, 29.7, 28.8, 31.9]",11
Aliyah Boston,nan,Indiana Fever @ Las Vegas Aces,nan,REB,8.5,8.5,5.0,12.0,5.0-12.0,8.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Indiana Fever @ Las Vegas Aces,"[10.3, 9.4, 8.5, 7.6, 6.7]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[9.0, 8.1, 7.2, 6.3, 9.4]",11
Aliyah Boston,nan,Indiana Fever @ Las Vegas Aces,nan,3PM,0.5,0.5,-3.0,4.0,-3.0-4.0,0.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Indiana Fever @ Las Vegas Aces,"[0.5, 0, 0, 1.9, 0.9]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[0, 0, 1.5, 0.6, 0]",11
Aliyah Boston,nan,Indiana Fever @ Las Vegas Aces,nan,3PM,1.5,1.5,-2.0,5.0,-2.0-5.0,1.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Indiana Fever @ Las Vegas Aces,"[1.5, 0.6, 0, 2.9, 1.9]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[0.2, 0, 2.5, 1.6, 0.7]",11
Awak Kuier,nan,Dallas Wings @ Toronto Tempo,nan,PTS,5.5,5.5,2.0,9.0,2.0-9.0,5.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Dallas Wings @ Toronto Tempo,"[6.4, 5.5, 4.6, 3.7, 6.8]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[4.2, 3.3, 6.4, 5.5, 4.6]",15
Azzi Fudd,nan,Dallas Wings @ Toronto Tempo,nan,PTS,14.5,14.5,11.0,18.0,11.0-18.0,14.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Dallas Wings @ Toronto Tempo,"[15.4, 14.5, 13.6, 12.7, 15.8]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[13.2, 12.3, 15.4, 14.5, 13.7]",15
Azzi Fudd,nan,Dallas Wings @ Toronto Tempo,nan,PRA,0.0,19.5,16.0,23.0,16.0-23.0,19.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Dallas Wings @ Toronto Tempo,"[19.5, 18.6, 17.7, 20.9, 19.9]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[17.3, 20.5, 19.6, 18.7, 17.8]",15
Azzi Fudd,nan,Dallas Wings @ Toronto Tempo,nan,3PM,1.5,1.5,-2.0,5.0,-2.0-5.0,1.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Dallas Wings @ Toronto Tempo,"[3.3, 2.4, 1.5, 0.6, 0]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[1.1, 0.2, 0, 2.5, 1.6]",15
Azzi Fudd,nan,Dallas Wings @ Toronto Tempo,nan,AST,2.5,2.5,-1.0,6.0,-1.0-6.0,2.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Dallas Wings @ Toronto Tempo,"[0.7, 3.9, 3.0, 2.0, 1.1]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[2.6, 1.7, 0.8, 3.9, 3.0]",15
