player,team,opp,pos,stat,season_avg,pred,low,high,range,line,over_price,under_price,yes_price,no_price,edge,signal,conf,model_prob,implied_prob,ev,ev_pct,kelly_frac,injury_status,market_status,is_active,filter_reason,reasoning,game,home_team,away_team,last5_vals,last5_opps,last5_hit,last10_hit,h2h_last5,opp_rank,role_score,minutes_trend,points_trend,intel_source
Dominique Malonga,nan,Seattle Storm @ Chicago Sky,nan,PRA,24.1,22.5,19.0,26.0,19.0-26.0,28.5,-121.33,-110.5,,,-6.0,UNDER,HIGH,0.66,0.5249,0.2573,25.7,0.05,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Seattle Storm @ Chicago Sky,Chicago Sky,Seattle Storm,"[24.3, 23.4, 22.5, 21.6, 20.7]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[22.5, 21.6, 20.7, 23.9, 22.9]",15,0,,,
Dominique Malonga,nan,Seattle Storm @ Chicago Sky,nan,PR,22.7,21.0,17.5,24.5,17.5-24.5,26.5,-121.5,-110.5,,,-5.5,UNDER,HIGH,0.648,0.5249,0.2344,23.4,0.05,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Seattle Storm @ Chicago Sky,Chicago Sky,Seattle Storm,"[19.6, 22.8, 21.9, 21.0, 20.1]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[21.9, 21.0, 20.1, 19.2, 22.4]",15,0,,,
Kelsey Mitchell,nan,Golden State Valkyries @ Indiana Fever,nan,PA,24.3,27.8,24.3,31.3,24.3-31.3,23.5,-115.0,-117.5,,,4.3,OVER,HIGH,0.6168,0.5349,0.1531,15.3,0.044,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Golden State Valkyries @ Indiana Fever,Indiana Fever,Golden State Valkyries,"[28.7, 27.8, 26.9, 26.0, 29.2]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[26.9, 26.0, 29.2, 28.2, 27.4]",9,0,,,
Azura Stevens,nan,Seattle Storm @ Chicago Sky,nan,PRA,19.1,20.5,17.0,24.0,17.0-24.0,24.5,-121.0,-112.0,,,-4.0,UNDER,HIGH,0.609,0.5283,0.1528,15.3,0.0428,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Seattle Storm @ Chicago Sky,Chicago Sky,Seattle Storm,"[20.1, 19.1, 22.3, 21.4, 20.5]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[22.3, 21.4, 20.5, 19.6, 18.7]",15,0,,,
Natasha Cloud,nan,Seattle Storm @ Chicago Sky,nan,PR,12.8,11.8,8.3,15.3,8.3-15.3,14.5,-132.0,100.0,,,-2.7,UNDER,HIGH,0.5752,0.5,0.1504,15.0,0.0376,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Seattle Storm @ Chicago Sky,Chicago Sky,Seattle Storm,"[13.2, 12.2, 11.4, 10.5, 13.6]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[11.4, 10.5, 13.6, 12.7, 11.8]",15,0,,,
Dominique Malonga,nan,Seattle Storm @ Chicago Sky,nan,PA,16.5,14.7,11.2,18.2,11.2-18.2,19.5,-112.0,-121.0,,,-4.8,UNDER,HIGH,0.6298,0.5475,0.1503,15.0,0.0455,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Seattle Storm @ Chicago Sky,Chicago Sky,Seattle Storm,"[13.8, 12.9, 16.1, 15.1, 14.2]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[16.1, 15.1, 14.2, 13.3, 16.5]",15,0,,,
Dominique Malonga,nan,Seattle Storm @ Chicago Sky,nan,PTS,15.2,13.2,9.7,16.7,9.7-16.7,17.5,-112.33,-116.5,,,-4.3,UNDER,HIGH,0.6168,0.5381,0.1462,14.6,0.0426,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Seattle Storm @ Chicago Sky,Chicago Sky,Seattle Storm,"[11.8, 15.0, 14.1, 13.2, 12.3]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[14.1, 13.2, 12.3, 11.4, 14.5]",15,0,,,
Natasha Cloud,nan,Seattle Storm @ Chicago Sky,nan,PRA,17.1,16.1,12.6,19.6,12.6-19.6,20.5,-112.5,-119.5,,,-4.4,UNDER,HIGH,0.6194,0.5444,0.1377,13.8,0.0411,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Seattle Storm @ Chicago Sky,Chicago Sky,Seattle Storm,"[16.6, 15.7, 14.8, 17.9, 17.0]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[14.8, 17.9, 17.0, 16.1, 15.2]",15,0,,,
Kelsey Mitchell,nan,Golden State Valkyries @ Indiana Fever,nan,PRA,25.8,29.6,26.1,33.1,26.1-33.1,25.5,-117.0,-114.5,,,4.1,OVER,HIGH,0.6116,0.5392,0.1343,13.4,0.0393,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Golden State Valkyries @ Indiana Fever,Indiana Fever,Golden State Valkyries,"[29.2, 28.2, 31.4, 30.5, 29.6]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[31.4, 30.5, 29.6, 28.7, 27.8]",9,0,,,
Ariel Atkins,nan,Los Angeles Sparks @ Minnesota Lynx,nan,PRA,13.3,12.1,8.6,15.6,8.6-15.6,15.5,-118.67,-110.0,,,-3.4,UNDER,HIGH,0.5934,0.5238,0.1329,13.3,0.0365,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com: season + recent form, usage, efficiency, minutes, pace, role score, and price lean.",Los Angeles Sparks @ Minnesota Lynx,Minnesota Lynx,Los Angeles Sparks,"[13.9, 13.0, 12.1, 11.2, 10.3]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[11.7, 10.8, 13.9, 13.0, 12.1]",2,0,,,
