player,team,opp,pos,stat,season_avg,pred,low,high,range,line,over_price,under_price,yes_price,no_price,edge,signal,conf,model_prob,implied_prob,ev,ev_pct,kelly_frac,injury_status,market_status,is_active,filter_reason,reasoning,game,home_team,away_team,last5_vals,last5_opps,last5_hit,last10_hit,h2h_last5,opp_rank,role_score,minutes_trend,points_trend,intel_source
Natisha Hiedeman,Seattle Storm,Chicago Sky @ Seattle Storm,G,PA,20.5,24.1,20.6,27.6,20.6-27.6,20.5,-102.0,-130.0,,,3.6,OVER,HIGH,0.5986,0.505,0.1855,18.6,0.0473,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com+player_intelligence: season + recent form, usage, efficiency, minutes, pace, role score, and price lean. Intelligence: role 97.6, minutes UP, points UP.",Chicago Sky @ Seattle Storm,Seattle Storm,Chicago Sky,"[23.2, 22.3, 25.5, 24.6, 23.7]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[25.5, 24.6, 23.7, 22.8, 25.9]",15,97.6,UP,UP,wnba_player_intelligence
Dominique Malonga,Seattle Storm,Chicago Sky @ Seattle Storm,C,PRA,25.8,26.6,23.1,30.1,23.1-30.1,30.5,-124.0,-107.0,,,-3.9,UNDER,HIGH,0.6064,0.5169,0.1731,17.3,0.0463,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com+player_intelligence: season + recent form, usage, efficiency, minutes, pace, role score, and price lean. Intelligence: role 81.7, minutes STABLE, points STABLE.",Chicago Sky @ Seattle Storm,Seattle Storm,Chicago Sky,"[28.4, 27.5, 26.6, 25.7, 24.8]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[26.6, 25.7, 24.8, 28.0, 27.1]",15,81.7,STABLE,STABLE,wnba_player_intelligence
Dominique Malonga,Seattle Storm,Chicago Sky @ Seattle Storm,C,PRA,25.8,26.5,23.0,30.0,23.0-30.0,31.5,-107.0,-122.5,,,-5.0,UNDER,HIGH,0.635,0.5506,0.1534,15.3,0.047,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com+player_intelligence: season + recent form, usage, efficiency, minutes, pace, role score, and price lean. Intelligence: role 81.7, minutes STABLE, points STABLE.",Chicago Sky @ Seattle Storm,Seattle Storm,Chicago Sky,"[28.3, 27.4, 26.5, 25.6, 24.7]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[26.5, 25.6, 24.7, 27.9, 26.9]",15,81.7,STABLE,STABLE,wnba_player_intelligence
Angel Reese,Atlanta Dream,Toronto Tempo @ Atlanta Dream,F,PR,26.2,25.6,22.1,29.1,22.1-29.1,28.5,-130.0,-102.0,,,-2.9,UNDER,HIGH,0.5804,0.505,0.1494,14.9,0.0381,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com+player_intelligence: season + recent form, usage, efficiency, minutes, pace, role score, and price lean. Intelligence: role 89.0, minutes DOWN, points STABLE.",Toronto Tempo @ Atlanta Dream,Atlanta Dream,Toronto Tempo,"[25.2, 24.2, 27.4, 26.5, 25.6]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[25.2, 24.2, 27.4, 26.5, 25.6]",10,89.0,DOWN,STABLE,wnba_player_intelligence
Natisha Hiedeman,Seattle Storm,Chicago Sky @ Seattle Storm,G,PR,18.6,21.9,18.4,25.4,18.4-25.4,17.5,-118.0,-115.0,,,4.4,OVER,HIGH,0.6194,0.5413,0.1443,14.4,0.0426,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com+player_intelligence: season + recent form, usage, efficiency, minutes, pace, role score, and price lean. Intelligence: role 97.6, minutes UP, points UP.",Chicago Sky @ Seattle Storm,Seattle Storm,Chicago Sky,"[20.5, 23.7, 22.8, 21.9, 21.0]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[22.8, 21.9, 21.0, 20.1, 23.2]",15,97.6,UP,UP,wnba_player_intelligence
Natisha Hiedeman,Seattle Storm,Chicago Sky @ Seattle Storm,G,PRA,23.2,27.0,23.5,30.5,23.5-30.5,22.5,-120.5,-109.0,,,4.5,OVER,HIGH,0.622,0.5465,0.1382,13.8,0.0416,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com+player_intelligence: season + recent form, usage, efficiency, minutes, pace, role score, and price lean. Intelligence: role 97.6, minutes UP, points UP.",Chicago Sky @ Seattle Storm,Seattle Storm,Chicago Sky,"[28.8, 27.9, 27.0, 26.1, 25.2]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[27.0, 26.1, 25.2, 28.4, 27.4]",15,97.6,UP,UP,wnba_player_intelligence
Natisha Hiedeman,Seattle Storm,Chicago Sky @ Seattle Storm,G,PTS,15.9,19.0,15.5,22.5,15.5-22.5,15.5,-110.0,-134.5,,,3.5,OVER,HIGH,0.596,0.5238,0.1378,13.8,0.0379,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com+player_intelligence: season + recent form, usage, efficiency, minutes, pace, role score, and price lean. Intelligence: role 97.6, minutes UP, points UP.",Chicago Sky @ Seattle Storm,Seattle Storm,Chicago Sky,"[17.6, 20.8, 19.9, 19.0, 18.1]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[19.9, 19.0, 18.1, 17.2, 20.4]",15,97.6,UP,UP,wnba_player_intelligence
Dominique Malonga,Seattle Storm,Chicago Sky @ Seattle Storm,C,PR,24.4,25.2,21.7,28.7,21.7-28.7,28.5,-123.0,-108.5,,,-3.3,UNDER,HIGH,0.5908,0.5204,0.1353,13.5,0.0367,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com+player_intelligence: season + recent form, usage, efficiency, minutes, pace, role score, and price lean. Intelligence: role 81.7, minutes STABLE, points STABLE.",Chicago Sky @ Seattle Storm,Seattle Storm,Chicago Sky,"[23.8, 27.0, 26.1, 25.2, 24.3]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[26.1, 25.2, 24.3, 23.4, 26.6]",15,81.7,STABLE,STABLE,wnba_player_intelligence
Angel Reese,Atlanta Dream,Toronto Tempo @ Atlanta Dream,F,PRA,28.6,28.1,24.6,31.6,24.6-31.6,31.5,-126.5,-110.0,,,-3.4,UNDER,HIGH,0.5934,0.5238,0.1329,13.3,0.0365,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com+player_intelligence: season + recent form, usage, efficiency, minutes, pace, role score, and price lean. Intelligence: role 89.0, minutes DOWN, points STABLE.",Toronto Tempo @ Atlanta Dream,Atlanta Dream,Toronto Tempo,"[26.8, 29.9, 29.0, 28.1, 27.2]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[26.8, 29.9, 29.0, 28.1, 27.2]",10,89.0,DOWN,STABLE,wnba_player_intelligence
Natisha Hiedeman,Seattle Storm,Chicago Sky @ Seattle Storm,G,PTS,15.9,19.2,15.7,22.7,15.7-22.7,14.5,-125.33,-102.0,,,4.7,OVER,HIGH,0.6272,0.5562,0.1276,12.8,0.04,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com+player_intelligence: season + recent form, usage, efficiency, minutes, pace, role score, and price lean. Intelligence: role 97.6, minutes UP, points UP.",Chicago Sky @ Seattle Storm,Seattle Storm,Chicago Sky,"[17.8, 21.0, 20.1, 19.2, 18.3]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[20.1, 19.2, 18.3, 17.4, 20.6]",15,97.6,UP,UP,wnba_player_intelligence
