source_player_id,player,team,team_abbr,position,season,source_system,source_file
2531437,Ezinne Kalu,Dream,ATL,G,2024,sportsdataverse,wehoop_player_box_2024.csv
3058888,Kaela Davis,Sky,CHI,F,2024,sportsdataverse,wehoop_player_box_2024.csv
4068885,Amy Atwell,Mercury,PHX,F,2024,sportsdataverse,wehoop_player_box_2024.csv
4398779,Queen Egbo,Aces,LV,C,2024,sportsdataverse,wehoop_player_box_2024.csv
4068159,Sug Sutton,Mystics,WSH,G,2024,sportsdataverse,wehoop_player_box_2024.csv
3142055,Myisha Hines-Allen,Lynx,MIN,F,2024,sportsdataverse,wehoop_player_box_2024.csv
3142328,Gabby Williams,Storm,SEA,F,2024,sportsdataverse,wehoop_player_box_2024.csv
5017721,Sika Kone,Mystics,WSH,F,2024,sportsdataverse,wehoop_player_box_2024.csv
3142255,Monique Billings,Mercury,PHX,F,2024,sportsdataverse,wehoop_player_box_2024.csv
2529047,Odyssey Sims,Sparks,LA,G,2024,sportsdataverse,wehoop_player_box_2024.csv
3904576,Marina Mabrey,Sun,CON,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4398780,Caitlin Bickle,Sun,CON,F,2024,sportsdataverse,wehoop_player_box_2024.csv
4432864,Celeste Taylor,Sun,CON,G,2024,sportsdataverse,wehoop_player_box_2024.csv
2566186,Rachel Banham,Sky,CHI,G,2024,sportsdataverse,wehoop_player_box_2024.csv
2998927,Moriah Jefferson,Sky,CHI,G,2024,sportsdataverse,wehoop_player_box_2024.csv
2998928,Breanna Stewart,Team USA,USA,F,2024,sportsdataverse,wehoop_player_box_2024.csv
3149391,A'ja Wilson,Team USA,USA,C,2024,sportsdataverse,wehoop_player_box_2024.csv
585,Diana Taurasi,Team USA,USA,G,2024,sportsdataverse,wehoop_player_box_2024.csv
2529122,Chelsea Gray,Team USA,USA,G,2024,sportsdataverse,wehoop_player_box_2024.csv
2987869,Jewell Loyd,Team USA,USA,G,2024,sportsdataverse,wehoop_player_box_2024.csv
2529140,Alyssa Thomas,Team USA,USA,F,2024,sportsdataverse,wehoop_player_box_2024.csv
3917450,Napheesa Collier,Team USA,USA,F,2024,sportsdataverse,wehoop_player_box_2024.csv
2490553,Brittney Griner,Team USA,USA,C,2024,sportsdataverse,wehoop_player_box_2024.csv
2998938,Kahleah Copper,Team USA,USA,G,2024,sportsdataverse,wehoop_player_box_2024.csv
3065570,Kelsey Plum,Team USA,USA,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4065870,Jackie Young,Team USA,USA,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4066533,Sabrina Ionescu,Team USA,USA,G,2024,sportsdataverse,wehoop_player_box_2024.csv
869,DeWanna Bonner,Team WNBA,WNBASTARS,F,2024,sportsdataverse,wehoop_player_box_2024.csv
1068,Nneka Ogwumike,Team WNBA,WNBASTARS,F,2024,sportsdataverse,wehoop_player_box_2024.csv
2999101,Jonquel Jones,Team WNBA,WNBASTARS,C,2024,sportsdataverse,wehoop_player_box_2024.csv
3904577,Arike Ogunbowale,Team WNBA,WNBASTARS,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4433403,Caitlin Clark,Team WNBA,WNBASTARS,G,2024,sportsdataverse,wehoop_player_box_2024.csv
2566106,Dearica Hamby,Team WNBA,WNBASTARS,F,2024,sportsdataverse,wehoop_player_box_2024.csv
3058895,Brionna Jones,Team WNBA,WNBASTARS,F,2024,sportsdataverse,wehoop_player_box_2024.csv
4433402,Angel Reese,Team WNBA,WNBASTARS,F,2024,sportsdataverse,wehoop_player_box_2024.csv
4432831,Aliyah Boston,Team WNBA,WNBASTARS,C,2024,sportsdataverse,wehoop_player_box_2024.csv
2529205,Kayla McBride,Team WNBA,WNBASTARS,G,2024,sportsdataverse,wehoop_player_box_2024.csv
3058901,Allisha Gray,Team WNBA,WNBASTARS,G,2024,sportsdataverse,wehoop_player_box_2024.csv
3142191,Kelsey Mitchell,Team WNBA,WNBASTARS,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4432864,Celeste Taylor,Mercury,PHX,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4433386,Jaylyn Sherrod,Liberty,NY,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4066585,Crystal Dangerfield,Sparks,LA,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4398751,Destanni Henderson,Dream,ATL,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4432841,Jakia Brown-Turner,Mystics,WSH,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4280850,Maya Caldwell,Dream,ATL,G,2024,sportsdataverse,wehoop_player_box_2024.csv
2529047,Odyssey Sims,Wings,DAL,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4398779,Queen Egbo,Sparks,LA,C,2024,sportsdataverse,wehoop_player_box_2024.csv
3143510,Morgan Bertsch,Wings,DAL,F,2024,sportsdataverse,wehoop_player_box_2024.csv
4398726,Jessika Carter,Aces,LV,F,2024,sportsdataverse,wehoop_player_box_2024.csv
4433293,Charisma Osborne,Mercury,PHX,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4398935,Veronica Burton,Sun,CON,G,2024,sportsdataverse,wehoop_player_box_2024.csv
1054,Tiffany Hayes,Aces,LV,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4068161,Joyner Holmes,Storm,SEA,F,2024,sportsdataverse,wehoop_player_box_2024.csv
2529122,Chelsea Gray,Aces,LV,G,2024,sportsdataverse,wehoop_player_box_2024.csv
3142010,Azura Stevens,Sparks,LA,F,2024,sportsdataverse,wehoop_player_box_2024.csv
4281929,Satou Sabally,Wings,DAL,F,2024,sportsdataverse,wehoop_player_box_2024.csv
2955898,Damiris Dantas,Fever,IND,C,2024,sportsdataverse,wehoop_player_box_2024.csv
2566453,Isabelle Harrison,Sky,CHI,F,2024,sportsdataverse,wehoop_player_box_2024.csv
4433405,Kamilla Cardoso,Sky,CHI,C,2024,sportsdataverse,wehoop_player_box_2024.csv
4281183,Lorela Cubaj,Dream,ATL,F,2024,sportsdataverse,wehoop_player_box_2024.csv
3142250,Jordin Canada,Dream,ATL,G,2024,sportsdataverse,wehoop_player_box_2024.csv
2490553,Brittney Griner,Mercury,PHX,C,2024,sportsdataverse,wehoop_player_box_2024.csv
3142255,Monique Billings,Wings,DAL,F,2024,sportsdataverse,wehoop_player_box_2024.csv
4398938,Dorka Juhasz,Lynx,MIN,F,2024,sportsdataverse,wehoop_player_box_2024.csv
2529458,Cheyenne Parker-Tyus,Dream,ATL,F,2024,sportsdataverse,wehoop_player_box_2024.csv
918,Tina Charles,Dream,ATL,C,2024,sportsdataverse,wehoop_player_box_2024.csv
3058901,Allisha Gray,Dream,ATL,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4398674,Rhyne Howard,Dream,ATL,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4595910,Haley Jones,Dream,ATL,G,2024,sportsdataverse,wehoop_player_box_2024.csv
3054590,Nia Coffey,Dream,ATL,F,2024,sportsdataverse,wehoop_player_box_2024.csv
4398915,Naz Hillmon,Dream,ATL,F,2024,sportsdataverse,wehoop_player_box_2024.csv
4432834,Laeticia Amihere,Dream,ATL,F,2024,sportsdataverse,wehoop_player_box_2024.csv
2999035,Aerial Powers,Dream,ATL,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4066585,Crystal Dangerfield,Dream,ATL,G,2024,sportsdataverse,wehoop_player_box_2024.csv
2566106,Dearica Hamby,Sparks,LA,F,2024,sportsdataverse,wehoop_player_box_2024.csv
4433404,Cameron Brink,Sparks,LA,F,2024,sportsdataverse,wehoop_player_box_2024.csv
2490794,Layshia Clarendon,Sparks,LA,G,2024,sportsdataverse,wehoop_player_box_2024.csv
3058892,Lexie Brown,Sparks,LA,G,2024,sportsdataverse,wehoop_player_box_2024.csv
3142327,Kia Nurse,Sparks,LA,G,2024,sportsdataverse,wehoop_player_box_2024.csv
3099736,Stephanie Talbot,Sparks,LA,F,2024,sportsdataverse,wehoop_player_box_2024.csv
4433630,Rickea Jackson,Sparks,LA,F,2024,sportsdataverse,wehoop_player_box_2024.csv
4336633,Li Yueru,Sparks,LA,C,2024,sportsdataverse,wehoop_player_box_2024.csv
4066553,Aari McDonald,Sparks,LA,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4398764,Rae Burrell,Sparks,LA,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4432832,Zia Cooke,Sparks,LA,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4433402,Angel Reese,Sky,CHI,F,2024,sportsdataverse,wehoop_player_box_2024.csv
2566081,Elizabeth Williams,Sky,CHI,C,2024,sportsdataverse,wehoop_player_box_2024.csv
3058902,Diamond DeShields,Sky,CHI,G,2024,sportsdataverse,wehoop_player_box_2024.csv
3904576,Marina Mabrey,Sky,CHI,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4281190,Dana Evans,Sky,CHI,G,2024,sportsdataverse,wehoop_player_box_2024.csv
3142086,Brianna Turner,Sky,CHI,F,2024,sportsdataverse,wehoop_player_box_2024.csv
4282173,Michaela Onyenwere,Sky,CHI,F,2024,sportsdataverse,wehoop_player_box_2024.csv
3058908,Lindsay Allen,Sky,CHI,G,2024,sportsdataverse,wehoop_player_box_2024.csv
4280892,Chennedy Carter,Sky,CHI,G,2024,sportsdataverse,wehoop_player_box_2024.csv
