game_date,event_id,player,team,position,opp_team,is_home,stat_raw,stat,line,over_price,under_price,yes_price,no_price,num_books,sportsbooks,odds_type,game_time,home_team,away_team,source,scraped_at
2026-09-21,2e5bc624d9c65499dad8dcaad7828e0b,Allisha Gray,Atlanta Dream,,Atlanta Dream @ New York Liberty,False,3pm,3pm,0.5,181.5,-250.0,,,2,"draftkings,fanduel",sportsbook,2026-09-22T00:14:00Z,New York Liberty,Atlanta Dream,canonical-player-props-cache,2026-09-22T01:55:23.184655+00:00
2026-09-21,2e5bc624d9c65499dad8dcaad7828e0b,Allisha Gray,Atlanta Dream,,Atlanta Dream @ New York Liberty,False,player_assists,ast,1.5,194.0,-270.0,,,1,fanduel,sportsbook,2026-09-22T00:14:00Z,New York Liberty,Atlanta Dream,canonical-player-props-cache,2026-09-22T01:55:23.184655+00:00
2026-09-21,2e5bc624d9c65499dad8dcaad7828e0b,Allisha Gray,Atlanta Dream,,Atlanta Dream @ New York Liberty,False,player_points_assists,pa,18.5,-154.0,116.0,,,1,fanduel,sportsbook,2026-09-22T00:14:00Z,New York Liberty,Atlanta Dream,canonical-player-props-cache,2026-09-22T01:55:23.184655+00:00
2026-09-21,2e5bc624d9c65499dad8dcaad7828e0b,Allisha Gray,Atlanta Dream,,Atlanta Dream @ New York Liberty,False,player_points_rebounds,pr,20.5,102.0,-136.0,,,1,fanduel,sportsbook,2026-09-22T00:14:00Z,New York Liberty,Atlanta Dream,canonical-player-props-cache,2026-09-22T01:55:23.184655+00:00
2026-09-21,2e5bc624d9c65499dad8dcaad7828e0b,Allisha Gray,Atlanta Dream,,Atlanta Dream @ New York Liberty,False,player_points_rebounds_assists,pra,21.5,-122.0,-108.0,,,1,fanduel,sportsbook,2026-09-22T00:14:00Z,New York Liberty,Atlanta Dream,canonical-player-props-cache,2026-09-22T01:55:23.184655+00:00
2026-09-21,2e5bc624d9c65499dad8dcaad7828e0b,Allisha Gray,Atlanta Dream,,Atlanta Dream @ New York Liberty,False,player_points,pts,17.5,-130.0,-105.0,,,1,draftkings,sportsbook,2026-09-22T00:14:00Z,New York Liberty,Atlanta Dream,canonical-player-props-cache,2026-09-22T01:55:23.184655+00:00
2026-09-21,2e5bc624d9c65499dad8dcaad7828e0b,Allisha Gray,Atlanta Dream,,Atlanta Dream @ New York Liberty,False,player_points,pts,18.5,102.0,-136.0,,,1,fanduel,sportsbook,2026-09-22T00:14:00Z,New York Liberty,Atlanta Dream,canonical-player-props-cache,2026-09-22T01:55:23.184655+00:00
2026-09-21,2e5bc624d9c65499dad8dcaad7828e0b,Allisha Gray,Atlanta Dream,,Atlanta Dream @ New York Liberty,False,player_rebounds,reb,2.5,-112.0,-118.0,,,1,fanduel,sportsbook,2026-09-22T00:14:00Z,New York Liberty,Atlanta Dream,canonical-player-props-cache,2026-09-22T01:55:23.184655+00:00
2026-09-21,2e5bc624d9c65499dad8dcaad7828e0b,Angel Reese,Atlanta Dream,,Atlanta Dream @ New York Liberty,False,player_assists,ast,2.5,140.0,-188.0,,,1,fanduel,sportsbook,2026-09-22T00:14:00Z,New York Liberty,Atlanta Dream,canonical-player-props-cache,2026-09-22T01:55:23.184655+00:00
2026-09-21,2e5bc624d9c65499dad8dcaad7828e0b,Angel Reese,Atlanta Dream,,Atlanta Dream @ New York Liberty,False,player_points_assists,pa,17.5,-140.0,106.0,,,1,fanduel,sportsbook,2026-09-22T00:14:00Z,New York Liberty,Atlanta Dream,canonical-player-props-cache,2026-09-22T01:55:23.184655+00:00
2026-09-21,2e5bc624d9c65499dad8dcaad7828e0b,Angel Reese,Atlanta Dream,,Atlanta Dream @ New York Liberty,False,player_points_rebounds,pr,25.5,-136.0,102.0,,,1,fanduel,sportsbook,2026-09-22T00:14:00Z,New York Liberty,Atlanta Dream,canonical-player-props-cache,2026-09-22T01:55:23.184655+00:00
2026-09-21,2e5bc624d9c65499dad8dcaad7828e0b,Angel Reese,Atlanta Dream,,Atlanta Dream @ New York Liberty,False,player_points_rebounds,pr,26.5,-110.0,-125.0,,,1,draftkings,sportsbook,2026-09-22T00:14:00Z,New York Liberty,Atlanta Dream,canonical-player-props-cache,2026-09-22T01:55:23.184655+00:00
2026-09-21,2e5bc624d9c65499dad8dcaad7828e0b,Angel Reese,Atlanta Dream,,Atlanta Dream @ New York Liberty,False,player_points_rebounds_assists,pra,28.5,100.0,-132.0,,,1,fanduel,sportsbook,2026-09-22T00:14:00Z,New York Liberty,Atlanta Dream,canonical-player-props-cache,2026-09-22T01:55:23.184655+00:00
2026-09-21,2e5bc624d9c65499dad8dcaad7828e0b,Angel Reese,Atlanta Dream,,Atlanta Dream @ New York Liberty,False,player_points,pts,15.5,-147.0,108.0,,,2,"draftkings,fanduel",sportsbook,2026-09-22T00:14:00Z,New York Liberty,Atlanta Dream,canonical-player-props-cache,2026-09-22T01:55:23.184655+00:00
2026-09-21,2e5bc624d9c65499dad8dcaad7828e0b,Angel Reese,Atlanta Dream,,Atlanta Dream @ New York Liberty,False,player_rebounds_assists,ra,12.5,-188.0,140.0,,,1,fanduel,sportsbook,2026-09-22T00:14:00Z,New York Liberty,Atlanta Dream,canonical-player-props-cache,2026-09-22T01:55:23.184655+00:00
2026-09-21,2e5bc624d9c65499dad8dcaad7828e0b,Angel Reese,Atlanta Dream,,Atlanta Dream @ New York Liberty,False,player_rebounds,reb,9.5,-130.0,-102.0,,,1,fanduel,sportsbook,2026-09-22T00:14:00Z,New York Liberty,Atlanta Dream,canonical-player-props-cache,2026-09-22T01:55:23.184655+00:00
2026-09-21,2e5bc624d9c65499dad8dcaad7828e0b,Angel Reese,Atlanta Dream,,Atlanta Dream @ New York Liberty,False,player_rebounds,reb,10.5,-130.0,-105.0,,,1,draftkings,sportsbook,2026-09-22T00:14:00Z,New York Liberty,Atlanta Dream,canonical-player-props-cache,2026-09-22T01:55:23.184655+00:00
2026-09-21,2e5bc624d9c65499dad8dcaad7828e0b,Breanna Stewart,New York Liberty,,Atlanta Dream @ New York Liberty,True,player_assists,ast,3.5,174.0,-240.0,,,1,fanduel,sportsbook,2026-09-22T00:14:00Z,New York Liberty,Atlanta Dream,canonical-player-props-cache,2026-09-22T01:55:23.184655+00:00
2026-09-21,2e5bc624d9c65499dad8dcaad7828e0b,Breanna Stewart,New York Liberty,,Atlanta Dream @ New York Liberty,True,player_points_assists,pa,23.5,-102.0,-130.0,,,1,fanduel,sportsbook,2026-09-22T00:14:00Z,New York Liberty,Atlanta Dream,canonical-player-props-cache,2026-09-22T01:55:23.184655+00:00
2026-09-21,2e5bc624d9c65499dad8dcaad7828e0b,Breanna Stewart,New York Liberty,,Atlanta Dream @ New York Liberty,True,player_points_rebounds,pr,32.5,-144.0,108.0,,,1,fanduel,sportsbook,2026-09-22T00:14:00Z,New York Liberty,Atlanta Dream,canonical-player-props-cache,2026-09-22T01:55:23.184655+00:00
2026-09-21,2e5bc624d9c65499dad8dcaad7828e0b,Breanna Stewart,New York Liberty,,Atlanta Dream @ New York Liberty,True,player_points_rebounds_assists,pra,36.5,-110.0,-123.5,,,2,"draftkings,fanduel",sportsbook,2026-09-22T00:14:00Z,New York Liberty,Atlanta Dream,canonical-player-props-cache,2026-09-22T01:55:23.184655+00:00
2026-09-21,2e5bc624d9c65499dad8dcaad7828e0b,Breanna Stewart,New York Liberty,,Atlanta Dream @ New York Liberty,True,player_points,pts,20.5,-145.0,105.0,,,1,draftkings,sportsbook,2026-09-22T00:14:00Z,New York Liberty,Atlanta Dream,canonical-player-props-cache,2026-09-22T01:55:23.184655+00:00
2026-09-21,2e5bc624d9c65499dad8dcaad7828e0b,Breanna Stewart,New York Liberty,,Atlanta Dream @ New York Liberty,True,player_points,pts,21.5,-108.0,-122.0,,,1,fanduel,sportsbook,2026-09-22T00:14:00Z,New York Liberty,Atlanta Dream,canonical-player-props-cache,2026-09-22T01:55:23.184655+00:00
2026-09-21,2e5bc624d9c65499dad8dcaad7828e0b,Breanna Stewart,New York Liberty,,Atlanta Dream @ New York Liberty,True,player_rebounds_assists,ra,15.5,120.0,-170.0,,,1,draftkings,sportsbook,2026-09-22T00:14:00Z,New York Liberty,Atlanta Dream,canonical-player-props-cache,2026-09-22T01:55:23.184655+00:00
