Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season
1.0,Las Vegas Aces*,40,200.0,33.6,69.2,0.486,9.3,24.9,0.372,24.3,44.3,0.549,16.4,19.5,0.84,6.2,28.7,34.8,21.7,8.0,4.8,11.1,16.0,92.8,2023
2.0,New York Liberty*,40,201.9,32.2,69.9,0.46,11.1,29.7,0.374,21.1,40.3,0.523,13.8,16.7,0.829,8.7,29.2,37.9,24.1,6.7,4.5,13.5,16.0,89.2,2023
3.0,Dallas Wings*,40,200.6,32.4,73.2,0.443,6.8,21.3,0.317,25.6,51.8,0.494,16.4,20.3,0.806,11.8,26.9,38.7,20.3,7.6,4.3,13.1,18.9,87.9,2023
4.0,Connecticut Sun*,40,201.9,30.2,67.8,0.445,7.2,20.0,0.36,23.0,47.8,0.481,15.2,19.9,0.766,8.1,25.6,33.6,20.7,8.1,3.8,12.4,18.4,82.7,2023
5.0,Atlanta Dream*,40,201.3,29.4,68.7,0.428,6.4,19.2,0.336,23.0,49.5,0.464,17.3,22.0,0.788,8.0,28.1,36.1,18.6,6.3,4.6,13.6,19.3,82.5,2023
6.0,Chicago Sky*,40,201.3,30.7,69.6,0.442,8.3,22.2,0.372,22.5,47.4,0.474,12.0,16.0,0.752,8.6,24.8,33.3,20.5,6.7,4.5,13.5,17.3,81.7,2023
7.0,Indiana Fever,40,201.9,30.2,68.3,0.442,6.7,19.8,0.34,23.5,48.5,0.484,13.9,17.8,0.783,8.9,25.1,34.0,18.0,6.5,3.0,14.1,19.7,81.0,2023
8.0,Washington Mystics*,40,200.6,28.9,67.5,0.428,7.8,23.1,0.336,21.2,44.4,0.476,15.0,18.2,0.823,6.6,25.7,32.3,19.2,7.7,3.2,12.2,18.6,80.5,2023
9.0,Minnesota Lynx*,40,201.3,29.4,67.5,0.435,6.8,20.8,0.325,22.6,46.7,0.484,14.7,18.4,0.801,8.0,26.3,34.3,19.4,6.4,2.6,13.4,16.9,80.2,2023
10.0,Los Angeles Sparks,40,200.6,28.4,66.8,0.425,6.5,19.5,0.333,21.9,47.3,0.463,15.6,19.1,0.819,6.7,24.8,31.5,19.0,8.5,2.9,12.5,16.9,78.9,2023
11.0,Seattle Storm,40,200.6,27.9,67.9,0.41,8.5,24.2,0.352,19.4,43.8,0.442,14.6,18.6,0.786,8.2,26.7,34.9,17.7,7.0,4.5,14.5,17.9,78.8,2023
12.0,Phoenix Mercury,40,200.6,28.4,63.9,0.444,6.8,20.7,0.328,21.6,43.3,0.5,13.0,16.2,0.803,6.6,24.3,30.9,19.1,5.7,4.2,14.8,18.8,76.6,2023
,League Average,40,201.0,30.1,68.3,0.441,7.7,22.1,0.347,22.5,46.2,0.486,14.8,18.5,0.8,8.0,26.3,34.3,19.8,7.1,3.9,13.2,17.9,82.7,2023
