PLAYER_NAME,TEAM_ABBREVIATION,PLAYER_POSITION,GP,MIN,PTS,REB,AST,FG3M
Aaliyah Edwards,Connecticut Sun,F,1,12.0,5.0,2.0,1.0,0.0
Aaliyah Nye,Atlanta Dream,G,1,0.0,0.0,0.0,0.0,0.0
Alanna Smith,Dallas Wings,F,1,14.0,2.0,4.0,1.0,0.0
Alicia Florez,Washington Mystics,G,1,17.0,1.0,4.0,3.0,0.0
Alissa Pili,Los Angeles Sparks,F,1,0.0,0.0,0.0,0.0,0.0
Allisha Gray,Atlanta Dream,G,1,36.0,22.0,4.0,3.0,0.0
Alysha Clark,Dallas Wings,F,1,6.0,3.0,1.0,0.0,0.0
Anastasiia Olairi Kosu,Minnesota Lynx,F,1,9.0,3.0,0.0,0.0,0.0
Aneesah Morrow,Connecticut Sun,F,1,0.0,0.0,0.0,0.0,0.0
Angel Reese,Atlanta Dream,F,1,35.0,17.0,13.0,3.0,0.0
Angela Dugalic,Washington Mystics,F,1,10.0,0.0,1.0,0.0,0.0
Antonia Delaere,Minnesota Lynx,F,1,25.0,8.0,2.0,0.0,0.0
Ariel Atkins,Los Angeles Sparks,G,1,22.0,5.0,5.0,0.0,0.0
Arike Ogunbowale,Dallas Wings,G,1,27.0,10.0,6.0,2.0,0.0
Awa Fam,Seattle Storm,C,2,29.5,9.5,4.0,1.5,0.0
Awak Kuier,Dallas Wings,F,1,21.0,10.0,6.0,0.0,0.0
Aziaha James,Dallas Wings,G,1,10.0,3.0,4.0,0.0,0.0
Azzi Fudd,Dallas Wings,G,1,30.0,17.0,3.0,2.0,0.0
Bridget Carleton,Portland Fire,F,1,31.0,14.0,7.0,2.0,0.0
Brionna Jones,Atlanta Dream,F,1,0.0,0.0,0.0,0.0,0.0
Brittney Griner,Connecticut Sun,C,1,34.0,29.0,10.0,3.0,0.0
Brittney Sykes,Toronto Tempo,G,1,0.0,0.0,0.0,0.0,0.0
Carla Leite,Portland Fire,G,1,22.0,20.0,3.0,4.0,0.0
Cassandre Prosper,Washington Mystics,G,1,9.0,0.0,1.0,0.0,0.0
Cecilia Zandalasini,Golden State Valkyries,F,2,18.5,7.5,2.0,1.0,0.0
Chance Gray,Los Angeles Sparks,G,1,14.0,3.0,3.0,0.0,0.0
Charlisse Leger-Walker,Connecticut Sun,G,1,28.0,6.0,4.0,5.0,0.0
Cotie McMahon,Washington Mystics,G,1,29.0,8.0,5.0,3.0,0.0
Courtney Williams,Minnesota Lynx,G,1,36.0,23.0,9.0,6.0,0.0
Dearica Hamby,Los Angeles Sparks,F,1,29.0,17.0,4.0,2.0,0.0
Diamond Miller,Connecticut Sun,F,1,19.0,5.0,4.0,3.0,0.0
Dominique Malonga,Seattle Storm,C,2,21.0,12.0,7.0,1.5,0.0
Dorka Juhasz,Minnesota Lynx,F,1,25.0,3.0,4.0,3.0,0.0
Eliska Hamzova,Minnesota Lynx,G,1,8.0,2.0,2.0,3.0,0.0
Emily Engstler,Portland Fire,F,1,22.0,9.0,8.0,0.0,0.0
Emma Cannon,Los Angeles Sparks,F,1,15.0,5.0,3.0,3.0,0.0
Emma Cechova,Minnesota Lynx,F,1,0.0,0.0,0.0,0.0,0.0
Erica Wheeler,Los Angeles Sparks,G,1,24.0,3.0,1.0,7.0,0.0
Ezi Magbegor,Seattle Storm,F,2,14.5,2.0,5.5,0.5,0.0
Flau'jae Johnson,Seattle Storm,G,2,29.0,12.0,6.5,3.0,0.0
Frieda Buhner,Portland Fire,F,1,18.0,9.0,7.0,2.0,0.0
Gabby Williams,Golden State Valkyries,F,2,22.0,10.5,2.0,1.0,0.0
Georgia Amoore,Washington Mystics,G,1,22.0,3.0,2.0,0.0,0.0
Gianna Kneepkens,Connecticut Sun,G,1,5.0,2.0,0.0,0.0,0.0
Holly Winterburn,Portland Fire,G,1,8.0,4.0,1.0,2.0,0.0
Indya Nivar,Atlanta Dream,G,1,4.0,0.0,1.0,0.0,0.0
Isabelle Harrison,Toronto Tempo,F,1,27.0,13.0,5.0,1.0,0.0
Isobel Borlase,Atlanta Dream,G,1,10.0,0.0,3.0,0.0,0.0
Jade Melbourne,Seattle Storm,G,2,20.5,8.0,1.5,3.5,0.0
Janelle Salaun,Golden State Valkyries,F,2,22.5,11.0,1.5,0.0,0.0
Jessica Shepard,Dallas Wings,F,1,32.0,14.0,15.0,3.0,0.0
Jihyun Park,Los Angeles Sparks,F,1,10.0,0.0,1.0,0.0,0.0
Jordan Horston,Seattle Storm,F,2,12.5,4.0,2.0,1.5,0.0
Jordin Canada,Atlanta Dream,G,1,35.0,7.0,4.0,8.0,0.0
Julie Allemand,Toronto Tempo,G,1,0.0,0.0,0.0,0.0,0.0
Juste Jocyte,Golden State Valkyries,G,2,0.0,0.0,0.0,0.0,0.0
Kaila Charles,Golden State Valkyries,G,2,21.5,7.5,6.5,3.0,0.0
Kaitlyn Chen,Golden State Valkyries,G,2,15.0,9.0,0.5,3.0,0.0
Karlie Samuelson,Portland Fire,G,1,0.0,0.0,0.0,0.0,0.0
Kate Martin,Los Angeles Sparks,G,1,17.0,8.0,6.0,0.0,0.0
Katie Lou Samuelson,Seattle Storm,F,2,16.5,7.0,3.0,0.0,0.0
Kayla McBride,Minnesota Lynx,G,1,38.0,28.0,3.0,2.0,0.0
