player_id,season,team,source_player_id,player,team_abbr,position,source_system,source_file
pl_016b4b6eb75cb3e2,2024,Mercury,2490553,Brittney Griner,PHX,C,sportsdataverse,player_profiles_2024.csv
pl_016b4b6eb75cb3e2,2024,Team USA,2490553,Brittney Griner,USA,C,sportsdataverse,player_profiles_2024.csv
pl_016b4b6eb75cb3e2,2025,Dream,2490553,Brittney Griner,ATL,C,sportsdataverse,player_profiles_2025.csv
pl_016b4b6eb75cb3e2,2026,Sun,2490553,Brittney Griner,CON,C,espn_api,player_profiles_2026.csv
pl_02fd8d1180014835,2025,Wings,4682797,Luisa Geiselsoder,DAL,C,sportsdataverse,player_profiles_2025.csv
pl_02fd8d1180014835,2026,Fire,4682797,Luisa Geiselsoder,POR,C,espn_api,player_profiles_2026.csv
pl_035b628ad688ee7f,2024,Liberty,3922628,Kennedy Burke,NY,G,sportsdataverse,player_profiles_2024.csv
pl_035b628ad688ee7f,2025,Liberty,3922628,Kennedy Burke,NY,G,sportsdataverse,player_profiles_2025.csv
pl_035b628ad688ee7f,2026,Sun,3922628,Kennedy Burke,CON,G,espn_api,player_profiles_2026.csv
pl_03acaff4a1a3a5b9,2025,Sun,4684384,Aneesah Morrow,CON,F,sportsdataverse,player_profiles_2025.csv
pl_03acaff4a1a3a5b9,2026,Sun,4684384,Aneesah Morrow,CON,F,espn_api,player_profiles_2026.csv
pl_041d1a799cefd8f8,2026,Tempo,5355509,Tima Pouye,TOR,G,espn_api,player_profiles_2026.csv
pl_0538d809f7d14b6b,2024,Dream,3058901,Allisha Gray,ATL,G,sportsdataverse,player_profiles_2024.csv
pl_0538d809f7d14b6b,2024,Team WNBA,3058901,Allisha Gray,WNBASTARS,G,sportsdataverse,player_profiles_2024.csv
pl_0538d809f7d14b6b,2025,Dream,3058901,Allisha Gray,ATL,G,sportsdataverse,player_profiles_2025.csv
pl_0538d809f7d14b6b,2025,TEAM COLLIER,3058901,Allisha Gray,COL,G,sportsdataverse,player_profiles_2025.csv
pl_0538d809f7d14b6b,2026,Dream,3058901,Allisha Gray,ATL,G,espn_api,player_profiles_2026.csv
pl_0538d809f7d14b6b,2026,TEAM SPOON,3058901,Allisha Gray,SPO,G,espn_api,player_profiles_2026.csv
pl_070c464d42a619f8,2026,Liberty,4790258,Raquel Carrera,NY,F,espn_api,player_profiles_2026.csv
pl_08f6eb03f818874d,2026,Fire,5346554,Teja Oblak,POR,G,espn_api,player_profiles_2026.csv
pl_092898e508f00a7d,2026,Tempo,2491232,Kayla Alexander,TOR,C,espn_api,player_profiles_2026.csv
pl_093df112d6857361,2026,Dream,4065785,Stephanie Jones,ATL,F,espn_api,player_profiles_2026.csv
pl_0a03311b1e1c6aef,2026,NIGERIA,2592228,Promise Amukamara,NIGER,G,espn_api,player_profiles_2026.csv
pl_0a5d6b83c356de72,2026,Lynx,5345322,Emma Cechova,MIN,F,espn_api,player_profiles_2026.csv
pl_0a6173733ae1e3ea,2024,Aces,2590093,Kiah Stokes,LV,C,sportsdataverse,player_profiles_2024.csv
pl_0a6173733ae1e3ea,2025,Aces,2590093,Kiah Stokes,LV,C,sportsdataverse,player_profiles_2025.csv
pl_0a6173733ae1e3ea,2026,Valkyries,2590093,Kiah Stokes,GS,C,espn_api,player_profiles_2026.csv
pl_0d66b1760232f8b8,2024,Storm,3142948,Victoria Vivians,SEA,G,sportsdataverse,player_profiles_2024.csv
pl_0df46667a621d970,2024,Fever,4398829,Lexie Hull,IND,G,sportsdataverse,player_profiles_2024.csv
pl_0df46667a621d970,2025,Fever,4398829,Lexie Hull,IND,G,sportsdataverse,player_profiles_2025.csv
pl_0df46667a621d970,2026,Fever,4398829,Lexie Hull,IND,G,espn_api,player_profiles_2026.csv
pl_0e92867d04f71e38,2025,Liberty,3027368,Emma Meesseman,NY,C,sportsdataverse,player_profiles_2025.csv
pl_0f04ff87743fb001,2024,Mystics,4398729,Emily Engstler,WSH,F,sportsdataverse,player_profiles_2024.csv
pl_0f04ff87743fb001,2025,Mystics,4398729,Emily Engstler,WSH,F,sportsdataverse,player_profiles_2025.csv
pl_0f04ff87743fb001,2026,Fire,4398729,Emily Engstler,POR,F,espn_api,player_profiles_2026.csv
pl_0f8eac4efb03fbfb,2026,Lynx,5105748,Lani White,MIN,G,espn_api,player_profiles_2026.csv
pl_0ff64046d8bcbd2b,2024,Liberty,2999101,Jonquel Jones,NY,C,sportsdataverse,player_profiles_2024.csv
pl_0ff64046d8bcbd2b,2024,Team WNBA,2999101,Jonquel Jones,WNBASTARS,C,sportsdataverse,player_profiles_2024.csv
pl_0ff64046d8bcbd2b,2025,Liberty,2999101,Jonquel Jones,NY,C,sportsdataverse,player_profiles_2025.csv
pl_0ff64046d8bcbd2b,2026,Liberty,2999101,Jonquel Jones,NY,C,espn_api,player_profiles_2026.csv
pl_0ff64046d8bcbd2b,2026,TEAM SPOON,2999101,Jonquel Jones,SPO,C,espn_api,player_profiles_2026.csv
pl_0ffc0c037962ac53,2024,Mercury,3102133,Rebecca Allen,PHX,G,sportsdataverse,player_profiles_2024.csv
pl_0ffc0c037962ac53,2025,Sky,3102133,Rebecca Allen,CHI,G,sportsdataverse,player_profiles_2025.csv
pl_0ffc0c037962ac53,2026,Liberty,3102133,Rebecca Allen,NY,G,espn_api,player_profiles_2026.csv
pl_10715fa09161fd53,2025,Mercury,4399342,Lexi Held,PHX,G,sportsdataverse,player_profiles_2025.csv
pl_10715fa09161fd53,2026,Mercury,4399342,Lexi Held,PHX,G,espn_api,player_profiles_2026.csv
pl_10715fa09161fd53,2026,Tempo,4399342,Lexi Held,TOR,G,espn_api,player_profiles_2026.csv
pl_110f97d39394b907,2024,Wings,4066527,Jaelyn Brown,DAL,G,sportsdataverse,player_profiles_2024.csv
pl_110f97d39394b907,2025,Sun,4066527,Jaelyn Brown,CON,G,sportsdataverse,player_profiles_2025.csv
pl_1241fddfc0d9e94c,2024,Sun,4398935,Veronica Burton,CON,G,sportsdataverse,player_profiles_2024.csv
pl_1241fddfc0d9e94c,2025,Valkyries,4398935,Veronica Burton,GS,G,sportsdataverse,player_profiles_2025.csv
pl_1241fddfc0d9e94c,2026,Valkyries,4398935,Veronica Burton,GS,G,espn_api,player_profiles_2026.csv
pl_151b3c88adc161c9,2024,Lynx,3917450,Napheesa Collier,MIN,F,sportsdataverse,player_profiles_2024.csv
pl_151b3c88adc161c9,2024,Team USA,3917450,Napheesa Collier,USA,F,sportsdataverse,player_profiles_2024.csv
pl_151b3c88adc161c9,2025,Lynx,3917450,Napheesa Collier,MIN,F,sportsdataverse,player_profiles_2025.csv
pl_151b3c88adc161c9,2025,TEAM COLLIER,3917450,Napheesa Collier,COL,F,sportsdataverse,player_profiles_2025.csv
pl_151b3c88adc161c9,2026,Lynx,3917450,Napheesa Collier,MIN,F,espn_api,player_profiles_2026.csv
pl_156f0548854de70a,2024,Sun,4398780,Caitlin Bickle,CON,F,sportsdataverse,player_profiles_2024.csv
pl_17342cb9b54ebc79,2026,Liberty,5345320,Pauline Astier,NY,G,espn_api,player_profiles_2026.csv
pl_17c7158af156f293,2026,Mystics,4433411,Angela Dugalic,WSH,F,espn_api,player_profiles_2026.csv
pl_18104e938de3ccb3,2024,Fever,4398899,Grace Berger,IND,G,sportsdataverse,player_profiles_2024.csv
pl_18104e938de3ccb3,2025,Sparks,4398899,Grace Berger,LA,G,sportsdataverse,player_profiles_2025.csv
pl_18104e938de3ccb3,2025,Wings,4398899,Grace Berger,DAL,G,sportsdataverse,player_profiles_2025.csv
pl_18104e938de3ccb3,2026,Wings,4398899,Grace Berger,DAL,G,espn_api,player_profiles_2026.csv
pl_18c31d08ca4a3a7c,2024,Dream,4398674,Rhyne Howard,ATL,G,sportsdataverse,player_profiles_2024.csv
pl_18c31d08ca4a3a7c,2025,Dream,4398674,Rhyne Howard,ATL,G,sportsdataverse,player_profiles_2025.csv
