season,team,2p,2p_pct,2pa,3p,3p_pct,3pa,ast,blk,drb,fg,fg_pct,fga,ft,ft_pct,fta,g,mp,orb,pf,pts,rk,source_file,source_system,source_type,stl,tov,trb
2022,Atlanta Dream,21.2,0.452,47.0,7.5,0.351,21.4,17.6,3.1,26.8,28.8,0.42,68.4,13.5,0.777,17.3,36,201.4,8.6,19.5,78.5,11.0,team_stats_2022.csv,repository_raw,team_stats,7.8,15.2,35.4
2022,Chicago Sky*,25.4,0.542,46.9,7.2,0.345,20.9,24.3,4.3,27.6,32.7,0.481,67.9,13.7,0.823,16.6,36,202.1,7.2,16.2,86.3,2.0,team_stats_2022.csv,repository_raw,team_stats,7.3,13.8,34.8
2022,Connecticut Sun*,25.5,0.5,50.9,6.4,0.354,18.0,21.1,2.7,26.9,31.9,0.462,69.0,15.7,0.789,19.9,36,201.4,10.2,17.1,85.8,3.0,team_stats_2022.csv,repository_raw,team_stats,8.9,14.4,37.1
2022,Dallas Wings*,21.9,0.48,45.6,7.8,0.343,22.6,18.8,3.7,24.3,29.7,0.435,68.2,15.9,0.764,20.8,36,200.7,9.6,18.8,82.9,4.0,team_stats_2022.csv,repository_raw,team_stats,7.1,12.7,33.8
2022,Indiana Fever,21.6,0.437,49.3,6.8,0.338,20.1,18.0,3.6,23.5,28.4,0.409,69.4,14.4,0.746,19.4,36,201.4,9.8,20.0,78.0,12.0,team_stats_2022.csv,repository_raw,team_stats,7.2,15.1,33.3
2022,Las Vegas Aces*,22.8,0.52,43.8,9.5,0.361,26.4,20.8,3.9,28.4,32.3,0.46,70.3,16.3,0.823,19.8,36,200.7,6.9,15.8,90.4,1.0,team_stats_2022.csv,repository_raw,team_stats,7.7,11.1,35.4
2022,League Average,22.3,0.489,45.6,7.7,0.346,22.4,20.2,3.7,26.1,30.1,0.442,68.0,14.4,0.794,18.2,36,201.4,8.2,17.7,82.3,,team_stats_2022.csv,repository_raw,team_stats,7.5,13.7,34.3
2022,Los Angeles Sparks,24.4,0.489,50.0,5.4,0.32,16.9,18.9,3.9,23.4,29.8,0.446,66.9,14.4,0.786,18.3,36,200.7,6.9,18.3,79.4,10.0,team_stats_2022.csv,repository_raw,team_stats,8.6,13.8,30.4
2022,Minnesota Lynx,23.4,0.493,47.4,6.8,0.348,19.6,20.6,2.8,28.0,30.2,0.45,67.1,15.2,0.784,19.4,36,201.4,8.9,16.9,82.4,6.0,team_stats_2022.csv,repository_raw,team_stats,6.1,14.6,36.9
2022,New York Liberty*,19.1,0.488,39.1,9.7,0.351,27.6,20.7,4.1,27.3,28.8,0.431,66.8,12.4,0.823,15.0,36,202.1,7.0,18.2,79.6,9.0,team_stats_2022.csv,repository_raw,team_stats,6.1,14.6,34.3
2022,Phoenix Mercury*,19.8,0.497,39.8,8.8,0.329,26.7,19.2,4.5,24.3,28.6,0.429,66.5,15.2,0.817,18.6,36,202.1,6.8,19.8,81.1,7.0,team_stats_2022.csv,repository_raw,team_stats,7.4,13.3,31.2
2022,Seattle Storm*,21.2,0.49,43.2,9.3,0.361,25.6,22.6,4.2,25.8,30.4,0.442,68.8,12.4,0.825,15.1,36,200.7,7.8,15.6,82.5,5.0,team_stats_2022.csv,repository_raw,team_stats,8.3,12.8,33.6
2022,Washington Mystics*,21.7,0.491,44.2,7.6,0.338,22.5,20.3,3.7,26.9,29.3,0.439,66.8,14.0,0.784,17.9,36,202.1,8.0,15.9,80.2,8.0,team_stats_2022.csv,repository_raw,team_stats,7.6,12.8,34.9
2023,Atlanta Dream*,23.0,0.464,49.5,6.4,0.336,19.2,18.6,4.6,28.1,29.4,0.428,68.7,17.3,0.788,22.0,40,201.3,8.0,19.3,82.5,5.0,team_stats_2023.csv,repository_raw,team_stats,6.3,13.6,36.1
2023,Chicago Sky*,22.5,0.474,47.4,8.3,0.372,22.2,20.5,4.5,24.8,30.7,0.442,69.6,12.0,0.752,16.0,40,201.3,8.6,17.3,81.7,6.0,team_stats_2023.csv,repository_raw,team_stats,6.7,13.5,33.3
2023,Connecticut Sun*,23.0,0.481,47.8,7.2,0.36,20.0,20.7,3.8,25.6,30.2,0.445,67.8,15.2,0.766,19.9,40,201.9,8.1,18.4,82.7,4.0,team_stats_2023.csv,repository_raw,team_stats,8.1,12.4,33.6
2023,Dallas Wings*,25.6,0.494,51.8,6.8,0.317,21.3,20.3,4.3,26.9,32.4,0.443,73.2,16.4,0.806,20.3,40,200.6,11.8,18.9,87.9,3.0,team_stats_2023.csv,repository_raw,team_stats,7.6,13.1,38.7
2023,Indiana Fever,23.5,0.484,48.5,6.7,0.34,19.8,18.0,3.0,25.1,30.2,0.442,68.3,13.9,0.783,17.8,40,201.9,8.9,19.7,81.0,7.0,team_stats_2023.csv,repository_raw,team_stats,6.5,14.1,34.0
2023,Las Vegas Aces*,24.3,0.549,44.3,9.3,0.372,24.9,21.7,4.8,28.7,33.6,0.486,69.2,16.4,0.84,19.5,40,200.0,6.2,16.0,92.8,1.0,team_stats_2023.csv,repository_raw,team_stats,8.0,11.1,34.8
2023,League Average,22.5,0.486,46.2,7.7,0.347,22.1,19.8,3.9,26.3,30.1,0.441,68.3,14.8,0.8,18.5,40,201.0,8.0,17.9,82.7,,team_stats_2023.csv,repository_raw,team_stats,7.1,13.2,34.3
2023,Los Angeles Sparks,21.9,0.463,47.3,6.5,0.333,19.5,19.0,2.9,24.8,28.4,0.425,66.8,15.6,0.819,19.1,40,200.6,6.7,16.9,78.9,10.0,team_stats_2023.csv,repository_raw,team_stats,8.5,12.5,31.5
2023,Minnesota Lynx*,22.6,0.484,46.7,6.8,0.325,20.8,19.4,2.6,26.3,29.4,0.435,67.5,14.7,0.801,18.4,40,201.3,8.0,16.9,80.2,9.0,team_stats_2023.csv,repository_raw,team_stats,6.4,13.4,34.3
2023,New York Liberty*,21.1,0.523,40.3,11.1,0.374,29.7,24.1,4.5,29.2,32.2,0.46,69.9,13.8,0.829,16.7,40,201.9,8.7,16.0,89.2,2.0,team_stats_2023.csv,repository_raw,team_stats,6.7,13.5,37.9
2023,Phoenix Mercury,21.6,0.5,43.3,6.8,0.328,20.7,19.1,4.2,24.3,28.4,0.444,63.9,13.0,0.803,16.2,40,200.6,6.6,18.8,76.6,12.0,team_stats_2023.csv,repository_raw,team_stats,5.7,14.8,30.9
2023,Seattle Storm,19.4,0.442,43.8,8.5,0.352,24.2,17.7,4.5,26.7,27.9,0.41,67.9,14.6,0.786,18.6,40,200.6,8.2,17.9,78.8,11.0,team_stats_2023.csv,repository_raw,team_stats,7.0,14.5,34.9
2023,Washington Mystics*,21.2,0.476,44.4,7.8,0.336,23.1,19.2,3.2,25.7,28.9,0.428,67.5,15.0,0.823,18.2,40,200.6,6.6,18.6,80.5,8.0,team_stats_2023.csv,repository_raw,team_stats,7.7,12.2,32.3
2024,Atlanta Dream*,21.8,0.448,48.7,6.0,0.308,19.4,18.4,3.7,26.9,27.8,0.408,68.1,15.4,0.771,20.0,40,201.9,9.2,16.9,77.0,12.0,team_stats_2024.csv,repository_raw,team_stats,7.2,12.5,36.1
2024,Chicago Sky,24.9,0.449,55.4,4.8,0.323,14.9,19.0,3.8,25.8,29.7,0.422,70.3,13.2,0.742,17.8,40,200.0,10.9,19.0,77.4,11.0,team_stats_2024.csv,repository_raw,team_stats,7.0,13.1,36.6
2024,Connecticut Sun*,23.4,0.487,48.0,5.9,0.327,18.0,19.9,3.7,25.1,29.3,0.444,65.9,15.7,0.753,20.9,40,201.2,8.4,16.1,80.1,8.0,team_stats_2024.csv,repository_raw,team_stats,8.2,12.1,33.5
2024,Dallas Wings,25.4,0.49,51.9,6.3,0.326,19.2,20.4,4.0,24.3,31.7,0.446,71.0,14.7,0.786,18.7,40,201.9,10.5,18.5,84.2,4.0,team_stats_2024.csv,repository_raw,team_stats,7.1,14.8,34.8
2024,Indiana Fever*,22.1,0.517,42.7,9.2,0.356,25.9,20.4,4.3,26.8,31.3,0.456,68.5,13.3,0.775,17.1,40,200.6,8.3,18.2,85.0,3.0,team_stats_2024.csv,repository_raw,team_stats,5.9,14.2,35.1
2024,Las Vegas Aces*,21.5,0.516,41.7,9.4,0.355,26.5,20.5,5.0,28.5,30.9,0.454,68.1,15.2,0.828,18.3,40,200.6,5.6,16.5,86.4,1.0,team_stats_2024.csv,repository_raw,team_stats,7.1,10.8,34.1
2024,League Average,22.2,0.488,45.4,7.7,0.338,22.8,20.5,4.1,26.2,29.9,0.438,68.3,14.2,0.785,18.0,40,201.0,8.2,17.2,81.7,,team_stats_2024.csv,repository_raw,team_stats,7.4,13.3,34.4
2024,Los Angeles Sparks,20.9,0.476,43.8,7.2,0.32,22.6,19.7,3.2,25.3,28.1,0.423,66.4,15.0,0.765,19.6,40,200.6,7.4,17.9,78.4,10.0,team_stats_2024.csv,repository_raw,team_stats,7.3,15.0,32.7
2024,Minnesota Lynx*,20.6,0.488,42.3,9.5,0.38,25.0,23.0,4.2,26.8,30.1,0.448,67.3,12.2,0.79,15.5,40,201.9,7.4,16.4,82.0,6.0,team_stats_2024.csv,repository_raw,team_stats,8.6,13.4,34.3
2024,New York Liberty*,20.6,0.52,39.7,10.1,0.349,29.0,22.8,4.5,28.1,30.8,0.448,68.7,14.0,0.814,17.2,40,200.0,8.5,15.4,85.6,2.0,team_stats_2024.csv,repository_raw,team_stats,7.9,12.7,36.6
2024,Phoenix Mercury*,20.6,0.512,40.2,8.5,0.326,26.2,19.9,4.7,25.6,29.1,0.439,66.3,14.7,0.799,18.4,40,201.2,6.7,16.9,81.5,7.0,team_stats_2024.csv,repository_raw,team_stats,6.6,13.3,32.3
