row_number,candidate_id,date,player,game,stat,side,line,outcome,category,reason,existing_grading_reason
1,2026-07-12|natisha hiedeman|seattle storm @ washington mystics|pr|over|16.5||-119.0,2026-07-12,Natisha Hiedeman,Seattle Storm @ Washington Mystics,PR,OVER,16.5,WIN,graded,final outcome WIN,
2,2026-07-12|kelsey mitchell|indiana fever @ las vegas aces|3pm|over|2.5||-129.67,2026-07-12,Kelsey Mitchell,Indiana Fever @ Las Vegas Aces,3PM,OVER,2.5,WIN,graded,final outcome WIN,
3,2026-07-12|kelsey mitchell|indiana fever @ las vegas aces|pts|over|21.5||-126.0,2026-07-12,Kelsey Mitchell,Indiana Fever @ Las Vegas Aces,PTS,OVER,21.5,WIN,graded,final outcome WIN,
4,2026-07-12|kelsey mitchell|indiana fever @ las vegas aces|pra|over|26.5||-119.33,2026-07-12,Kelsey Mitchell,Indiana Fever @ Las Vegas Aces,PRA,OVER,26.5,WIN,graded,final outcome WIN,
5,2026-07-12|maria conde|new york liberty @ toronto tempo|pr|under|16.5||-124.0,2026-07-12,Maria Conde,New York Liberty @ Toronto Tempo,PR,UNDER,16.5,WIN,graded,final outcome WIN,
6,2026-07-12|kelsey mitchell|indiana fever @ las vegas aces|pr|over|23.5||-125.0,2026-07-12,Kelsey Mitchell,Indiana Fever @ Las Vegas Aces,PR,OVER,23.5,WIN,graded,final outcome WIN,
7,2026-07-12|a'ja wilson|indiana fever @ las vegas aces|ast|under|3.5||-167.0,2026-07-12,A'ja Wilson,Indiana Fever @ Las Vegas Aces,AST,UNDER,3.5,WIN,graded,final outcome WIN,
8,2026-07-12|kelsey mitchell|indiana fever @ las vegas aces|pa|over|25.5||-109.0,2026-07-12,Kelsey Mitchell,Indiana Fever @ Las Vegas Aces,PA,OVER,25.5,WIN,graded,final outcome WIN,
9,2026-07-12|kelsey mitchell|indiana fever @ las vegas aces|pts|over|22.5||-114.0,2026-07-12,Kelsey Mitchell,Indiana Fever @ Las Vegas Aces,PTS,OVER,22.5,WIN,graded,final outcome WIN,
10,2026-07-12|azura stevens|chicago sky @ dallas wings|pts|under|12.5||-128.5,2026-07-12,Azura Stevens,Chicago Sky @ Dallas Wings,PTS,UNDER,12.5,WIN,graded,final outcome WIN,
11,2026-07-12|sophie cunningham|indiana fever @ las vegas aces|reb|under|2.5||-135.5,2026-07-12,Sophie Cunningham,Indiana Fever @ Las Vegas Aces,REB,UNDER,2.5,WIN,graded,final outcome WIN,
12,2026-07-12|sabrina ionescu|new york liberty @ toronto tempo|ast|under|5.5||-158.0,2026-07-12,Sabrina Ionescu,New York Liberty @ Toronto Tempo,AST,UNDER,5.5,WIN,graded,final outcome WIN,
13,2026-07-12|natisha hiedeman|seattle storm @ washington mystics|pts|over|14.5||-108.8,2026-07-12,Natisha Hiedeman,Seattle Storm @ Washington Mystics,PTS,OVER,14.5,WIN,graded,final outcome WIN,
