candidate_id,player,archive_date,archive_game,stat,side,line,classification,candidate_count,top_candidate_date,top_candidate_game,top_candidate_game_id,top_evidence_score,top_evidence
2026-07-15|sabrina ionescu|new york liberty @ dallas wings|ast|under|5.5||-167.67,Sabrina Ionescu,2026-07-15,New York Liberty @ Dallas Wings,AST,UNDER,5.5,low_confidence,5,2026-07-20,Liberty @ Wings,401892393,40,"matchup tokens: liberty, wings"
2026-07-15|kamilla cardoso|seattle storm @ chicago sky|reb|under|8.5||-103.67,Kamilla Cardoso,2026-07-15,Seattle Storm @ Chicago Sky,REB,UNDER,8.5,ambiguous_tie,5,2026-07-17,Sparks @ Sky,401857075,30,matchup tokens: sky | +2 day date drift
2026-07-15|azzi fudd|new york liberty @ dallas wings|pa|under|16.5||-116.5,Azzi Fudd,2026-07-15,New York Liberty @ Dallas Wings,PA,UNDER,16.5,low_confidence,5,2026-07-20,Liberty @ Wings,401892393,40,"matchup tokens: liberty, wings"
2026-07-15|kamilla cardoso|seattle storm @ chicago sky|ra|under|11.5||-119.5,Kamilla Cardoso,2026-07-15,Seattle Storm @ Chicago Sky,RA,UNDER,11.5,ambiguous_tie,5,2026-07-17,Sparks @ Sky,401857075,30,matchup tokens: sky | +2 day date drift
2026-07-15|paige bueckers|new york liberty @ dallas wings|ast|under|6.5||-142.0,Paige Bueckers,2026-07-15,New York Liberty @ Dallas Wings,AST,UNDER,6.5,low_confidence,4,2026-07-12,Wings @ Sky,401857062,30,matchup tokens: wings | -3 day date drift
2026-07-15|kamilla cardoso|seattle storm @ chicago sky|pra|under|26.5||-121.5,Kamilla Cardoso,2026-07-15,Seattle Storm @ Chicago Sky,PRA,UNDER,26.5,ambiguous_tie,5,2026-07-17,Sparks @ Sky,401857075,30,matchup tokens: sky | +2 day date drift
2026-07-15|kamilla cardoso|seattle storm @ chicago sky|pr|under|23.5||-113.5,Kamilla Cardoso,2026-07-15,Seattle Storm @ Chicago Sky,PR,UNDER,23.5,ambiguous_tie,5,2026-07-17,Sparks @ Sky,401857075,30,matchup tokens: sky | +2 day date drift
2026-07-16|sabrina ionescu|new york liberty @ dallas wings|ast|under|5.5||-165.67,Sabrina Ionescu,2026-07-16,New York Liberty @ Dallas Wings,AST,UNDER,5.5,low_confidence,5,2026-07-20,Liberty @ Wings,401892393,40,"matchup tokens: liberty, wings"
2026-07-16|azzi fudd|new york liberty @ dallas wings|pts|under|14.5||-116.0,Azzi Fudd,2026-07-16,New York Liberty @ Dallas Wings,PTS,UNDER,14.5,low_confidence,5,2026-07-20,Liberty @ Wings,401892393,40,"matchup tokens: liberty, wings"
2026-07-16|azzi fudd|new york liberty @ dallas wings|pa|under|16.5||-105.5,Azzi Fudd,2026-07-16,New York Liberty @ Dallas Wings,PA,UNDER,16.5,low_confidence,5,2026-07-20,Liberty @ Wings,401892393,40,"matchup tokens: liberty, wings"
2026-07-16|paige bueckers|new york liberty @ dallas wings|ast|under|6.5||-131.33,Paige Bueckers,2026-07-16,New York Liberty @ Dallas Wings,AST,UNDER,6.5,low_confidence,4,2026-07-19,Sparks @ Wings,401857080,30,matchup tokens: wings | +3 day date drift
2026-07-19|janelle salaun|washington mystics @ golden state valkyries|3pm|over|1.5||-184.0,Janelle Salaun,2026-07-19,Washington Mystics @ Golden State Valkyries,3PM,OVER,1.5,ambiguous_tie,3,2026-07-20,Mystics @ Valkyries,401857084,60,"matchup tokens: mystics, valkyries | adjacent date"
2026-07-19|shakira austin|washington mystics @ golden state valkyries|pra|over|25.5||-122.0,Shakira Austin,2026-07-19,Washington Mystics @ Golden State Valkyries,PRA,OVER,25.5,ambiguous_tie,6,2026-07-20,Mystics @ Valkyries,401857084,60,"matchup tokens: mystics, valkyries | adjacent date"
